# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_N_GLYCAN_BIOSYNTHESIS (set)
# _SET1_  NGENES = 44
# _SET1_  P-VALUE = 2.57308e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1650       1   20978260   20988037     24       4  1000      0.35022      0.34828    3.2779e-08      0.35022
_SET1_   57134      1   25943959   26111258    305      23  1000      0.18496      0.41179    3.2779e-08      0.18496
_SET1_   8704       1   44444874   44456843     18       5  1000      0.24108       0.3937    3.2779e-08      0.24108
_SET1_   29929      1   63833261   63904233    124      11  1000       1.1454       0.1165    3.2779e-08       1.1454
_SET1_   199857     1   95448279   95538512    119      15  1000     0.068549       0.4542    3.2779e-08     0.068549
_SET1_   10905      1  117910085  118068320    322      13  1000     -0.57697      0.70265    3.2779e-08     -0.57697
_SET1_   8703       1  161141100  161147758      5       2  1000     -0.87791      0.80202    3.2779e-08     -0.87791
_SET1_   7841       2   74688184   74692537      2       1  1000     -0.26034      0.59642    3.2779e-08     -0.26034
_SET1_   11320      2   99235569   99347589    164      15  1000      0.57437      0.26596    3.2779e-08      0.57437
_SET1_   4249       2  134877502  135212192    786      65  1000      0.07271      0.45032    3.2779e-08      0.07271
_SET1_   201595     3   31574130   31677556    138      12  1000      0.52568      0.28557    3.2779e-08      0.52568
_SET1_   91869      3   53122499   53164480     92       6  1000       1.8027     0.032334    3.2779e-08       1.8027
_SET1_   6184       3  128338813  128369719     71       6  1000      0.11552      0.43576    3.2779e-08      0.11552
_SET1_   10195      3  183960117  183967313      4       1  1000     -0.95112      0.82355    3.2779e-08     -0.95112
_SET1_   6480       3  186648315  186796341    541      70  1000      0.65234      0.23867    3.2779e-08      0.65234
_SET1_   4124       5  109025156  109203429    405      17  1000      -1.4387      0.91786    3.2779e-08      -1.4387
_SET1_   11282      5  179224597  179233952      7       3  1000      0.23493      0.39539    3.2779e-08      0.23493
_SET1_   4245       5  180217541  180237939    100       3  1000      0.18654      0.41502    3.2779e-08      0.18654
_SET1_   4121       6  119498366  119671774    461      23  1000       0.4503      0.30687    3.2779e-08       0.4503
_SET1_   7991       8   15397596   15624158    776      24  1000      0.18833      0.40642    3.2779e-08      0.18833
_SET1_   2683       9   33110636   33167356    146      11  1000     -0.53089      0.68532    3.2779e-08     -0.53089
_SET1_   85365      9  101978707  101984246      1       1  1000       1.1561        0.126    3.2779e-08       1.1561
_SET1_   8818       9  130697374  130700763      5       1  1000     -0.24844      0.59231    3.2779e-08     -0.24844
_SET1_   57171      9  131843383  131852717     13       4  1000       1.7358     0.038982    3.2779e-08       1.7358
_SET1_   11253      9  139981379  140003639     57       9  1000     -0.66945      0.73424    3.2779e-08     -0.66945
_SET1_   23193     11   62392298   62414198     16       3  1000      0.97936      0.15494    3.2779e-08      0.97936
_SET1_   79053     11   77811988   77850699    219       8  1000       1.1262      0.12139    3.2779e-08       1.1262
_SET1_   79796     11  111652919  111742305     71       6  1000      0.70474      0.22631    3.2779e-08      0.70474
_SET1_   1798      11  118967213  118973124     11       3  1000     -0.26277      0.59002    3.2779e-08     -0.26277
_SET1_   3703      11  125462690  125492654    108       7  1000      0.37569       0.3389    3.2779e-08      0.37569
_SET1_   84920     12   34175216   34181237     12       2  1000      -1.3163      0.90051    3.2779e-08      -1.3163
_SET1_   144245    12   38710557   38723528     15       3  1000      0.44372      0.31462    3.2779e-08      0.44372
_SET1_   29880     13   37523907   37573504     63       7  1000      0.83429      0.19142    3.2779e-08      0.83429
_SET1_   440138    13   52586523   52603784     18       3  1000      0.14956      0.42673    3.2779e-08      0.14956
_SET1_   1603      14   23033807   23058143    132       7  1000       1.3519     0.083306    3.2779e-08       1.3519
_SET1_   4247      14   50087460   50090199      1       1  1000      0.64684       0.2485    3.2779e-08      0.64684
_SET1_   2530      14   65877310   66210839    480      20  1000      0.85815      0.18242    3.2779e-08      0.85815
_SET1_   4122      15   91447420   91465815     53       8  1000     -0.36272      0.62844    3.2779e-08     -0.36272
_SET1_   56052     16    5121810    5137380     52       8  1000       0.5995      0.25983    3.2779e-08       0.5995
_SET1_   146664    17   74864798   74946472    430      49  1000       1.0641      0.13141    3.2779e-08       1.0641
_SET1_   6185      20   35807454   35870026    143       6  1000       1.5558     0.055113    3.2779e-08       1.5558
_SET1_   8813      20   49551404   49575081     25       6  1000     -0.45147      0.66456    3.2779e-08     -0.45147
_SET1_   4248      22   39843235   39888199     46      10  1000      -0.6205      0.71663    3.2779e-08      -0.6205
_SET1_   79087     22   50296852   50312106     69       6  1000      0.30368      0.36845    3.2779e-08      0.30368
