# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PLASARI_TGFB1_SIGNALING_VIA_NFIC_1HR_UP (set)
# _SET1_  NGENES = 30
# _SET1_  P-VALUE = 7.8963e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   765        1    9005893    9035151    103      21  1000       2.0152     0.020256   -5.7473e-07       2.0152
_SET1_   2048       1   23037263   23241823    507      53  1000        1.123      0.12606   -5.7473e-07        1.123
_SET1_   54855      1  118148604  118171011     68       8  1000       0.6081      0.25687   -5.7473e-07       0.6081
_SET1_   6646       1  179262849  179327815    230      16  1000     -0.09847      0.51452   -5.7473e-07    -0.098469
_SET1_   4929       2  157180944  157189287      4       2  1000      -1.1349      0.86622   -5.7473e-07      -1.1349
_SET1_   10203      2  188206690  188313021    181      13  1000      0.39802      0.32372   -5.7473e-07      0.39802
_SET1_   9797       3   10290177   10322906     78      10  1000       -1.415      0.91389   -5.7473e-07       -1.415
_SET1_   1234       3   46411633   46417697     18       4  1000       1.0585      0.13598   -5.7473e-07       1.0585
_SET1_   5947       3  139236276  139258671     50      10  1000       1.3693     0.079825   -5.7473e-07       1.3693
_SET1_   7881       3  155838337  156256927    793      57  1000       4.1764   1.2723e-05   -5.7473e-07       4.1764
_SET1_   116832     3  186838741  186857263     28       3  1000       1.4277     0.070373   -5.7473e-07       1.4277
_SET1_   5156       4   55095264   55164412    111       6  1000    -0.020417      0.48502   -5.7473e-07    -0.020416
_SET1_   2028       4  111397229  111484493    147      18  1000     -0.23219      0.57335   -5.7473e-07     -0.23219
_SET1_   5019       5   41730167   41870791    129       5  1000       1.5953     0.048198   -5.7473e-07       1.5953
_SET1_   29940      6  116601231  116762422    278      24  1000      0.91807      0.16628   -5.7473e-07      0.91808
_SET1_   196        7   17338276   17385775     30       6  1000      0.02557      0.47332   -5.7473e-07     0.025571
_SET1_   1687       7   24737974   24797639    143      15  1000      0.46244      0.30458   -5.7473e-07      0.46244
_SET1_   1595       7   91741463   91764059     37       2  1000     -0.92441      0.80552   -5.7473e-07     -0.92441
_SET1_   3638       7  155089486  155101945     39       7  1000      0.27308       0.3755   -5.7473e-07      0.27308
_SET1_   54704      8   94929083   94938296      6       1  1000       1.4162     0.072122   -5.7473e-07       1.4162
_SET1_   4856       8  120428552  120436678     45       3  1000     -0.31424      0.60402   -5.7473e-07     -0.31424
_SET1_   3422      10    1085963    1095061     17       5  1000      -1.1529      0.86856   -5.7473e-07      -1.1529
_SET1_   4013      11  123986111  124017619     62      11  1000       1.2023      0.10701   -5.7473e-07       1.2023
_SET1_   2313      11  128556430  128683162    378      51  1000     0.048042      0.47389   -5.7473e-07     0.048043
_SET1_   2321      13   28874483   29069265    370      35  1000      0.13739      0.43012   -5.7473e-07      0.13739
_SET1_   463       16   72816784   73092534    530      59  1000       1.1551      0.12132   -5.7473e-07       1.1551
_SET1_   4239      17   19286755   19290532      3       1  1000       1.5716     0.056841   -5.7473e-07       1.5716
_SET1_   2123      17   29643428   29648767     13       2  1000     -0.26828      0.58903   -5.7473e-07     -0.26828
_SET1_   4222      17   41717757   41739262     59       8  1000       1.6262     0.047395   -5.7473e-07       1.6262
_SET1_   3783      19   44270685   44286269     50      12  1000     -0.24877       0.5832   -5.7473e-07     -0.24877
