# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION (set)
# _SET1_  NGENES = 78
# _SET1_  P-VALUE = 6.82176e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4802       1   41157242   41237275    142       9  1000     -0.74084        0.756   -5.1611e-06     -0.74083
_SET1_   1520       1  150702672  150738433     42       4  1000      0.86969      0.17773   -5.1611e-06       0.8697
_SET1_   5993       1  151313116  151319785      3       2  1000      0.28512      0.37657   -5.1611e-06      0.28512
_SET1_   3310       1  161494036  161496687      9       4  1000      -1.0686      0.85051   -5.1611e-06      -1.0686
_SET1_   925        2   87011728   87035519     57       5  1000     -0.21595      0.56689   -5.1611e-06     -0.21594
_SET1_   926        2   87042460   87089047    121      14  1000     -0.55152      0.69596   -5.1611e-06     -0.55151
_SET1_   1385       2  208394616  208470284     79       6  1000     -0.13715      0.53569   -5.1611e-06     -0.13714
_SET1_   3308       5  132387662  132440709    100       6  1000       1.2462      0.09741   -5.1611e-06       1.2462
_SET1_   972        5  149781200  149792543     14       5  1000       -1.081      0.85392   -5.1611e-06       -1.081
_SET1_   821        5  179125019  179158642     53       6  1000     -0.35121      0.61796   -5.1611e-06      -0.3512
_SET1_   3134       6   29691117   29695073     24       4  1000    -0.030401      0.49578   -5.1611e-06    -0.030396
_SET1_   3135       6   29794756   29798899     54       4  1000     -0.85838      0.78795   -5.1611e-06     -0.85837
_SET1_   3105       6   29910247   29913661    171      23  1000      -1.0766      0.85481   -5.1611e-06      -1.0765
_SET1_   3133       6   30457183   30461982      4       2  1000       2.1171     0.015743   -5.1611e-06       2.1171
_SET1_   3107       6   31236526   31239913    161      14  1000      -1.2468      0.88648   -5.1611e-06      -1.2468
_SET1_   3106       6   31321649   31324989    138      27  1000     -0.91885      0.81784   -5.1611e-06     -0.91885
_SET1_   4049       6   31539876   31542101      6       2  1000       2.2768     0.010226   -5.1611e-06       2.2768
_SET1_   3305       6   31777396   31790093     11       5  1000     -0.42549      0.65366   -5.1611e-06     -0.42548
_SET1_   3303       6   31782952   31785719      4       2  1000     -0.12294      0.53547   -5.1611e-06     -0.12294
_SET1_   3304       6   31789964   31798032      2       1  1000     0.039185      0.47665   -5.1611e-06      0.03919
_SET1_   3122       6   32407619   32412823     50       7  1000        1.008      0.14587   -5.1611e-06        1.008
_SET1_   3127       6   32485151   32498006    580      18  1000      0.53208      0.28643   -5.1611e-06      0.53209
_SET1_   3123       6   32546546   32557613    567      20  1000     -0.98284      0.83034   -5.1611e-06     -0.98284
_SET1_   3117       6   32605169   32612152    659      18  1000      0.10023      0.44782   -5.1611e-06      0.10024
