# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = TAKAYAMA_BOUND_BY_AR (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 4.60196e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54658      2  234668919  234681945     27       6  1000      0.34165      0.34829   -4.8617e-07      0.34165
_SET1_   5225       6   41704449   41715139     16       5  1000       1.3855     0.076132   -4.8617e-07       1.3855
_SET1_   8935       7   26697397   27034862    717      16  1000       1.1526      0.11322   -4.8617e-07       1.1526
_SET1_   261729     7   89841000   89866992     52       7  1000       1.0248      0.14035   -4.8617e-07       1.0248
_SET1_   5218       7   90225681   90839905   1484      51  1000       1.8124     0.034304   -4.8617e-07       1.8124
_SET1_   26136      7  115850547  115898840    134       9  1000     -0.58651      0.70044   -4.8617e-07     -0.58651
_SET1_   4233       7  116312406  116438440    128      18  1000      0.44413      0.30961   -4.8617e-07      0.44413
_SET1_   9677      15   43825660   43882451     26       3  1000      -1.3428      0.90192   -4.8617e-07      -1.3428
_SET1_   117155    15   43922772   43941039     31       4  1000     -0.61077      0.71222   -4.8617e-07     -0.61077
_SET1_   1000      18   25530930   25757445    357      27  1000       5.3951   9.1245e-17   -4.8617e-07       5.3951

# _SET2_  VARIABLE = TESAR_ALK_TARGETS_HUMAN_ES_4D_DN (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 1.9358e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   10637     1  226073982  226076846     16       3  1000       2.3196    0.0089179   -4.8617e-07       2.3196
_SET2_   7044      1  226124298  226129083      5       2  1000       1.5992     0.051609   -4.8617e-07       1.5992
_SET2_   6997      3   46616045   46623953     38       4  1000     0.044901      0.45893   -4.8617e-07     0.044902
_SET2_   4609      8  128748315  128753680     11       3  1000      0.97893      0.15229   -4.8617e-07      0.97894
_SET2_   4838     10   72191692   72201465     15       3  1000      0.85434      0.18619   -4.8617e-07      0.85434

# _SET3_  VARIABLE = TESAR_ALK_TARGETS_HUMAN_ES_5D_DN (set)
# _SET3_  NGENES = 6
# _SET3_  P-VALUE = 1.0421e-06
_SET3_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   10637     1  226073982  226076846     16       3  1000       2.3196    0.0089179   -4.8617e-07       2.3196
_SET3_   7044      1  226124298  226129083      5       2  1000       1.5992     0.051609   -4.8617e-07       1.5992
_SET3_   6997      3   46616045   46623953     38       4  1000     0.044901      0.45893   -4.8617e-07     0.044902
_SET3_   5460      6   31132114   31138451     50       8  1000     0.088221        0.444   -4.8617e-07     0.088221
_SET3_   4609      8  128748315  128753680     11       3  1000      0.97893      0.15229   -4.8617e-07      0.97894
_SET3_   4838     10   72191692   72201465     15       3  1000      0.85434      0.18619   -4.8617e-07      0.85434
