# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZHANG_ADIPOGENESIS_BY_BMP7 (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 4.87968e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2888      2  165349323  165478360    180      23  1000       2.5423    0.0050287    4.2985e-06       2.5423
_SET1_   3667      2  227596033  227664545    133       9  1000       1.0132      0.16006    4.2985e-06       1.0132
_SET1_   5295      5   67511584   67597649    151      25  1000       3.3153    0.0003997    4.2985e-06       3.3153
_SET1_   6446      6  134490384  134639196    326      49  1000        2.514    0.0060407    4.2985e-06        2.514
_SET1_   4217      6  136878184  137113656    343      32  1000      0.83375      0.18855    4.2985e-06      0.83375
_SET1_   2887      7   50657760   50861159    572      25  1000       1.2278     0.097228    4.2985e-06       1.2278
_SET1_   10603     7  101928405  101962178     56      11  1000      0.80852      0.19401    4.2985e-06      0.80851
_SET1_   3265     11     532242     535561      7       3  1000       -1.097      0.86148    4.2985e-06       -1.097
_SET1_   5286     11   17108108   17229543    173      13  1000     -0.16262      0.53735    4.2985e-06     -0.16262
_SET1_   207      14  105235686  105262080     65      15  1000      0.42333      0.32896    4.2985e-06      0.42332
_SET1_   5595     16   30125426   30134630      7       3  1000      0.31935       0.3636    4.2985e-06      0.31935
_SET1_   4641     17    1367480    1396001     69      20  1000      0.55796      0.28128    4.2985e-06      0.55796
_SET1_   2885     17   73314157   73401790    168       7  1000     -0.18269      0.54811    4.2985e-06     -0.18269
_SET1_   208      19   40736224   40791443     75       8  1000     -0.12392      0.53196    4.2985e-06     -0.12393
