# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN (set)
# _SET1_  NGENES = 30
# _SET1_  P-VALUE = 3.05456e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10256     1   26503981   26516375     22       5  1000      0.82232      0.19465    2.3299e-06      0.82232
_SET1_   51093     1  156698263  156706752     12       3  1000       1.4471     0.067985    2.3299e-06       1.4471
_SET1_   824       1  223889295  223963720    202      14  1000       1.3482     0.084304    2.3299e-06       1.3482
_SET1_   678       2   43449541   43453745      5       2  1000      0.29137      0.37218    2.3299e-06      0.29137
_SET1_   4134      3   47892180   48130769    171       6  1000      0.78811      0.19858    2.3299e-06      0.78811
_SET1_   8637      5  139927251  139929163      2       1  1000      0.32677      0.35777    2.3299e-06      0.32677
_SET1_   26529     6   29364416   29365448      8       1  1000      0.48941      0.28932    2.3299e-06      0.48941
_SET1_   7940      6   31553956   31556686      8       5  1000       -1.079      0.85282    2.3299e-06       -1.079
_SET1_   10559     6   88182637   88222057     81       7  1000      0.86597      0.17849    2.3299e-06      0.86597
_SET1_   23595     6   88299785   88377172    125      12  1000     -0.34749      0.61894    2.3299e-06     -0.34749
_SET1_   2055      8    1703944    1734736     68       4  1000      0.83019      0.18694    2.3299e-06      0.83019
_SET1_   4747      8   24808468   24814383     10       4  1000     -0.80542      0.78199    2.3299e-06     -0.80542
_SET1_   1846      8   29190579   29208267     37       8  1000      -1.2372      0.88512    2.3299e-06      -1.2372
_SET1_   51280     9   88629018   88715116    225      19  1000       2.4955    0.0057721    2.3299e-06       2.4955
_SET1_   9148     10  105253735  105352309    204      25  1000       2.2687     0.010631    2.3299e-06       2.2687
_SET1_   3983     10  116190869  116444762    579      49  1000     -0.17559      0.56887    2.3299e-06     -0.17559
_SET1_   10579    10  123748689  124014057    939     108  1000      0.82851      0.22583    2.3299e-06      0.82851
_SET1_   161      11     925809    1012245    254       7  1000      0.16421      0.40803    2.3299e-06      0.16421
_SET1_   960      11   35160417   35253949    216      39  1000      0.61342      0.26614    2.3299e-06      0.61342
_SET1_   2286     11   64008413   64011607      2       1  1000     0.058145      0.47201    2.3299e-06     0.058142
_SET1_   3606     11  112013974  112034840     33       6  1000       1.1608       0.1134    2.3299e-06       1.1608
_SET1_   397      12   15094949   15114562     37       5  1000      0.72805      0.21762    2.3299e-06      0.72805
_SET1_   636      12   32259713   32536567   1015      51  1000      0.17309      0.43504    2.3299e-06      0.17308
_SET1_   9840     12   55342087   55378965    171       8  1000      0.99135      0.15058    2.3299e-06      0.99135
_SET1_   32       12  109554222  109706031    385      32  1000     0.016982      0.48593    2.3299e-06      0.01698
_SET1_   51131    13   50069746   50103123     87       8  1000      0.14572      0.41908    2.3299e-06      0.14571
_SET1_   81577    16   67708436   67753273     37       6  1000       0.2747      0.38248    2.3299e-06      0.27469
_SET1_   8741     17    7461609    7464925      3       2  1000      0.33805      0.35801    2.3299e-06      0.33804
_SET1_   718      19    6677846    6720662    169      20  1000      0.41582      0.32479    2.3299e-06      0.41582
_SET1_   2116     19   36132647   36136007      2       1  1000      0.27352      0.37936    2.3299e-06      0.27352
