# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 7.66659e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2634      1   89571815   89591842     47       4  1000     -0.68729      0.73376   -4.8682e-06     -0.68729
_SET1_   6772      2  191833762  191878976     76      14  1000     -0.30821      0.60637   -4.8682e-06     -0.30821
_SET1_   63924     3    9908394    9921938     25       4  1000       1.3403     0.083529   -4.8682e-06       1.3403
_SET1_   1356      3  148880197  148939832    127      21  1000       4.1212   1.7246e-05   -4.8682e-06       4.1212
_SET1_   4056      5  179219263  179223616      5       2  1000    -0.038698      0.50833   -4.8682e-06    -0.038693
_SET1_   10537     6   29523389   29527702     19       3  1000       1.0665      0.13509   -4.8682e-06       1.0665
_SET1_   3459      6  137518621  137540981     35       5  1000      0.85038      0.18674   -4.8682e-06      0.85039
_SET1_   1306      9  101705995  101833074    285      29  1000      0.78037      0.20929   -4.8682e-06      0.78038
_SET1_   19        9  107543283  107690527    503      59  1000      0.43409      0.34593   -4.8682e-06      0.43409
_SET1_   10114    11   33274406   33378569     95       8  1000       1.7888     0.031884   -4.8682e-06       1.7888
_SET1_   12       14   95078639   95090395     25       7  1000        1.156      0.11631   -4.8682e-06        1.156
_SET1_   3240     16   72088470   72094955     11       3  1000       3.0539   0.00098539   -4.8682e-06       3.0539
_SET1_   51       17   73937588   73975515     96      13  1000       2.1342     0.014842   -4.8682e-06       2.1342
_SET1_   5105     20   56136137   56141515     19       5  1000       1.3902     0.075743   -4.8682e-06       1.3902
