# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRYPTOPHAN_CATABOLISM (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 1.95539e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   56267      1   89401456   89458643    100       8  1000    -0.022084      0.50084   -2.0847e-06    -0.022081
_SET1_   8564       1  241695324  241758949    163      30  1000      0.11171      0.46948   -2.0847e-06      0.11171
_SET1_   23498      2   42994229   43019753    112       9  1000     -0.75176      0.76829   -2.0847e-06     -0.75175
_SET1_   130013     2  135595994  135659604    134      10  1000       1.0102      0.15173   -2.0847e-06       1.0102
_SET1_   8942       2  143506497  143799885    348      25  1000       2.1143     0.017254   -2.0847e-06       2.1143
_SET1_   6999       4  156824845  156841558     38       7  1000     -0.26719      0.60341   -2.0847e-06     -0.26719
_SET1_   51166      4  170981373  171012823     31       7  1000       1.0158      0.15444   -2.0847e-06       1.0158
_SET1_   3620       8   39771328   39786309     15       6  1000      0.51939      0.30391   -2.0847e-06      0.51939
_SET1_   169355     8   39792474   39873910    366      29  1000      0.88066      0.19169   -2.0847e-06      0.88066
_SET1_   883        9  131595392  131644354     63       6  1000     0.085796      0.45838   -2.0847e-06     0.085798
_SET1_   6520      11   62623484   62656355     22       5  1000      0.13455      0.44445   -2.0847e-06      0.13456
_SET1_   120103    11   92880850   92931095     71       7  1000       3.4464    0.0002665   -2.0847e-06       3.4464
_SET1_   8140      16   87863629   87903100    168      23  1000      0.93506      0.17897   -2.0847e-06      0.93506
_SET1_   125061    17   76183398   76203782     90      17  1000       2.1827     0.015013   -2.0847e-06       2.1827
