# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_DN (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 5.49795e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10100      1  115590632  115632121    112      13  1000      0.93705      0.16159   -2.6641e-06      0.93705
_SET1_   51744      1  160799950  160832692     94       8  1000     -0.11779      0.52617   -2.6641e-06     -0.11779
_SET1_   947        1  208059883  208084742     65      10  1000      0.77193       0.2041   -2.6641e-06      0.77193
_SET1_   4211       2   66662257   66799891    221      31  1000     0.048986      0.46121   -2.6641e-06     0.048988
_SET1_   9168       2   85132763   85133799      1       1  1000        1.252      0.09525   -2.6641e-06        1.252
_SET1_   10203      2  188206690  188313021    181      13  1000      0.61869      0.25203   -2.6641e-06      0.61869
_SET1_   6304       3   18389133   18480265    145      17  1000       1.9158     0.024626   -2.6641e-06       1.9158
_SET1_   1909       4  148402069  148466106    114      13  1000       1.4533     0.065907   -2.6641e-06       1.4533
_SET1_   3575       5   35856977   35879705     69       6  1000        1.096      0.12545   -2.6641e-06        1.096
_SET1_   51523      5  139028301  139063467     40       5  1000      0.90781      0.16807   -2.6641e-06      0.90782
_SET1_   1879       5  158122916  158526788    564      41  1000       1.4916     0.063702   -2.6641e-06       1.4916
_SET1_   9450       6    6588934    6655216    249      40  1000     -0.10496      0.52293   -2.6641e-06     -0.10495
_SET1_   5790      11   67202981   67205153      2       1  1000     -0.18538      0.55547   -2.6641e-06     -0.18538
_SET1_   220323    11  120081747  120100650     51       9  1000      0.34226      0.34374   -2.6641e-06      0.34226
_SET1_   939       12    6554051    6560884     18       8  1000      -1.1607      0.86484   -2.6641e-06      -1.1607
_SET1_   3695      12   53585102   53601065     18       6  1000      -1.0621      0.84134   -2.6641e-06      -1.0621
_SET1_   2322      13   28577411   28682904    393      18  1000      0.13259      0.43095   -2.6641e-06      0.13259
_SET1_   8848      13   45006279   45150701    182       9  1000       1.8554     0.028389   -2.6641e-06       1.8554
_SET1_   9289      16   57653442   57698944    194      40  1000     -0.14925      0.53992   -2.6641e-06     -0.14925
_SET1_   22918     20   23059993   23066977      8       3  1000      0.45848      0.30494   -2.6641e-06      0.45848
_SET1_   8204      21   16333556   16438224    218      29  1000      0.77872      0.20319   -2.6641e-06      0.77872
_SET1_   2078      21   39739183   40033704    794      78  1000      0.86163      0.18958   -2.6641e-06      0.86163

# _SET2_  VARIABLE = CAIRO_HEPATOBLASTOMA_CLASSES_DN (set)
# _SET2_  NGENES = 202
# _SET2_  P-VALUE = 5.4117e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   4681       1   19969723   19984949     43      12  1000     -0.40897      0.63813   -2.6641e-06     -0.40897
_SET2_   57134      1   25943959   26111258    305      23  1000     -0.43368      0.64943   -2.6641e-06     -0.43368
_SET2_   2170       1   31838100   31845923      7       3  1000      0.82079      0.18968   -2.6641e-06       0.8208
