# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_FATTY_ACIDS (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 5.89864e-07
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1580       1  47264670  47285021     64       9  1000     0.051532      0.46735   -2.4489e-06     0.051535
_SET1_   1579       1  47394846  47407156     39       4  1000     -0.33674      0.61354   -2.4489e-06     -0.33674
_SET1_   284541     1  47603107  47614528     39       4  1000       3.3614   0.00032537   -2.4489e-06       3.3614
_SET1_   1573       1  60358980  60392445     50       8  1000      0.84814      0.19013   -2.4489e-06      0.84815
_SET1_   126410    19  15619336  15663128    108      22  1000        1.076      0.14204   -2.4489e-06        1.076
_SET1_   11283     19  15726029  15740448     72       9  1000       0.2306      0.39584   -2.4489e-06      0.23061
_SET1_   4051      19  15751701  15771570    124      10  1000      0.66307       0.2395   -2.4489e-06      0.66308
_SET1_   66002     19  15783567  15807984    181       9  1000       2.8341    0.0018853   -2.4489e-06       2.8341
_SET1_   8529      19  15988834  16008884     68       6  1000         1.41     0.072413   -2.4489e-06         1.41
_SET1_   57834     19  16023180  16045676    107       9  1000      0.97905      0.15291   -2.4489e-06      0.97905
_SET1_   1549      19  41381344  41388657     80       8  1000       0.9694      0.15601   -2.4489e-06      0.96941
_SET1_   1555      19  41497138  41524308    117      12  1000       1.3428     0.084272   -2.4489e-06       1.3428
_SET1_   1553      19  41594356  41602100     21       4  1000     -0.17566      0.55537   -2.4489e-06     -0.17566
_SET1_   1572      19  41620312  41634286     58       8  1000     -0.58574      0.70958   -2.4489e-06     -0.58574
_SET1_   1565      22  42522501  42526883     21       4  1000      0.50966      0.29309   -2.4489e-06      0.50966
