# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON (set)
# _SET1_  NGENES = 51
# _SET1_  P-VALUE = 4.38023e-12
_SET1_   GENE     CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23199     16  85203152  85709812    241      54  1000       2.4706    0.0067153   -3.5803e-06       2.4706
_SET1_   51659     16  85711280  85722588     41       6  1000      0.55045       0.2727   -3.5803e-06      0.55045
_SET1_   404550    16  85741123  85784689    147      12  1000       1.4865     0.059795   -3.5803e-06       1.4865
_SET1_   10328     16  85812230  85833161     54       5  1000     -0.47051      0.66706   -3.5803e-06      -0.4705
_SET1_   1327      16  85833173  85840608      9       2  1000      -1.2229      0.88188   -3.5803e-06      -1.2229
_SET1_   81631     16  87423157  87438380     28       7  1000       4.3065   6.8912e-06   -3.5803e-06       4.3065
_SET1_   23174     16  87439852  87525870    178      20  1000       3.4158   0.00028184   -3.5803e-06       3.4158
_SET1_   57338     16  87635441  87731762    455      51  1000       1.3399     0.086495   -3.5803e-06       1.3399
_SET1_   54758     16  87730239  87799603    293      18  1000     -0.26657      0.58707   -3.5803e-06     -0.26656
_SET1_   8140      16  87863629  87903100    168      23  1000      0.79326       0.2009   -3.5803e-06      0.79326
_SET1_   763       16  87921625  87970173    202      33  1000       2.5596    0.0048449   -3.5803e-06       2.5596
_SET1_   54971     16  87984231  88110924    564      17  1000        1.098      0.11936   -3.5803e-06        1.098
_SET1_   161882    16  88520014  88601574    276      26  1000       3.0769   0.00091705   -3.5803e-06       3.0769
_SET1_   124245    16  88636789  88698372    156      20  1000       1.1713      0.11076   -3.5803e-06       1.1713
_SET1_   27189     16  88705001  88706882      3       1  1000      0.72114      0.22316   -3.5803e-06      0.72115
_SET1_   1535      16  88709697  88717492     25       7  1000       1.4117     0.070696   -3.5803e-06       1.4117
_SET1_   4597      16  88718343  88729495     31       7  1000      0.93621      0.16269   -3.5803e-06      0.93621
_SET1_   333929    16  88744090  88753192     12       3  1000     -0.67164      0.73374   -3.5803e-06     -0.67164
_SET1_   115992    16  88762903  88772829     44      12  1000       1.7342     0.037599   -3.5803e-06       1.7342
_SET1_   348180    16  88772891  88781794     49       9  1000     0.024846      0.47218   -3.5803e-06      0.02485
_SET1_   9780      16  88781746  88851372    329      40  1000       2.0548     0.018339   -3.5803e-06       2.0548
_SET1_   81620     16  88870186  88875666     13       3  1000       2.2901     0.010053   -3.5803e-06       2.2901
_SET1_   353       16  88875877  88878342      5       3  1000       1.2319      0.10442   -3.5803e-06       1.2319
_SET1_   2588      16  88880142  88923374    167      15  1000      0.52051      0.28333   -3.5803e-06      0.52051
_SET1_   51693     16  88923465  88929086     12       3  1000       1.7263     0.038871   -3.5803e-06       1.7263
_SET1_   390748    16  88929746  88933068     10       2  1000       1.8244     0.033405   -3.5803e-06       1.8244
_SET1_   863       16  88941263  89043568    297      28  1000       2.8102    0.0021923   -3.5803e-06       2.8102
_SET1_   197322    16  89160217  89222171    284      14  1000     -0.33986      0.61234   -3.5803e-06     -0.33985
_SET1_   1013      16  89238163  89261900     91      14  1000       1.6949      0.04172   -3.5803e-06       1.6949
_SET1_   197320    16  89284111  89302402     56       6  1000       1.6152       0.0509   -3.5803e-06       1.6152
_SET1_   29123     16  89334029  89556969    333      18  1000      0.63304       0.2404   -3.5803e-06      0.63305
_SET1_   6687      16  89574802  89624174    149       7  1000      0.28443      0.35609   -3.5803e-06      0.28443
_SET1_   6137      16  89613324  89633237     37       2  1000     0.031546      0.46584   -3.5803e-06      0.03155
_SET1_   27132     16  89642176  89663654    104      20  1000       1.0774      0.13334   -3.5803e-06       1.0774
_SET1_   1800      16  89679716  89707216    102      14  1000       1.4605     0.066208   -3.5803e-06       1.4605
_SET1_   5119      16  89710839  89724193     84      14  1000        1.692     0.041432   -3.5803e-06        1.692
_SET1_   124045    16  89724152  89736866     41       7  1000       3.2935   0.00040697   -3.5803e-06       3.2935
_SET1_   8558      16  89753076  89762772     26       6  1000       4.4579   3.3375e-06   -3.5803e-06       4.4579
_SET1_   124044    16  89762765  89768131     11       3  1000        3.492   0.00019487   -3.5803e-06        3.492
_SET1_   9605      16  89773541  89787398     22       5  1000       1.9405     0.022819   -3.5803e-06       1.9405
_SET1_   92822     16  89786393  89807333     97      12  1000       2.2688     0.010021   -3.5803e-06       2.2688
_SET1_   2175      16  89803959  89883066    402      13  1000       1.9529     0.021564   -3.5803e-06       1.9529
_SET1_   84501     16  89894883  89937727    140      13  1000       2.3175    0.0087861   -3.5803e-06       2.3175
_SET1_   22980     16  89939994  89977795    154      10  1000        3.096   0.00088854   -3.5803e-06        3.096
_SET1_   4157      16  89984287  89987385     11       3  1000      0.73094      0.21777   -3.5803e-06      0.73094
_SET1_   10381     16  89988417  90002505     52      10  1000       1.9221     0.025523   -3.5803e-06       1.9221
_SET1_   54849     16  90014560  90034468     85      11  1000       3.0597    0.0010185   -3.5803e-06       3.0597
_SET1_   92806     16  90036183  90039240      5       2  1000       2.4441    0.0069658   -3.5803e-06       2.4441
_SET1_   79007     16  90071279  90085937     52       9  1000       2.0881     0.016471   -3.5803e-06       2.0881
_SET1_   2622      16  90086056  90111379    116      12  1000       2.0678     0.016526   -3.5803e-06       2.0678
_SET1_   11105     16  90122974  90143708     47       7  1000       2.2918     0.010012   -3.5803e-06       2.2918
