# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HUPER_BREAST_BASAL_VS_LUMINAL_UP (set)
# _SET1_  NGENES = 51
# _SET1_  P-VALUE = 2.74253e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   10630      1   13910252   13944452     86      20  1000      0.28647      0.37795   -2.8464e-06      0.28647
_SET1_   2709       1   35220648   35224113      6       2  1000      0.25731      0.38005   -2.8464e-06      0.25731
_SET1_   9635       1   86889769   86922241    134      15  1000       1.8858      0.02714   -2.8464e-06       1.8858
_SET1_   3713       1  152881039  152884362     16       2  1000     -0.99788      0.82669   -2.8464e-06     -0.99788
_SET1_   6698       1  152956564  152958290      5       1  1000       1.1609      0.11238   -2.8464e-06       1.1609
_SET1_   6699       1  153003679  153005376     17       1  1000      0.60352      0.25265   -2.8464e-06      0.60352
_SET1_   6280       1  153330330  153333503      1       1  1000      0.41691        0.323   -2.8464e-06      0.41691
_SET1_   6279       1  153362508  153395054     17       3  1000     -0.58526      0.70332   -2.8464e-06     -0.58526
_SET1_   6278       1  153430220  153436559      5       2  1000     -0.65379      0.72798   -2.8464e-06     -0.65379
_SET1_   6273       1  153533584  153538306      4       1  1000      0.92715      0.16311   -2.8464e-06      0.92716
_SET1_   5317       1  201252580  201302121    200      17  1000      0.18706       0.4095   -2.8464e-06      0.18706
_SET1_   6382       2   20400558   20425194     55       6  1000     -0.47453      0.66511   -2.8464e-06     -0.47453
_SET1_   3552       2  113531492  113542971     25       3  1000       1.1019      0.12425   -2.8464e-06       1.1019
_SET1_   3553       2  113587337  113594356     12       3  1000       0.3844      0.33322   -2.8464e-06       0.3844
_SET1_   3655       2  173291954  173371181    280      21  1000       2.4162    0.0069849   -2.8464e-06       2.4162
_SET1_   5270       2  224839765  224904036    246      29  1000       2.0789      0.01763   -2.8464e-06       2.0789
_SET1_   1475       3  122044011  122060816     53      10  1000    -0.034045      0.49792   -2.8464e-06    -0.034042
_SET1_   8626       3  189348942  189615068    798      96  1000    0.0016907      0.50951   -2.8464e-06    0.0016936
_SET1_   55214      3  189674517  189840226    575      28  1000     -0.35931      0.62175   -2.8464e-06     -0.35931
_SET1_   27065      4    4387983    4420785     87       8  1000      0.43664      0.31381   -2.8464e-06      0.43665
_SET1_   6286       4    6695566    6698897     14       2  1000      -1.3105      0.89557   -2.8464e-06      -1.3105
_SET1_   9547       5  134906369  134914969     11       3  1000       1.0004      0.14736   -2.8464e-06       1.0004
_SET1_   667        6   56322785   56819426    741      22  1000      -1.0543      0.83787   -2.8464e-06      -1.0543
_SET1_   2697       6  121756745  121770873     26       5  1000     -0.14106      0.53768   -2.8464e-06     -0.14105
_SET1_   5803       7  121513159  121702090    310      20  1000      0.88039      0.17758   -2.8464e-06      0.88039
_SET1_   2171       8   82192718   82197012      1       1  1000      -1.9223       0.9698   -2.8464e-06      -1.9223
_SET1_   10397      8  134249414  134309835    164      26  1000       1.0298      0.14615   -2.8464e-06       1.0298
_SET1_   360        9   33441152   33447631     14       5  1000        2.438    0.0066111   -2.8464e-06        2.438
_SET1_   9536       9  132500615  132515344     50       3  1000      0.61407      0.24984   -2.8464e-06      0.61407
_SET1_   1645      10    5005454    5020158     57       6  1000       1.2475     0.097409   -2.8464e-06       1.2475
_SET1_   5654      10  124221041  124274424    147      20  1000     -0.28307      0.59934   -2.8464e-06     -0.28307
_SET1_   4319      11  102641233  102651359     30       7  1000       0.7071      0.22714   -2.8464e-06       0.7071
_SET1_   23650     11  119981994  120056237    144      20  1000      0.31283      0.36535   -2.8464e-06      0.31283
_SET1_   9638      11  125315641  125366206     80      10  1000       1.8698     0.027937   -2.8464e-06       1.8698
_SET1_   5744      12   28111017   28125664     42       8  1000         2.06     0.017827   -2.8464e-06         2.06
_SET1_   347902    12   47469490   47473734      9       3  1000     -0.99928      0.82989   -2.8464e-06     -0.99928
_SET1_   9119      12   52817854   52828110     28       5  1000       1.6427     0.045704   -2.8464e-06       1.6427
_SET1_   3853      12   52880958   52887181     35       5  1000       2.1785     0.013017   -2.8464e-06       2.1785
_SET1_   10631     13   38136719   38172981     74      10  1000       2.5113    0.0053432   -2.8464e-06       2.5113
_SET1_   2877      14   65405870   65409623      8       2  1000      0.14274      0.42357   -2.8464e-06      0.14274
_SET1_   771       15   63615730   63674326     89      20  1000     -0.60546      0.71899   -2.8464e-06     -0.60546
_SET1_   51458     15   90014638   90039799     45       8  1000    -0.095043      0.52104   -2.8464e-06     -0.09504
_SET1_   3868      17   39766030   39769079      2       1  1000    -0.088268      0.51661   -2.8464e-06    -0.088265
_SET1_   1825      18   28570052   28622781    137      14  1000       1.2002      0.10738   -2.8464e-06       1.2002
_SET1_   1828      18   28898052   28937394    150       9  1000     0.082467      0.44666   -2.8464e-06     0.082469
_SET1_   25800     18   33688494   33709357     38       3  1000    0.0068558      0.47504   -2.8464e-06    0.0068587
_SET1_   3963      19   39261608   39264157      3       2  1000     -0.71436       0.7494   -2.8464e-06     -0.71435
_SET1_   182       20   10618332   10654694     82      18  1000       1.3452     0.084966   -2.8464e-06       1.3452
_SET1_   23767     20   14304639   14318313     12       4  1000     0.031597      0.47046   -2.8464e-06       0.0316
_SET1_   5266      20   43803540   43805185     13       2  1000      -1.3373      0.90027   -2.8464e-06      -1.3373
_SET1_   6590      20   43880880   43883205      9       3  1000     -0.45761      0.65963   -2.8464e-06     -0.45761
