# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 8.7428e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57554     1   70033230   70589171   1359      55  1000      0.61478      0.26623   -8.0928e-06      0.61479
_SET1_   88        1  236849754  236927931    245      34  1000      0.85228      0.20109   -8.0928e-06      0.85229
_SET1_   1739      3  196769431  197026171    451      19  1000      0.08026      0.45492   -8.0928e-06     0.080268
_SET1_   817       4  114372188  114683669    690      51  1000      0.84935      0.20254   -8.0928e-06      0.84935
_SET1_   2891      4  158141736  158287227    106       9  1000     -0.73523      0.76316   -8.0928e-06     -0.73523
_SET1_   815       5  149599054  149669403    140      26  1000       3.2079   0.00069558   -8.0928e-06       3.2079
_SET1_   2890      5  152870084  153193429    850      44  1000      0.64896      0.25421   -8.0928e-06      0.64897
_SET1_   816       7   44256749   44365230    188      17  1000     -0.24151      0.58877   -8.0928e-06      -0.2415
_SET1_   4747      8   24808468   24814383     10       4  1000     -0.35338      0.64483   -8.0928e-06     -0.35337
_SET1_   2902      9  140033609  140063214     40       7  1000       0.8444      0.19682   -8.0928e-06       0.8444
_SET1_   818      10   75572259   75634349     60       5  1000      0.35205      0.35539   -8.0928e-06      0.35206
_SET1_   1740     11   83166055   85338314   3987     162  1000       2.5994    0.0055486   -8.0928e-06       2.5994
_SET1_   2893     11  105480800  105852819    542      25  1000      0.64158      0.25074   -8.0928e-06      0.64159
_SET1_   2904     12   13713684   14133022    986      73  1000      0.84237      0.20912   -8.0928e-06      0.84238
_SET1_   801      14   90863327   90874619     21       5  1000     -0.26464      0.60463   -8.0928e-06     -0.26464
_SET1_   2903     16    9847265   10276611   1425      42  1000      0.77545      0.20867   -8.0928e-06      0.77546
_SET1_   1742     17    7093209    7123369     34       7  1000      0.58613      0.27767   -8.0928e-06      0.58614
_SET1_   2905     17   72838162   72856966     34       2  1000       1.4898     0.065489   -8.0928e-06       1.4898
_SET1_   2906     19   48898132   48948188     79      16  1000       1.1884      0.11802   -8.0928e-06       1.1884
