# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_SULFUR_AMINO_ACID_METABOLISM (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 2.27694e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1491          1   70876901   70905534     56      11  1000      0.98729      0.15206   -8.1558e-06       0.9873
_SET1_   100131187     1  161007418  161008887      2       1  1000       1.0873      0.13678   -8.1558e-06       1.0873
_SET1_   4548          1  236958581  237067281    275      13  1000      0.76146      0.20867   -8.1558e-06      0.76147
_SET1_   55256         2    3501690    3523350     94       5  1000      0.22923      0.38925   -8.1558e-06      0.22924
_SET1_   339896        3   30767692   30936153    590      40  1000    -0.083199      0.52699   -8.1558e-06    -0.083191
_SET1_   58478         4   83351726   83382245     62      13  1000      0.14067      0.42942   -8.1558e-06      0.14068
_SET1_   4552          5    7851299    7901237    147      20  1000     -0.56138      0.69929   -8.1558e-06     -0.56137
_SET1_   23743         5   78365547   78385897     40       5  1000      0.14795      0.42333   -8.1558e-06      0.14795
_SET1_   635           5   78407604   78428113     36       7  1000     -0.40924      0.64319   -8.1558e-06     -0.40923
_SET1_   1036          5  115140430  115152405     12       3  1000      -1.1993      0.87987   -8.1558e-06      -1.1993
_SET1_   4507          9   21802635   21941040    261      24  1000      -1.1816      0.87388   -8.1558e-06      -1.1816
_SET1_   84890        10   64564516   64568239      7       2  1000      0.73761      0.22243   -8.1558e-06      0.73761
_SET1_   4143         10   82031576   82049721     33       5  1000      0.52323      0.28543   -8.1558e-06      0.52324
_SET1_   2805         10  101156627  101190530     41      10  1000      0.36479      0.34412   -8.1558e-06       0.3648
_SET1_   51074        11   34903842   34937939    204      11  1000        3.278    0.0004365   -8.1558e-06        3.278
_SET1_   51380        12   53551447   53575422     15       3  1000       1.1413      0.12091   -8.1558e-06       1.1413
_SET1_   6821         12   56391043   56399309     10       4  1000     -0.98242      0.82978   -8.1558e-06     -0.98241
_SET1_   58472        15   45923346   45983492    218      29  1000       2.1742     0.013694   -8.1558e-06       2.1742
_SET1_   2806         16   58741035   58768246     88       9  1000       1.1887      0.10867   -8.1558e-06       1.1887
_SET1_   1468         17   79679266   79688046     26       5  1000     -0.23651      0.57819   -8.1558e-06      -0.2365
_SET1_   84245        19   13875328   13885096     19       4  1000     -0.42604      0.65087   -8.1558e-06     -0.42603
_SET1_   23474        19   44010871   44031408     57       7  1000      0.34371      0.34842   -8.1558e-06      0.34372
_SET1_   191          20   32868071   32899608     46       4  1000       0.4184      0.32474   -8.1558e-06       0.4184
_SET1_   875          21   44473301   44496472     74      13  1000       2.5577    0.0046658   -8.1558e-06       2.5577
_SET1_   25828        22   36863083   36878072     54       6  1000     -0.28064      0.59446   -8.1558e-06     -0.28064
_SET1_   7263         22   37406900   37416224     27       4  1000      0.63111      0.25005   -8.1558e-06      0.63111
_SET1_   4357         22   37415683   37425863     23       5  1000      0.84481      0.18866   -8.1558e-06      0.84482
