# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_MEIOTIC_RECOMBINATION (set)
# _SET1_  NGENES = 60
# _SET1_  P-VALUE = 6.30139e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6118       1   28218035   28241255     45       2  1000      0.85422       0.1814    2.4604e-06      0.85422
_SET1_   4438       1   76262556   76379581    372      20  1000      0.79157       0.1975    2.4604e-06      0.79157
_SET1_   3020       1  226250408  226259703      5       1  1000       1.0741      0.12843    2.4604e-06       1.0741
_SET1_   8290       1  228612546  228613026      1       1  1000    -0.071485       0.5014    2.4604e-06    -0.071487
_SET1_   4292       3   37034841   37092337     58       2  1000      0.66644      0.23585    2.4604e-06      0.66644
_SET1_   3015       4  100869242  100871512      4       1  1000    -0.074146      0.50455    2.4604e-06    -0.074149
_SET1_   84057      4  154265801  154336247    133      12  1000      0.84899       0.1827    2.4604e-06      0.84899
_SET1_   56979      5   23507724   23528706     22       5  1000      0.56676      0.26369    2.4604e-06      0.56676
_SET1_   10111      5  131892616  131980313    119       7  1000      -1.4302      0.91386    2.4604e-06      -1.4302
_SET1_   255626     6   25727137   25727573      4       1  1000      0.27712       0.3685    2.4604e-06      0.27711
_SET1_   8359       6   26021907   26022278      1       1  1000      0.67072       0.2294    2.4604e-06      0.67072
_SET1_   8366       6   26027124   26027480      2       1  1000        1.108      0.12415    2.4604e-06        1.108
_SET1_   8358       6   26031817   26032288      1       1  1000       0.3586        0.342    2.4604e-06      0.35859
_SET1_   8335       6   26033320   26033796      2       1  1000     -0.33311      0.60821    2.4604e-06     -0.33311
_SET1_   8352       6   26045639   26046097      3       2  1000     0.022074      0.46754    2.4604e-06     0.022071
_SET1_   8364       6   26104176   26104565      2       1  1000     -0.65009      0.72444    2.4604e-06     -0.65009
_SET1_   8347       6   26113389   26124266     23       4  1000     -0.17372      0.55014    2.4604e-06     -0.17373
_SET1_   8334       6   26124370   26139337     42       7  1000     -0.20636      0.56261    2.4604e-06     -0.20636
_SET1_   3017       6   26157419   26171577     13       3  1000      0.98652      0.14737    2.4604e-06      0.98652
_SET1_   8344       6   26184024   26184458      2       1  1000     -0.72573      0.74672    2.4604e-06     -0.72574
_SET1_   8351       6   26196982   26199521     11       3  1000       1.1534      0.11265    2.4604e-06       1.1534
_SET1_   3013       6   26199012   26199521      3       1  1000    -0.067654      0.49689    2.4604e-06    -0.067656
_SET1_   8343       6   26199787   26200216      2       1  1000        1.701     0.039887    2.4604e-06        1.701
_SET1_   8367       6   26204873   26205249      1       1  1000     -0.44172       0.6446    2.4604e-06     -0.44172
_SET1_   8339       6   26216428   26216872      2       1  1000      0.95899      0.15088    2.4604e-06      0.95898
_SET1_   8361       6   26240654   26241021      1       1  1000     -0.25306       0.5731    2.4604e-06     -0.25306
_SET1_   8365       6   26281278   26285844     10       3  1000     -0.22961      0.57176    2.4604e-06     -0.22961
_SET1_   8970       6   27093912   27100743      3       1  1000       1.2873     0.088511    2.4604e-06       1.2873
_SET1_   85236      6   27106072   27114637      3       1  1000     -0.77216      0.75863    2.4604e-06     -0.77217
_SET1_   8294       6   27106924   27108258      1       1  1000     -0.77256       0.7605    2.4604e-06     -0.77256
_SET1_   8340       6   27775257   27775709      2       1  1000      0.15243       0.4108    2.4604e-06      0.15242
_SET1_   8341       6   27805544   27821533     19       3  1000      0.79629      0.19435    2.4604e-06      0.79629
_SET1_   8354       6   27839623   27840099      1       1  1000      0.92219        0.162    2.4604e-06      0.92219
_SET1_   8356       6   27858093   27858570      1       1  1000       1.3555     0.077781    2.4604e-06       1.3555
_SET1_   8348       6   27861203   27926100      4       1  1000     0.064828      0.44946    2.4604e-06     0.064825
_SET1_   4439       6   31707725   31730455     26       6  1000      0.11219      0.43277    2.4604e-06      0.11218
_SET1_   6119       7    7676347    7758238    225      18  1000      0.12967      0.42978    2.4604e-06      0.12967
_SET1_   94239      7   44866488   44887725     39       5  1000      0.94797       0.1587    2.4604e-06      0.94797
