# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MONNIER_POSTRADIATION_TUMOR_ESCAPE_UP (set)
# _SET1_  NGENES = 391
# _SET1_  P-VALUE = 1.58958e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5226          1   10458884   10480565     32       3  1000      0.12929      0.42866   -2.7074e-06       0.1293
_SET1_   23435         1   11072462   11085549     24       4  1000      0.19916      0.42625   -2.7074e-06      0.19917
_SET1_   6723          1   11114649   11120091      7       2  1000     -0.35856      0.65013   -2.7074e-06     -0.35856
_SET1_   29914         1   11333255   11348491     14       1  1000      0.76193       0.2306   -2.7074e-06      0.76193
_SET1_   10630         1   13910252   13944452     86      20  1000       1.3732     0.083666   -2.7074e-06       1.3732
_SET1_   1104          1   28832455   28865708     60       6  1000     -0.55529      0.70259   -2.7074e-06     -0.55529
_SET1_   200081        1   32645293   32663886     14       2  1000      0.35234      0.37607   -2.7074e-06      0.35234
_SET1_   84734         1   32712818   32714461      1       1  1000      0.97571       0.1891   -2.7074e-06      0.97572
_SET1_   6421          1   35641981   35658766     39       5  1000       1.5214     0.068689   -2.7074e-06       1.5215
_SET1_   64960         1   36921362   36930040     39       6  1000     -0.90815      0.81756   -2.7074e-06     -0.90815
_SET1_   54955         1   38147242   38158007     39       4  1000      0.25256      0.38573   -2.7074e-06      0.25257
_SET1_   8761          1   40026485   40042522     18       4  1000       1.0418      0.14564   -2.7074e-06       1.0418
_SET1_   10269         1   40723722   40759856     32       6  1000     -0.45393      0.67207   -2.7074e-06     -0.45393
_SET1_   84251         1   66999066   67210768    648      21  1000     -0.29502      0.60232   -2.7074e-06     -0.29502
_SET1_   55970         1   68167149   68299436    245      26  1000       2.1912     0.013827   -2.7074e-06       2.1912
_SET1_   117178        1   85109390   85156440     89      10  1000      0.29339      0.37965   -2.7074e-06       0.2934
_SET1_   22823         1   93544792   93604638     86       9  1000      0.56321      0.28426   -2.7074e-06      0.56321
_SET1_   2730          1   94352590   94375154     49       7  1000       2.2154      0.01281   -2.7074e-06       2.2154
_SET1_   55170         1  107599267  107601916      2       1  1000     -0.38181      0.65756   -2.7074e-06     -0.38181
_SET1_   271           1  110162435  110174677     19       4  1000      0.34926       0.3609   -2.7074e-06      0.34926
_SET1_   204851        1  114471819  114520491     39       5  1000        1.137      0.12143   -2.7074e-06        1.137
_SET1_   476           1  116914802  116948069     50       5  1000     -0.95869       0.8387   -2.7074e-06     -0.95868
_SET1_   56957         1  149912229  149982686     33       5  1000   -0.0094512      0.50321   -2.7074e-06   -0.0094485
_SET1_   51107         1  150237799  150241609      1       1  1000     -0.88643       0.8266   -2.7074e-06     -0.88643
_SET1_   9129          1  150293928  150325704     70       8  1000     -0.48447      0.67417   -2.7074e-06     -0.48447
_SET1_   54856         1  155719450  155829185    110       6  1000       -0.234      0.58468   -2.7074e-06       -0.234
_SET1_   22889         1  155882834  155904209     17       2  1000      0.54169       0.2904   -2.7074e-06      0.54169
_SET1_   9673          1  156163728  156182587     24       3  1000      0.28087      0.37904   -2.7074e-06      0.28087
_SET1_   23381         1  156219015  156252676     68       6  1000     -0.32639      0.61072   -2.7074e-06     -0.32639
_SET1_   25790         1  159842150  159869992     63       9  1000     -0.50246      0.68846   -2.7074e-06     -0.50246
_SET1_   481           1  169075947  169101960    108      18  1000     -0.83189      0.79073   -2.7074e-06     -0.83189
_SET1_   5396          1  170633313  170708541     74      13  1000      0.63621      0.25388   -2.7074e-06      0.63621
_SET1_   1660          1  182808439  182857117     48       5  1000     0.023345      0.49888   -2.7074e-06     0.023347
_SET1_   4660          1  202317830  202557697    217       6  1000     -0.97138      0.81368   -2.7074e-06     -0.97137
_SET1_   51094         1  202909960  202927700     54      11  1000      0.32339      0.37033   -2.7074e-06      0.32339
_SET1_   6900          1  205012340  205047173    114      13  1000     -0.48082      0.67634   -2.7074e-06     -0.48081
_SET1_   9816          1  229761981  229795946     53       5  1000      -0.4472      0.65489   -2.7074e-06      -0.4472
_SET1_   4548          1  236958581  237067281    275      13  1000      -2.2147      0.98501   -2.7074e-06      -2.2147
_SET1_   4953          2   10580507   10588680     17       4  1000       1.4774     0.070635   -2.7074e-06       1.4774
_SET1_   6382          2   20400558   20425194     55       6  1000      0.88419      0.17664   -2.7074e-06      0.88419
_SET1_   1058          2   27008857   27023935     37       3  1000      -0.6654      0.73232   -2.7074e-06      -0.6654
_SET1_   7498          2   31557188   31637611    184      27  1000       1.4043     0.078442   -2.7074e-06       1.4043
_SET1_   4052          2   33172221   33624576   1250      65  1000     -0.18798      0.59568   -2.7074e-06     -0.18798
_SET1_   25940         2   33808727   33824362     35       7  1000      0.44109      0.32134   -2.7074e-06       0.4411
