# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = AUNG_GASTRIC_CANCER (set)
# _SET1_  NGENES = 47
# _SET1_  P-VALUE = 7.78192e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55920      1   17733251   17766250     49       5  1000       2.8673    0.0017399   -2.9052e-06       2.8673
_SET1_   93974      1   28562602   28564616      5       2  1000     -0.42356      0.64886   -2.9052e-06     -0.42356
_SET1_   3725       1   59246463   59249785      2       1  1000      0.26236      0.37615   -2.9052e-06      0.26236
_SET1_   83998      1  120336641  120354203     52       8  1000       0.7044      0.23024   -2.9052e-06      0.70441
_SET1_   55204      1  150618701  150669672     96       4  1000     -0.16525      0.53396   -2.9052e-06     -0.16524
_SET1_   84072      1  150670535  150693372     55       2  1000    -0.085166      0.49735   -2.9052e-06    -0.085163
_SET1_   7059       1  155165379  155177772     10       2  1000     0.043278      0.46063   -2.9052e-06     0.043281
_SET1_   7203       1  156278752  156308206     64       4  1000       1.2373     0.095605   -2.9052e-06       1.2373
_SET1_   63892      2   43457975   43823185    718      21  1000       1.5282     0.056082   -2.9052e-06       1.5282
_SET1_   6819       2  108905095  108926371     35       7  1000       0.3598      0.34787   -2.9052e-06       0.3598
_SET1_   51146      3  137842560  137851229     12       2  1000       2.3247    0.0085679   -2.9052e-06       2.3247
_SET1_   8602       4    2939663    2965233     53       6  1000     -0.15465      0.54236   -2.9052e-06     -0.15465
_SET1_   501        5  125877533  125931104    146      23  1000   -0.0020932      0.50708   -2.9052e-06   -0.0020903
_SET1_   6892       6   33267471   33282164     21       3  1000       1.2294     0.099222   -2.9052e-06       1.2294
_SET1_   5603       6   36098261   36112301     13       3  1000       2.6624    0.0033754   -2.9052e-06       2.6624
_SET1_   83699      6   80341000   80413369    164      20  1000     -0.70526      0.75939   -2.9052e-06     -0.70525
_SET1_   54905      7    1020100    1029276     15       4  1000       1.2641     0.096376   -2.9052e-06       1.2641
_SET1_   3206       7   27210210   27219880      7       2  1000      0.34324      0.34772   -2.9052e-06      0.34324
_SET1_   3475       7  112063199  112117258    161      19  1000        1.353     0.087246   -2.9052e-06        1.353
_SET1_   1671       8    6782216    6783598      4       2  1000     -0.87006      0.79751   -2.9052e-06     -0.87006
_SET1_   1670       8    6912829    6914259      6       3  1000     0.065095      0.46192   -2.9052e-06     0.065097
_SET1_   27121      8   42231586   42234674      4       1  1000      0.72563       0.2164   -2.9052e-06      0.72563
_SET1_   6132       8  146015152  146017805     12       2  1000       1.2911     0.088514   -2.9052e-06       1.2911
_SET1_   55335      9  107526022  107540045     42       9  1000     -0.24256      0.58719   -2.9052e-06     -0.24256
_SET1_   25956     10  102246397  102279711     39       2  1000     -0.30148      0.58634   -2.9052e-06     -0.30148
_SET1_   11101     10  123499939  123688149    553      28  1000      0.81077      0.20437   -2.9052e-06      0.81077
_SET1_   4319      11  102641233  102651359     30       7  1000     -0.91184      0.81166   -2.9052e-06     -0.91184
_SET1_   5571      12   49396055   49413012      8       1  1000      0.99854      0.14193   -2.9052e-06      0.99854
_SET1_   6773      12   56735381   56754058     11       4  1000     -0.90348      0.80825   -2.9052e-06     -0.90348
_SET1_   8683      12  120899471  120907558     20       6  1000     -0.23017      0.58055   -2.9052e-06     -0.23017
_SET1_   7178      13   45911005   45915505      8       2  1000       1.8251     0.030331   -2.9052e-06       1.8252
_SET1_   10562     13   53602876   53626196     58      12  1000       1.2522      0.10297   -2.9052e-06       1.2522
_SET1_   91754     14   75548818   75593778     53       2  1000    -0.086219      0.49804   -2.9052e-06    -0.086216
_SET1_   9716      15   35148552   35261995    165      10  1000      0.57384      0.26613   -2.9052e-06      0.57384
_SET1_   7301      15   41851220   41871536     33       6  1000      0.95756      0.15983   -2.9052e-06      0.95756
_SET1_   55055     15   66797431   66841823     75      11  1000      -1.2306      0.88621   -2.9052e-06      -1.2306
_SET1_   3603      15   81474941   81605104    356      26  1000      0.11205      0.45446   -2.9052e-06      0.11205
_SET1_   863       16   88941263   89043568    297      28  1000      0.51023      0.30952   -2.9052e-06      0.51023
_SET1_   5469      17   37560538   37607527     54       3  1000      0.44696      0.30033   -2.9052e-06      0.44696
_SET1_   332       17   76210277   76221716     55       6  1000       2.4946    0.0054827   -2.9052e-06       2.4946
_SET1_   201255    17   79981280   79989027      3       1  1000     -0.85291      0.78812   -2.9052e-06     -0.85291
_SET1_   148223    19    1473200    1479555      7       4  1000     -0.10821      0.53123   -2.9052e-06     -0.10821
_SET1_   23476     19   15348301   15443354     59       4  1000       0.5712      0.26146   -2.9052e-06       0.5712
_SET1_   5349      19   35606732   35615228     27       5  1000      0.42173      0.32157   -2.9052e-06      0.42173
_SET1_   8190      19   41281082   41283398      6       1  1000      -1.0552       0.8383   -2.9052e-06      -1.0552
_SET1_   4605      20   42295659   42345136     97       6  1000    -0.013295      0.48039   -2.9052e-06    -0.013292
_SET1_   2114      21   40177231   40196879     36       7  1000      -1.0548      0.84677   -2.9052e-06      -1.0548

# _SET2_  VARIABLE = BIOCARTA_ERBB4_PATHWAY (set)
# _SET2_  NGENES = 7
# _SET2_  P-VALUE = 1.9283e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   6868      2    9629392    9695917    165      14  1000      0.66084      0.24504   -2.9052e-06      0.66084
_SET2_   2066      2  212240442  213403879   3349     164  1000     -0.54841      0.76831   -2.9052e-06     -0.54841
_SET2_   9542      5  139226364  139422884    282      24  1000      0.60053      0.27358   -2.9052e-06      0.60053
_SET2_   10718    10   83635070   84746935   2508     140  1000       3.8471   0.00012569   -2.9052e-06       3.8471
_SET2_   5663     14   73603143   73690399    115      19  1000       2.5516    0.0054375   -2.9052e-06       2.5516
_SET2_   5579     16   23847300   24231932    897      75  1000    -0.084473      0.58282   -2.9052e-06     -0.08447
_SET2_   5578     17   64298760   64806862   1352      84  1000     -0.29431      0.66018   -2.9052e-06      -0.2943
