# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BURTON_ADIPOGENESIS_PEAK_AT_24HR (set)
# _SET1_  NGENES = 45
# _SET1_  P-VALUE = 3.11286e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3925       1   26210670   26233368     22       3  1000      0.27438       0.3721   -1.1687e-06      0.27438
_SET1_   991        1   43824626   43828874      3       2  1000      0.22101      0.40098   -1.1687e-06      0.22101
_SET1_   6279       1  153362508  153395054     17       3  1000     -0.11453      0.53006   -1.1687e-06     -0.11453
_SET1_   91687      1  173768688  173794325     39       5  1000      0.16844      0.41412   -1.1687e-06      0.16844
_SET1_   183        1  230838269  230850336     40       6  1000      0.79554      0.19723   -1.1687e-06      0.79554
_SET1_   790        2   27440258   27466660     41       6  1000     -0.19724      0.55735   -1.1687e-06     -0.19724
_SET1_   699        2  111395275  111435684     17       1  1000      0.69888      0.23737   -1.1687e-06      0.69888
_SET1_   890        4  122737599  122745153     15       4  1000      0.24049      0.38747   -1.1687e-06      0.24049
_SET1_   891        5   68462837   68474072     32       4  1000      0.95344      0.15654   -1.1687e-06      0.95344
_SET1_   10112      5  137514408  137523404      4       1  1000     -0.28662      0.60164   -1.1687e-06     -0.28662
_SET1_   995        5  137620959  137674064     85       7  1000     -0.62915      0.71477   -1.1687e-06     -0.62915
_SET1_   9232       5  159848865  159855747     19       5  1000      0.46783      0.30396   -1.1687e-06      0.46784
_SET1_   3161       5  162887517  162918951     62       8  1000     -0.54926      0.68835   -1.1687e-06     -0.54926
_SET1_   5617       6   22287473   22303082     26       6  1000     -0.13538      0.53265   -1.1687e-06     -0.13537
_SET1_   3833       6   33359301   33377701     23       4  1000      0.41902      0.31893   -1.1687e-06      0.41902
_SET1_   358        7   30951415   30965131     27       7  1000       0.3887       0.3298   -1.1687e-06       0.3887
_SET1_   54443      7   36429415   36493400    138      18  1000       1.3594     0.077815   -1.1687e-06       1.3594
_SET1_   9833       9   36572859   36677680    140       6  1000     -0.13371      0.53145   -1.1687e-06     -0.13371
_SET1_   3934       9  130911732  130915734      4       2  1000      0.56656      0.27527   -1.1687e-06      0.56656
_SET1_   79095      9  130922539  130926207      4       1  1000      0.63667      0.25756   -1.1687e-06      0.63667
_SET1_   728113    10   47157983   47174180      3       1  1000     -0.03332      0.50278   -1.1687e-06    -0.033319
_SET1_   983       10   62538089   62554610     49       5  1000       1.2944     0.088247   -1.1687e-06       1.2944
_SET1_   6240      11    4115791    4160116    114      11  1000      0.73082      0.21396   -1.1687e-06      0.73082
_SET1_   3014      11  118964580  118966177      3       1  1000      0.40994      0.33056   -1.1687e-06      0.40994
_SET1_   29127     12   50382945   50425586     59       2  1000      0.23247      0.39174   -1.1687e-06      0.23247
_SET1_   3843      13   98605914   98676550     85       7  1000     0.040297      0.45941   -1.1687e-06     0.040298
_SET1_   51203     15   41624892   41673248     59       6  1000      0.83811      0.18511   -1.1687e-06      0.83812
_SET1_   9055      15   91509268   91537881     88       9  1000     -0.27444       0.5854   -1.1687e-06     -0.27444
_SET1_   3835      16   29801383   29816706      1       1  1000     0.097375        0.472   -1.1687e-06     0.097376
_SET1_   79077     16   30435019   30441373      2       1  1000      0.11348      0.44614   -1.1687e-06      0.11348
_SET1_   9212      17    8108049    8113944     10       4  1000      0.89216       0.1754   -1.1687e-06      0.89216
_SET1_   7153      17   38544773   38574202     10       2  1000      0.58854      0.26593   -1.1687e-06      0.58854
_SET1_   6426      17   56078280   56084707      4       2  1000      0.34307      0.35528   -1.1687e-06      0.34307
_SET1_   3838      17   66031848   66042970     27       3  1000      -1.0388      0.83885   -1.1687e-06      -1.0388
_SET1_   2584      17   73754018   73761280     13       3  1000      0.74559      0.21542   -1.1687e-06      0.74559
_SET1_   7083      17   76170160   76183285     47       9  1000       2.1526     0.013684   -1.1687e-06       2.1526
_SET1_   126003    19    7745707    7747748      4       2  1000     -0.18626      0.56194   -1.1687e-06     -0.18626
_SET1_   1994      19    8023457    8070529     59       6  1000       0.5976      0.25579   -1.1687e-06       0.5976
_SET1_   51477     19   18545198   18549111      6       1  1000    -0.082326      0.51933   -1.1687e-06    -0.082325
_SET1_   56915     19   41892275   41903289     17       2  1000      0.96078      0.15652   -1.1687e-06      0.96078
_SET1_   6625      19   49588465   49611870     22       6  1000     -0.90317      0.80236   -1.1687e-06     -0.90317
_SET1_   128488    20   43752067   43753106      3       1  1000     -0.38443      0.63964   -1.1687e-06     -0.38443
_SET1_   6590      20   43880880   43883205      9       3  1000      0.28437       0.3759   -1.1687e-06      0.28437
_SET1_   11065     20   44441255   44445596      5       2  1000     -0.08657      0.52035   -1.1687e-06    -0.086568
_SET1_   5905      22   41640781   41682255     65       6  1000       2.6256    0.0036015   -1.1687e-06       2.6256
