# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_INTEGRIN1_PATHWAY (set)
# _SET1_  NGENES = 64
# _SET1_  P-VALUE = 8.57574e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7412       1  101185196  101204601     30      13  1000       1.3827     0.083239   -3.8198e-06       1.3828
_SET1_   1301       1  103342023  103574052    682      27  1000       1.5375     0.056761   -3.8198e-06       1.5375
_SET1_   8515       1  145524709  145543868     19       5  1000     -0.32708      0.62061   -3.8198e-06     -0.32708
_SET1_   93185      1  160061129  160068650     12       3  1000     -0.23727      0.58409   -3.8198e-06     -0.23726
_SET1_   3915       1  182992572  183114727    395       8  1000       1.3291     0.077734   -3.8198e-06       1.3291
_SET1_   3918       1  183147952  183214262    191      14  1000      0.60437       0.2579   -3.8198e-06      0.60438
_SET1_   3914       1  209788215  209825820    126      18  1000     -0.33919      0.62501   -3.8198e-06     -0.33919
_SET1_   4811       1  236139130  236228481    239      28  1000      -0.1356      0.54466   -3.8198e-06      -0.1356
_SET1_   3655       2  173291954  173371181    280      21  1000      -1.0112      0.83703   -3.8198e-06      -1.0112
_SET1_   3676       2  182321619  182402474    174      17  1000       1.0044      0.14819   -3.8198e-06       1.0044
_SET1_   3685       2  187454058  187545629    111      13  1000       1.2916     0.091738   -3.8198e-06       1.2916
_SET1_   1281       2  189839099  189877472     76      12  1000    -0.049093      0.51066   -3.8198e-06     -0.04909
_SET1_   1290       2  189896641  190044668    320      10  1000       5.3731   1.6107e-08   -3.8198e-06       5.3731
_SET1_   2335       2  216225177  216300890    207      19  1000      -0.7327      0.75563   -3.8198e-06     -0.73269
_SET1_   1286       2  227867427  228029275    404      33  1000       1.6789     0.043613   -3.8198e-06       1.6789
_SET1_   1285       2  228029281  228179508    660      54  1000     -0.03267      0.51532   -3.8198e-06    -0.032666
_SET1_   1293       2  238232655  238322850    177      29  1000      0.34074       0.3631   -3.8198e-06      0.34074
_SET1_   3680       3   37493813   37861281    770      57  1000     -0.14142      0.55582   -3.8198e-06     -0.14142
_SET1_   1294       3   48601506   48632593     15       3  1000     0.059133      0.47193   -3.8198e-06     0.059136
_SET1_   3913       3   49158547   49170599      3       1  1000       1.6863     0.045605   -3.8198e-06       1.6863
_SET1_   6696       4   88896802   88904563     19       5  1000       1.8148     0.033128   -3.8198e-06       1.8148
_SET1_   255743     4  106816588  106892828    144       7  1000     -0.36755      0.62723   -3.8198e-06     -0.36755
_SET1_   2244       4  155484132  155493915     14       2  1000     -0.55602      0.70038   -3.8198e-06     -0.55602
_SET1_   2243       4  155504280  155511897      6       3  1000      0.88259      0.18621   -3.8198e-06       0.8826
_SET1_   2266       4  155525286  155533902      3       1  1000        1.031      0.14785   -3.8198e-06        1.031
_SET1_   3672       5   52084136   52249485    496      56  1000       1.3548      0.08972   -3.8198e-06       1.3548
_SET1_   3673       5   52285156   52390609    310      19  1000      0.27663      0.37371   -3.8198e-06      0.27664
_SET1_   7045       5  135364584  135399507     67       5  1000         1.84     0.028995   -3.8198e-06         1.84
_SET1_   929        5  140011313  140013286      3       1  1000      0.40628      0.33585   -3.8198e-06      0.40628
_SET1_   2162       6    6144311    6320924    567      74  1000       2.6217    0.0049607   -3.8198e-06       2.6217
_SET1_   1302       6   33130469   33160245     80      11  1000      0.81279       0.1984   -3.8198e-06       0.8128
_SET1_   7422       6   43737946   43754224     39      10  1000     0.080726      0.45707   -3.8198e-06      0.08073
_SET1_   3910       6  112429134  112575924    373      34  1000       1.3033     0.093201   -3.8198e-06       1.3033
_SET1_   3908       6  129204286  129837711   1365      58  1000      0.17057      0.42347   -3.8198e-06      0.17057
_SET1_   7058       6  169615875  169654137    170      28  1000      -1.2415      0.89073   -3.8198e-06      -1.2415
_SET1_   1278       7   94023873   94060544     92      16  1000      -0.2157      0.57637   -3.8198e-06      -0.2157
_SET1_   3912       7  107564244  107643804    153      25  1000        5.414    1.158e-12   -3.8198e-06       5.4141
_SET1_   3371       9  117781854  117880536    265      24  1000     -0.38181       0.6367   -3.8198e-06     -0.38181
_SET1_   1289       9  137533651  137736689    699      67  1000      -1.2158      0.89231   -3.8198e-06      -1.2158
