# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = KEGG_N_GLYCAN_BIOSYNTHESIS (set)
# _SET1_  NGENES = 44
# _SET1_  P-VALUE = 7.54588e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1650       1   20978260   20988037     24       4  1000     -0.12102      0.52434   -6.0425e-06     -0.12101
_SET1_   57134      1   25943959   26111258    305      23  1000      0.71962      0.23186   -6.0425e-06      0.71962
_SET1_   8704       1   44444874   44456843     18       5  1000      0.85021      0.18884   -6.0425e-06      0.85022
_SET1_   29929      1   63833261   63904233    124      11  1000     -0.99732       0.8268   -6.0425e-06     -0.99732
_SET1_   199857     1   95448279   95538512    119      15  1000       1.7532     0.036062   -6.0425e-06       1.7532
_SET1_   10905      1  117910085  118068320    322      13  1000      0.58823      0.26314   -6.0425e-06      0.58823
_SET1_   8703       1  161141100  161147758      5       2  1000     -0.96436      0.82082   -6.0425e-06     -0.96435
_SET1_   7841       2   74688184   74692537      2       1  1000     -0.73967      0.76184   -6.0425e-06     -0.73967
_SET1_   11320      2   99235569   99347589    164      15  1000     -0.32858      0.60804   -6.0425e-06     -0.32857
_SET1_   4249       2  134877502  135212192    786      65  1000     0.093816      0.47332   -6.0425e-06     0.093822
_SET1_   201595     3   31574130   31677556    138      12  1000     -0.46603      0.66512   -6.0425e-06     -0.46602
_SET1_   91869      3   53122499   53164480     92       6  1000     -0.73846      0.74976   -6.0425e-06     -0.73845
_SET1_   6184       3  128338813  128369719     71       6  1000      0.49675      0.28626   -6.0425e-06      0.49676
_SET1_   10195      3  183960117  183967313      4       1  1000       2.8582    0.0018706   -6.0425e-06       2.8582
_SET1_   6480       3  186648315  186796341    541      70  1000     -0.45224      0.68123   -6.0425e-06     -0.45223
_SET1_   4124       5  109025156  109203429    405      17  1000       1.8027     0.032492   -6.0425e-06       1.8027
_SET1_   11282      5  179224597  179233952      7       3  1000    -0.047482      0.50191   -6.0425e-06    -0.047476
_SET1_   4245       5  180217541  180237939    100       3  1000      0.43891      0.31521   -6.0425e-06      0.43891
_SET1_   4121       6  119498366  119671774    461      23  1000       1.4299     0.070031   -6.0425e-06       1.4299
_SET1_   7991       8   15397596   15624158    776      24  1000        0.437      0.32096   -6.0425e-06      0.43701
_SET1_   2683       9   33110636   33167356    146      11  1000      -1.2098       0.8753   -6.0425e-06      -1.2098
_SET1_   85365      9  101978707  101984246      1       1  1000       1.4132      0.08119   -6.0425e-06       1.4132
_SET1_   8818       9  130697374  130700763      5       1  1000       0.1688      0.42244   -6.0425e-06      0.16881
_SET1_   57171      9  131843383  131852717     13       4  1000       2.7928    0.0023679   -6.0425e-06       2.7928
_SET1_   11253      9  139981379  140003639     57       9  1000     -0.32662      0.60792   -6.0425e-06     -0.32661
_SET1_   23193     11   62392298   62414198     16       3  1000     -0.80219      0.77209   -6.0425e-06     -0.80218
_SET1_   79053     11   77811988   77850699    219       8  1000     -0.19715      0.55777   -6.0425e-06     -0.19714
_SET1_   79796     11  111652919  111742305     71       6  1000     -0.49856      0.66666   -6.0425e-06     -0.49856
_SET1_   1798      11  118967213  118973124     11       3  1000       2.2294     0.011206   -6.0425e-06       2.2294
_SET1_   3703      11  125462690  125492654    108       7  1000      0.48315      0.29682   -6.0425e-06      0.48315
_SET1_   84920     12   34175216   34181237     12       2  1000      0.80413      0.19561   -6.0425e-06      0.80413
_SET1_   144245    12   38710557   38723528     15       3  1000    -0.069535      0.50255   -6.0425e-06    -0.069529
_SET1_   29880     13   37523907   37573504     63       7  1000      0.61473      0.25406   -6.0425e-06      0.61473
_SET1_   440138    13   52586523   52603784     18       3  1000       1.9441     0.022825   -6.0425e-06       1.9441
_SET1_   1603      14   23033807   23058143    132       7  1000     0.060736      0.46238   -6.0425e-06     0.060742
_SET1_   4247      14   50087460   50090199      1       1  1000     -0.83603       0.7804   -6.0425e-06     -0.83602
_SET1_   2530      14   65877310   66210839    480      20  1000     -0.37867      0.63376   -6.0425e-06     -0.37866
_SET1_   4122      15   91447420   91465815     53       8  1000     -0.50767      0.68103   -6.0425e-06     -0.50767
_SET1_   56052     16    5121810    5137380     52       8  1000     -0.98094       0.8223   -6.0425e-06     -0.98093
_SET1_   146664    17   74864798   74946472    430      49  1000        0.646        0.257   -6.0425e-06      0.64601
_SET1_   6185      20   35807454   35870026    143       6  1000      0.69092      0.22719   -6.0425e-06      0.69093
_SET1_   8813      20   49551404   49575081     25       6  1000      0.90256      0.17669   -6.0425e-06      0.90256
_SET1_   4248      22   39843235   39888199     46      10  1000      0.99051       0.1471   -6.0425e-06      0.99052
_SET1_   79087     22   50296852   50312106     69       6  1000      0.17084      0.41727   -6.0425e-06      0.17085
