# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = SENESE_HDAC1_TARGETS_DN (set)
# _SET1_  NGENES = 237
# _SET1_  P-VALUE = 9.28678e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   388581        1    1177826    1182102      9       2  1000     -0.55999      0.69778   -3.5178e-06     -0.55998
_SET1_   11315         1    8021714    8045342     55       9  1000     -0.90314      0.80393   -3.5178e-06     -0.90314
_SET1_   998           1   22379120   22419439     38       7  1000       1.1058       0.1244   -3.5178e-06       1.1058
_SET1_   2048          1   23037263   23241823    507      53  1000      0.87948      0.18192   -3.5178e-06      0.87948
_SET1_   2537          1   27992572   27998724     16       4  1000      0.31048       0.3618   -3.5178e-06      0.31049
_SET1_   9672          1   31342313   31381480     72      18  1000      0.74504      0.21613   -3.5178e-06      0.74504
_SET1_   1307          1   32117848   32169768     73      12  1000      0.34888      0.34637   -3.5178e-06      0.34889
_SET1_   576           1   32192718   32230494     33       6  1000       1.9329     0.023601   -3.5178e-06       1.9329
_SET1_   3065          1   32757708   32799227     22       2  1000     -0.95524      0.79935   -3.5178e-06     -0.95524
_SET1_   81493         1   33145507   33168361     49       3  1000       2.5791    0.0040845   -3.5178e-06       2.5791
_SET1_   57648         1   33207492   33240571     34       7  1000       1.2072      0.10535   -3.5178e-06       1.2072
_SET1_   100132074     1   41827328   41849263     48       8  1000     -0.77277      0.76636   -3.5178e-06     -0.77276
_SET1_   4774          1   61542946   61928460    670      84  1000      0.89107      0.18587   -3.5178e-06      0.89108
_SET1_   148534        1   95582894   95663163    168      19  1000     -0.49229      0.67126   -3.5178e-06     -0.49229
_SET1_   1301          1  103342023  103574052    682      27  1000      0.68212      0.22862   -3.5178e-06      0.68213
_SET1_   2948          1  110198698  110208123     14       4  1000     -0.72588      0.75395   -3.5178e-06     -0.72587
_SET1_   2944          1  110230418  110240828     26       6  1000       1.1737      0.11142   -3.5178e-06       1.1737
_SET1_   55924         1  112264686  112298419     73      11  1000      0.79744      0.19876   -3.5178e-06      0.79744
_SET1_   6281          1  151955386  151966714     12       3  1000     -0.14115      0.54106   -3.5178e-06     -0.14114
_SET1_   57863         1  159141377  159172932     61      12  1000       1.5226     0.058324   -3.5178e-06       1.5226
_SET1_   5087          1  164528597  164821067    600      84  1000       2.6114    0.0045235   -3.5178e-06       2.6114
_SET1_   4179          1  207925383  207968861     69       7  1000      -0.6732      0.73293   -3.5178e-06      -0.6732
_SET1_   55105         1  217603834  217804426    322      32  1000     -0.92085       0.8098   -3.5178e-06     -0.92085
_SET1_   7042          1  218518676  218617961    168      27  1000       1.1799      0.11098   -3.5178e-06       1.1799
_SET1_   55740         1  225674534  225840845    143      16  1000     -0.60895      0.71113   -3.5178e-06     -0.60895
_SET1_   149603        1  228674277  228697598     14       3  1000     0.054151      0.46228   -3.5178e-06     0.054155
_SET1_   126731        1  229456752  229478688     47       7  1000     -0.95367      0.81771   -3.5178e-06     -0.95367
_SET1_   84288         1  245133171  245288530    405      19  1000       2.0265     0.018477   -3.5178e-06       2.0265
_SET1_   7260          2    3192741    3381653    668      25  1000      0.87797      0.17388   -3.5178e-06      0.87797
_SET1_   192668        2   10196926   10220538     81      14  1000      -0.5136      0.67995   -3.5178e-06      -0.5136
_SET1_   9475          2   11319894   11484711    230      12  1000       1.5025      0.05911   -3.5178e-06       1.5025
_SET1_   4148          2   20191813   20212455     38       8  1000      0.50819      0.29015   -3.5178e-06      0.50819
_SET1_   6382          2   20400558   20425194     55       6  1000     -0.66776      0.73171   -3.5178e-06     -0.66776
_SET1_   29959         2   27651473   27665126     11       1  1000    -0.081071       0.5167   -3.5178e-06    -0.081067
_SET1_   10602         2   37869025   37899678     90      12  1000     -0.53474      0.68614   -3.5178e-06     -0.53474
_SET1_   4211          2   66662257   66799891    221      31  1000     -0.60788      0.71494   -3.5178e-06     -0.60788
_SET1_   7072          2   70436576   70475886     63       4  1000       2.2407     0.010772   -3.5178e-06       2.2407
_SET1_   1796          2   74776147   74784678      8       2  1000      0.07488      0.45018   -3.5178e-06     0.074883
_SET1_   51652         2   86730553   86790620    113      10  1000     -0.94977      0.81487   -3.5178e-06     -0.94977
_SET1_   57669         2  120770604  120936697    194       6  1000      -1.3504      0.90055   -3.5178e-06      -1.3504
_SET1_   2736          2  121493441  121750229    535      62  1000       1.4201     0.074797   -3.5178e-06       1.4201
_SET1_   116372        2  133402337  133429070     67       5  1000      0.85539      0.18186   -3.5178e-06      0.85539
_SET1_   11249         2  139426727  139537811    215      28  1000     -0.37629      0.63065   -3.5178e-06     -0.37629
_SET1_   29994         2  160175490  160473059    687      45  1000      -0.4053       0.6424   -3.5178e-06      -0.4053
_SET1_   51661         2  179328391  179343646     12       2  1000    -0.079518      0.51501   -3.5178e-06    -0.079515
_SET1_   1281          2  189839099  189877472     76      12  1000      0.19018      0.40532   -3.5178e-06      0.19018
_SET1_   8609          2  207938861  208031970    209      30  1000      0.60799      0.25865   -3.5178e-06      0.60799
_SET1_   3488          2  217536828  217560272     42       6  1000     -0.28161      0.59071   -3.5178e-06      -0.2816
_SET1_   7145          2  218664512  218808796    369      52  1000       1.0583      0.13943   -3.5178e-06       1.0583
_SET1_   3300          2  220144040  220151622     12       2  1000     -0.10219      0.52407   -3.5178e-06     -0.10219
_SET1_   5798          2  220154345  220174295     36       6  1000     -0.67146      0.73284   -3.5178e-06     -0.67145
_SET1_   23363         2  220415450  220436357     53      10  1000      0.45025      0.31013   -3.5178e-06      0.45025
_SET1_   3667          2  227596033  227664545    133       9  1000      0.17795      0.40248   -3.5178e-06      0.17795
_SET1_   79781         2  237232790  237416178    367      21  1000     -0.45634      0.65474   -3.5178e-06     -0.45633
