# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MIKKELSEN_IPS_LCP_WITH_H3K27ME3 (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 7.02217e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51744      1  160799950  160832692     94       8  1000      0.17996      0.41945    2.8565e-07      0.17996
_SET1_   55600      1  160846330  160854960     36       2  1000     -0.85477      0.79238    2.8565e-07     -0.85477
_SET1_   779        1  201008635  201081694    211      39  1000      0.54696      0.30561    2.8565e-07      0.54696
_SET1_   151295     2  220026181  220035549      9       2  1000       1.0965      0.13242    2.8565e-07       1.0965
_SET1_   54658      2  234668919  234681945     27       6  1000      0.84573       0.1981    2.8565e-07      0.84573
_SET1_   79690      7   99756865   99766373      9       1  1000        1.321      0.08613    2.8565e-07        1.321
_SET1_   84940     17   27941774   27949926      5       1  1000      0.35848      0.34622    2.8565e-07      0.35848
_SET1_   124857    17   48912011   48919709     25       4  1000     -0.17656      0.56388    2.8565e-07     -0.17656
_SET1_   23627     20    4702556    4709106     24       7  1000      -1.6203      0.94624    2.8565e-07      -1.6203
_SET1_   85366     20   30407115   30422500     33       4  1000       1.8346     0.032292    2.8565e-07       1.8346
