# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH (set)
# _SET1_  NGENES = 9
# _SET1_  P-VALUE = 9.19928e-08
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   841        2  202098166  202152434    119      18  1000      0.81969      0.19896   -1.0209e-05       0.8197
_SET1_   353376     5  114914339  114952142     43       5  1000      0.26955      0.37186   -1.0209e-05      0.26956
_SET1_   929        5  140011313  140013286      3       1  1000      0.01974      0.47455   -1.0209e-05      0.01975
_SET1_   8737       6    3064201    3115421    124      24  1000       1.5829     0.056071   -1.0209e-05       1.5829
_SET1_   23643      8   74903564   74941314     87      11  1000       2.5422    0.0049555   -1.0209e-05       2.5422
_SET1_   7099       9  120466453  120479769     18       6  1000      0.15723      0.42892   -1.0209e-05      0.15724
_SET1_   8772      11   70049269   70053508      4       1  1000       0.2017      0.39665   -1.0209e-05      0.20171
_SET1_   11035     14   24805227   24809242     11       2  1000       2.5982    0.0042397   -1.0209e-05       2.5982
_SET1_   148022    19    4815936    4831754     43       9  1000  -0.00048916      0.48637   -1.0209e-05  -0.00047895

# _SET2_  VARIABLE = REACTOME_TRAF6_MEDIATED_INDUCTION_OF_TAK1_COMPLEX_WITHIN_TLR4_COMPLEX (set)
# _SET2_  NGENES = 15
# _SET2_  P-VALUE = 3.4828e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   6233       2   55459039   55462989      7       3  1000      0.89751      0.17731   -1.0209e-05      0.89752
_SET2_   3656       3   10206561   10285427    235      27  1000     -0.39354      0.64088   -1.0209e-05     -0.39353
_SET2_   353376     5  114914339  114952142     43       5  1000      0.26955      0.37186   -1.0209e-05      0.26956
_SET2_   929        5  140011313  140013286      3       1  1000      0.01974      0.47455   -1.0209e-05      0.01975
_SET2_   6885       6   91223292   91297020    117      12  1000     -0.36545      0.62611   -1.0209e-05     -0.36544
_SET2_   23118      6  149639436  149732747    224      13  1000      0.69575      0.22666   -1.0209e-05      0.69576
_SET2_   23643      8   74903564   74941314     87      11  1000       2.5422    0.0049555   -1.0209e-05       2.5422
_SET2_   7099       9  120466453  120479769     18       6  1000      0.15723      0.42892   -1.0209e-05      0.15724
_SET2_   7189      11   36505317   36531863     26       3  1000     -0.41552      0.64556   -1.0209e-05     -0.41551
_SET2_   7316      12  125396192  125399587     13       3  1000        1.944     0.024492   -1.0209e-05       1.9441
_SET2_   7314      17   16284367   16286059      2       1  1000      0.16467      0.40024   -1.0209e-05      0.16468
_SET2_   23098     17   26698683   26728062     47       5  1000       0.7796      0.20319   -1.0209e-05      0.77961
_SET2_   148022    19    4815936    4831754     43       9  1000  -0.00048916      0.48637   -1.0209e-05  -0.00047895
_SET2_   7311      19   18674576   18688270     28       2  1000      0.43546      0.30727   -1.0209e-05      0.43547
_SET2_   10454     22   39795759   39833132     41       3  1000      0.68611      0.22768   -1.0209e-05      0.68612
