# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN (set)
# _SET1_  NGENES = 172
# _SET1_  P-VALUE = 3.33809e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9341       1    7831329    7841492     27       7  1000       0.4647      0.31303   -2.4334e-06       0.4647
_SET1_   5226       1   10458884   10480565     32       3  1000     -0.77813      0.76563   -2.4334e-06     -0.77813
_SET1_   10459      1   11734537   11751678     62      12  1000     -0.60076      0.72032   -2.4334e-06     -0.60076
_SET1_   23585      1   25664789   25688852     37       5  1000       2.1241     0.015789   -2.4334e-06       2.1241
_SET1_   4802       1   41157242   41237275    142       9  1000      0.21912      0.39481   -2.4334e-06      0.21912
_SET1_   4904       1   43148060   43168024     20       5  1000     -0.62835      0.72712   -2.4334e-06     -0.62835
_SET1_   126969     1   95285898   95360803    240      38  1000      0.57811      0.28756   -2.4334e-06      0.57811
_SET1_   1266       1   95362507   95392735     85      17  1000      0.69814      0.24089   -2.4334e-06      0.69814
_SET1_   51375      1   99127236   99226056    303      17  1000       2.1111     0.015608   -2.4334e-06       2.1111
_SET1_   55170      1  107599267  107601916      2       1  1000   -0.0054075      0.50197   -2.4334e-06   -0.0054051
_SET1_   5686       1  109941653  109969108     32       4  1000      0.16098      0.42158   -2.4334e-06      0.16098
_SET1_   10542      1  110943875  110950546     11       3  1000       1.7468     0.037994   -2.4334e-06       1.7468
_SET1_   476        1  116914802  116948069     50       5  1000     -0.46942      0.67787   -2.4334e-06     -0.46942
_SET1_   6281       1  151955386  151966714     12       3  1000     -0.11488      0.53616   -2.4334e-06     -0.11487
_SET1_   3608       1  153634264  153643504     11       2  1000      -0.4515      0.66025   -2.4334e-06      -0.4515
_SET1_   10067      1  155225770  155232176      7       1  1000      -1.1562      0.86941   -2.4334e-06      -1.1562
_SET1_   1314       1  160258377  160313354     47       5  1000      0.26028      0.37878   -2.4334e-06      0.26028
_SET1_   2207       1  161185087  161189038      5       3  1000      0.21407      0.41472   -2.4334e-06      0.21407
_SET1_   2214       1  161511549  161520413     12       3  1000       1.1752      0.11529   -2.4334e-06       1.1752
_SET1_   55732      1  169763224  169822229    121      13  1000      -1.6201      0.94393   -2.4334e-06      -1.6201
_SET1_   51603      1  171750761  171766856     49       5  1000     -0.50268      0.67626   -2.4334e-06     -0.50268
_SET1_   29089      1  202300785  202311094     10       2  1000      -1.1275      0.86174   -2.4334e-06      -1.1275
_SET1_   4179       1  207925383  207968861     69       7  1000      -1.2055      0.87706   -2.4334e-06      -1.2055
_SET1_   23456      1  229652329  229694442     43       2  1000     -0.14718      0.53807   -2.4334e-06     -0.14718
_SET1_   10130      2   10908889   10978103    414      15  1000      -0.4566      0.65296   -2.4334e-06      -0.4566
_SET1_   729967     2   39103103   39109850     15       3  1000     -0.54422      0.69846   -2.4334e-06     -0.54422
_SET1_   5281       2   46808413   46844251     55       6  1000       2.3015    0.0096042   -2.4334e-06       2.3015
_SET1_   4436       2   47630206   47739716    196      14  1000      0.20602      0.40155   -2.4334e-06      0.20602
_SET1_   10575      2   62095262   62115806     43       6  1000       1.4352     0.069918   -2.4334e-06       1.4352
_SET1_   51002      2   73955744   73964765      9       1  1000     -0.19188      0.56028   -2.4334e-06     -0.19188
_SET1_   1622       2  120124504  120130122     20       4  1000       1.1056      0.12925   -2.4334e-06       1.1056
_SET1_   339745     2  139259350  139330805     80       8  1000       1.0831      0.13266   -2.4334e-06       1.0831
_SET1_   151525     2  160092304  160143304    192      10  1000     -0.62301      0.71349   -2.4334e-06     -0.62301
_SET1_   8520       2  172778935  172848600    101      11  1000      0.33437      0.35811   -2.4334e-06      0.33437
_SET1_   10477      2  181845112  181928154    233       7  1000     -0.46615      0.65328   -2.4334e-06     -0.46614
_SET1_   471        2  216176679  216214496    111      11  1000     -0.63639      0.72437   -2.4334e-06     -0.63638
_SET1_   7520       2  216972381  217071016    204      20  1000       1.1528      0.11923   -2.4334e-06       1.1528
_SET1_   65080      2  224822121  224832431     15       2  1000     -0.62069      0.71753   -2.4334e-06     -0.62069
_SET1_   51719      2  231577557  231685790    143      13  1000       2.0231     0.020163   -2.4334e-06       2.0231
_SET1_   387        3   49396569   49449526     72       6  1000      -1.1109      0.85519   -2.4334e-06      -1.1109
_SET1_   7873       3   51422692   51426828      5       1  1000      0.97062      0.17081   -2.4334e-06      0.97062
_SET1_   57406      3   58223233   58280463    192      16  1000      0.99551        0.151   -2.4334e-06      0.99551
_SET1_   64422      3  112251354  112280810     75       6  1000    -0.026096      0.50234   -2.4334e-06    -0.026093
_SET1_   29927      3  127770402  127790526     43       3  1000     0.072238       0.4507   -2.4334e-06      0.07224
_SET1_   51714      3  150321066  150348234     34       6  1000      0.50324       0.2964   -2.4334e-06      0.50324
_SET1_   26996      3  169755735  169803184     88       6  1000     -0.63328      0.71836   -2.4334e-06     -0.63328
_SET1_   1894       3  172468425  172539264    114       9  1000       1.0574       0.1358   -2.4334e-06       1.0574
_SET1_   5984       3  186507681  186524484     27       4  1000      0.24882      0.38576   -2.4334e-06      0.24882
_SET1_   9908       4   76567953   76649709    186      15  1000     -0.83774      0.78815   -2.4334e-06     -0.83774
_SET1_   128        4   99992129  100009931     58       6  1000      0.69945      0.23205   -2.4334e-06      0.69946
_SET1_   3015       4  100869242  100871512      4       1  1000       0.7414      0.22464   -2.4334e-06       0.7414
_SET1_   58505      4  109571741  109588978     41       2  1000      0.18941      0.40455   -2.4334e-06      0.18941
_SET1_   4085       4  120980577  120988013     13       2  1000       1.3747     0.079224   -2.4334e-06       1.3747
_SET1_   64946      5   68485375   68506184     43       5  1000     -0.50657      0.67777   -2.4334e-06     -0.50656
_SET1_   84340      5   74017029   74063196     70       6  1000      0.23889      0.39171   -2.4334e-06      0.23889
_SET1_   6643       5  122110691  122170234    132       9  1000        1.184      0.10809   -2.4334e-06        1.184
_SET1_   10949      5  137087073  137090039      1       1  1000       -1.381       0.9183   -2.4334e-06       -1.381
_SET1_   10399      5  180663928  180671209     24       3  1000    -0.068698      0.52197   -2.4334e-06    -0.068695
_SET1_   51053      6   24775159   24786327     25       3  1000      0.19295       0.4155   -2.4334e-06      0.19295
_SET1_   57819      6   31765169   31774761     14       5  1000      0.27188      0.39104   -2.4334e-06      0.27188
_SET1_   51645      6   36822605   36842800     53       9  1000     -0.42703       0.6568   -2.4334e-06     -0.42702
_SET1_   2030       6   44187242   44201888     17       7  1000      0.18538      0.42075   -2.4334e-06      0.18539
_SET1_   3326       6   44213903   44221625     14       4  1000       1.2894     0.095652   -2.4334e-06       1.2894
_SET1_   9532       6   57037104   57050013      8       1  1000     -0.40707      0.65121   -2.4334e-06     -0.40706
_SET1_   2697       6  121756745  121770873     26       5  1000      -0.1801      0.56588   -2.4334e-06      -0.1801
_SET1_   7164       6  125474876  125584644    293      21  1000       2.1337     0.015382   -2.4334e-06       2.1337
_SET1_   10370      6  139693392  139695787      4       2  1000       0.2711      0.39388   -2.4334e-06       0.2711
_SET1_   2519       6  143815949  143833020     39       6  1000      0.15547      0.42646   -2.4334e-06      0.15547
_SET1_   23118      6  149639436  149732747    224      13  1000      -1.1447      0.86408   -2.4334e-06      -1.1447
_SET1_   6119       7    7676347    7758238    225      18  1000     -0.59907      0.71362   -2.4334e-06     -0.59906
_SET1_   4697       7   10971580   10979813     26       7  1000     -0.78579      0.77977   -2.4334e-06     -0.78579
_SET1_   54749      7   37960163   37991543    121      23  1000       1.0524      0.14511   -2.4334e-06       1.0524
_SET1_   5683       7   42956460   42971805     24       2  1000       1.2423      0.10167   -2.4334e-06       1.2423
_SET1_   51142      7   56169266   56174187     12       3  1000       1.3429     0.085339   -2.4334e-06       1.3429
_SET1_   2969       7   74071991   74175022     61       5  1000     -0.65812      0.73141   -2.4334e-06     -0.65812
_SET1_   2770       7   79764140   79848725    150      22  1000     -0.64655      0.73823   -2.4334e-06     -0.64655
_SET1_   10552      7   98923496   98963885     53       7  1000       1.9339     0.026027   -2.4334e-06       1.9339
_SET1_   6856       7  105730814  105753093     41       9  1000     -0.26946       0.5972   -2.4334e-06     -0.26946
_SET1_   4189       7  108210189  108215294      6       2  1000      0.77631      0.21053   -2.4334e-06      0.77632
_SET1_   830        7  116502533  116559315     68       6  1000      -1.4633      0.92278   -2.4334e-06      -1.4633
_SET1_   23165      7  135242662  135333501    164      20  1000    -0.034417       0.5073   -2.4334e-06    -0.034414
_SET1_   55872      8   27667138   27695612    144       3  1000      -1.0302      0.83331   -2.4334e-06      -1.0302
_SET1_   7419       8   42249279   42263455      9       2  1000      0.39725      0.34893   -2.4334e-06      0.39725
_SET1_   1875       8   86089619   86126753     35       2  1000      0.99159      0.14764   -2.4334e-06      0.99159
_SET1_   28998      8  121408083  121457647     47       4  1000     -0.68641      0.73902   -2.4334e-06     -0.68641
_SET1_   9897       8  126036502  126104061    236       9  1000      0.22937      0.39383   -2.4334e-06      0.22938
_SET1_   3301       9   33025209   33039905     27       4  1000     -0.26003      0.58774   -2.4334e-06     -0.26003
_SET1_   11258      9   34613542   34620520      5       2  1000     -0.26468      0.60089   -2.4334e-06     -0.26468
_SET1_   30968      9   35099888   35103184      3       1  1000       1.2324      0.10672   -2.4334e-06       1.2324
_SET1_   26267      9   37510889   37576250    160      18  1000      0.51136      0.29786   -2.4334e-06      0.51136
_SET1_   8727       9  111704849  111775829    153      14  1000     -0.88188      0.80393   -2.4334e-06     -0.88188
_SET1_   54107      9  116169515  116173029      1       1  1000      0.26773       0.3943   -2.4334e-06      0.26773
_SET1_   6130       9  136215069  136218280      2       1  1000      0.91929      0.18299   -2.4334e-06      0.91929
_SET1_   983       10   62538089   62554610     49       5  1000        1.929     0.024307   -2.4334e-06        1.929
_SET1_   25911     10  103330399  103369410     54       5  1000     -0.70301      0.74355   -2.4334e-06       -0.703
_SET1_   50862     11   10533225   10562774     76       7  1000      0.10455      0.43954   -2.4334e-06      0.10455
_SET1_   5702      11   47440320   47448024     14       3  1000      -1.0432      0.84391   -2.4334e-06      -1.0432
_SET1_   2237      11   61560109   61564716      1       1  1000    -0.085329       0.5335   -2.4334e-06    -0.085326
_SET1_   10963     11   63952206   63972020     35       7  1000      0.29003      0.37811   -2.4334e-06      0.29003
_SET1_   282679    11   77300680   77321401     37       3  1000     -0.26171      0.58877   -2.4334e-06     -0.26171
_SET1_   1207      11   77327196   77348851     29       3  1000     -0.24283      0.58274   -2.4334e-06     -0.24282
_SET1_   51501     11   86013253   86056985    142      10  1000     -0.27977      0.59088   -2.4334e-06     -0.27977
_SET1_   10413     11  101981151  102104154    219      12  1000      -1.0541       0.8406   -2.4334e-06      -1.0541
_SET1_   84259     11  102921413  102962944     28       4  1000      -0.1093      0.53176   -2.4334e-06      -0.1093
_SET1_   3312      11  122928200  122933074     19       5  1000     -0.74881      0.77015   -2.4334e-06     -0.74881
_SET1_   3703      11  125462690  125492654    108       7  1000      0.27256      0.37501   -2.4334e-06      0.27257
_SET1_   10635     12    4647940    4669213     18       3  1000      -1.2334      0.88671   -2.4334e-06      -1.2334
_SET1_   55907     12   22199108   22218608     30       5  1000      -0.7509      0.76406   -2.4334e-06      -0.7509
_SET1_   9412      12   27175455   27183606     14       5  1000      -1.2107      0.88438   -2.4334e-06      -1.2107
_SET1_   51303     12   49315742   49319330      4       2  1000     -0.11715      0.53999   -2.4334e-06     -0.11715
_SET1_   466       12   51157789   51214943     96       8  1000      0.71589      0.22221   -2.4334e-06      0.71589
_SET1_   1019      12   58141510   58146304      4       2  1000      0.56645      0.28032   -2.4334e-06      0.56645
_SET1_   51643     12   66530717   66563808     73       7  1000     0.067343      0.45822   -2.4334e-06     0.067345
_SET1_   4069      12   69742134   69748013     15       5  1000      -2.0699      0.98017   -2.4334e-06      -2.0699
_SET1_   10576     12   69979206   70010595     41       7  1000     -0.69127      0.74552   -2.4334e-06     -0.69126
_SET1_   28977     12   93861266   93897548    114      10  1000     -0.61832      0.71685   -2.4334e-06     -0.61832
_SET1_   64431     12  100593865  100618202     21       5  1000      -1.0001       0.8414   -2.4334e-06      -1.0001
_SET1_   79023     12  102467967  102514025     50       6  1000     -0.30762      0.61007   -2.4334e-06     -0.30762
_SET1_   5985      12  118454506  118470044     39       9  1000      0.60858       0.2658   -2.4334e-06      0.60858
_SET1_   5564      12  120105669  120119429     13       2  1000      0.20046      0.40595   -2.4334e-06      0.20046
_SET1_   5901      12  131356617  131362220      9       2  1000     -0.18203      0.56169   -2.4334e-06     -0.18203
_SET1_   5983      13   34392206   34540695    315      20  1000      0.75552      0.22189   -2.4334e-06      0.75553
_SET1_   84650     13   50234812   50265627    121      13  1000     -0.54713      0.69631   -2.4334e-06     -0.54713
_SET1_   9375      13  100153628  100216302     93      10  1000     -0.25365      0.58827   -2.4334e-06     -0.25365
_SET1_   1603      14   23033807   23058143    132       7  1000     -0.80379      0.77772   -2.4334e-06     -0.80379
_SET1_   55012     14   35554678   35591868     97      11  1000      -1.9857      0.97488   -2.4334e-06      -1.9857
_SET1_   5427      14   50110270   50155098     79       3  1000        0.814      0.19158   -2.4334e-06      0.81401
_SET1_   81542     14   51706886   51724373     29       5  1000     -0.35737      0.62809   -2.4334e-06     -0.35737
_SET1_   1033      14   54863657   54886936     37       7  1000      0.88013      0.18235   -2.4334e-06      0.88014
_SET1_   26175     14   93651296   93653431      3       2  1000       1.3819     0.084994   -2.4334e-06       1.3819
_SET1_   7453      14  100800125  100842680    104       5  1000       1.7859     0.032679   -2.4334e-06       1.7859
_SET1_   51234     15   34517214   34522357     11       2  1000       0.4505      0.31776   -2.4334e-06       0.4505
_SET1_   23582     15   43477466   43489375      6       2  1000      0.39475      0.34642   -2.4334e-06      0.39475
_SET1_   9133      15   59397284   59417244     17       3  1000      -1.7394      0.95638   -2.4334e-06      -1.7394
_SET1_   84191     15   64364761   64386207     40       4  1000     -0.79168      0.77527   -2.4334e-06     -0.79167
_SET1_   5955      15   77223962   77242601     18       6  1000     0.039276       0.4808   -2.4334e-06     0.039279
_SET1_   80349     15   78575575   78591977     37       9  1000      0.57471      0.27747   -2.4334e-06      0.57471
_SET1_   23478     15   85212768   85259691     65       9  1000     -0.84911      0.79402   -2.4334e-06      -0.8491
_SET1_   226       16   30064411   30081741     11       4  1000     -0.56893      0.71046   -2.4334e-06     -0.56892
_SET1_   11051     16   56463048   56485261     29       6  1000     -0.22158      0.58102   -2.4334e-06     -0.22157
_SET1_   9114      16   67471917   67515089     30       4  1000     -0.38799      0.65026   -2.4334e-06     -0.38799
_SET1_   708       17    5336099    5342471     14       2  1000     -0.48044       0.6729   -2.4334e-06     -0.48044
_SET1_   8533      17   17149938   17184617     79       6  1000       -1.362      0.90451   -2.4334e-06       -1.362
_SET1_   9326      17   34842471   34855154     18       4  1000       2.4252    0.0070409   -2.4334e-06       2.4252
_SET1_   51649     17   55916287   55927433     13       3  1000     -0.68356      0.74394   -2.4334e-06     -0.68355
_SET1_   7298      18     657590     673499     75       6  1000      0.86206      0.17962   -2.4334e-06      0.86206
_SET1_   3613      18   11981427   12030885    219      25  1000     -0.40289       0.6546   -2.4334e-06     -0.40289
_SET1_   6632      18   19192260   19210208     16       2  1000     -0.80089      0.77635   -2.4334e-06     -0.80089
_SET1_   25800     18   33688494   33709357     38       3  1000         1.19      0.10661   -2.4334e-06         1.19
_SET1_   115106    18   43684298   43708299     62       7  1000     -0.85579      0.79482   -2.4334e-06     -0.85579
_SET1_   4200      18   48405432   48476165     81       5  1000     -0.17169      0.54463   -2.4334e-06     -0.17168
_SET1_   51398     19   12778881   12780465      1       1  1000      -1.6474       0.9543   -2.4334e-06      -1.6474
_SET1_   10535     19   12912863   12924462     29       3  1000      0.13499      0.44042   -2.4334e-06        0.135
_SET1_   2193      19   13033284   13044558     11       2  1000      0.43491      0.32097   -2.4334e-06      0.43491
_SET1_   7386      19   29698167   29704136      4       2  1000      0.11412      0.45249   -2.4334e-06      0.11412
_SET1_   7305      19   36395303   36399211     11       3  1000     -0.43201      0.66841   -2.4334e-06     -0.43201
_SET1_   5714      19   38865190   38874464     12       4  1000       2.0086     0.022993   -2.4334e-06       2.0086
_SET1_   6183      19   39421348   39423660      7       1  1000      0.50403      0.30793   -2.4334e-06      0.50404
_SET1_   6217      19   39923847   39926660     11       2  1000       1.2769     0.094381   -2.4334e-06       1.2769
_SET1_   6633      19   46190712   46195569      7       2  1000       1.3947     0.078347   -2.4334e-06       1.3947
_SET1_   581       19   49458117   49465055     17       4  1000       1.3658     0.081928   -2.4334e-06       1.3658
_SET1_   5111      20    5095599    5107268     16       2  1000      0.67189      0.24506   -2.4334e-06       0.6719
_SET1_   10483     20   18488188   18542059    164      11  1000     -0.22071      0.57243   -2.4334e-06      -0.2207
_SET1_   22803     20   21283942   21370463    126       8  1000     -0.94935      0.81683   -2.4334e-06     -0.94935
_SET1_   22974     20   30326904   30389605     75       5  1000     0.095821      0.44171   -2.4334e-06     0.095824
_SET1_   22919     20   31407699   31438211     36       5  1000      0.20272      0.40402   -2.4334e-06      0.20273
_SET1_   112858    20   45313004   45318301      6       2  1000      -1.2244      0.89209   -2.4334e-06      -1.2244
_SET1_   8813      20   49551404   49575081     25       6  1000     -0.10044      0.53716   -2.4334e-06     -0.10044
_SET1_   8480      20   55926145   55953519     25       4  1000       1.7358     0.038618   -2.4334e-06       1.7358
_SET1_   6782      21   15743436   15755509     34       7  1000      0.94097      0.16714   -2.4334e-06      0.94097
_SET1_   54148     21   26957968   26979801    113       8  1000      -1.6634      0.94827   -2.4334e-06      -1.6634
_SET1_   8624      21   40449076   40555440     47       6  1000      0.51958      0.28765   -2.4334e-06      0.51958
