# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ELVIDGE_HYPOXIA_BY_DMOG_DN (set)
# _SET1_  NGENES = 55
# _SET1_  P-VALUE = 4.13241e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11332     1    6324332    6453826    324      17  1000      0.19993      0.41367   -1.3755e-06      0.19993
_SET1_   6723      1   11114649   11120091      7       2  1000       1.1593      0.11651   -1.3755e-06       1.1593
_SET1_   8659      1   19197924   19229293     97      18  1000      0.74678      0.21658   -1.3755e-06      0.74678
_SET1_   10269     1   40723722   40759856     32       6  1000        1.286     0.092284   -1.3755e-06        1.286
_SET1_   1503      1   41445007   41478237     72      14  1000      -1.0572      0.84578   -1.3755e-06      -1.0572
_SET1_   8503      1   46505812   46642167    195      13  1000      0.40305      0.32924   -1.3755e-06      0.40306
_SET1_   79084     1  111982512  111991915     11       3  1000      0.30482       0.3644   -1.3755e-06      0.30482
_SET1_   5174      1  145727662  145764207     11       3  1000       2.2008     0.012406   -1.3755e-06       2.2008
_SET1_   9673      1  156163728  156182587     24       3  1000     -0.86614      0.79457   -1.3755e-06     -0.86614
_SET1_   64222     1  179050415  179067158     36       9  1000      0.51862      0.28784   -1.3755e-06      0.51862
_SET1_   134       1  203096833  203136533     94      18  1000      0.89489      0.17585   -1.3755e-06      0.89489
_SET1_   55105     1  217603834  217804426    322      32  1000      0.19214      0.41594   -1.3755e-06      0.19214
_SET1_   9816      1  229761981  229795946     53       5  1000      -1.0683      0.84645   -1.3755e-06      -1.0683
_SET1_   4953      2   10580507   10588680     17       4  1000       1.5363     0.057682   -1.3755e-06       1.5363
_SET1_   8884      2   27422455   27435175     16       3  1000       2.5975    0.0042128   -1.3755e-06       2.5975
_SET1_   316       2  201450731  201536218    237      28  1000      0.80614      0.20211   -1.3755e-06      0.80614
_SET1_   4726      5    1801496    1816165     48       5  1000      -1.5155      0.92995   -1.3755e-06      -1.5155
_SET1_   3308      5  132387662  132440709    100       6  1000      0.13438      0.43057   -1.3755e-06      0.13438
_SET1_   10799     6    4995280    5004292     35       4  1000      0.57782      0.26791   -1.3755e-06      0.57782
_SET1_   25803     6   34505579   34524110     29       6  1000      -1.0668      0.84962   -1.3755e-06      -1.0668
_SET1_   896       6   41902671   42016610    286      35  1000      0.69653      0.23667   -1.3755e-06      0.69653
_SET1_   2030      6   44187242   44201888     17       7  1000    -0.033766       0.4963   -1.3755e-06    -0.033764
_SET1_   55084     6  107811317  107982513    239      32  1000      -0.1399       0.5474   -1.3755e-06      -0.1399
_SET1_   2099      6  152011631  152424409    978      59  1000       2.2063     0.014895   -1.3755e-06       2.2064
_SET1_   6674      8  101170263  101254132    163      12  1000      0.67772       0.2364   -1.3755e-06      0.67772
_SET1_   65263     8  144686083  144691784     15       3  1000     0.055215      0.46177   -1.3755e-06     0.055216
_SET1_   3717      9    4985245    5129948    358      12  1000     -0.29112      0.60319   -1.3755e-06     -0.29112
_SET1_   9568      9  101050364  101471479   1359     117  1000      0.17468      0.46668   -1.3755e-06      0.17468
_SET1_   5979     10   43572517   43625799    151      13  1000       1.9087     0.025621   -1.3755e-06       1.9087
_SET1_   6387     10   44865601   44880545     59      11  1000      -1.4997       0.9282   -1.3755e-06      -1.4997
_SET1_   3416     10   94211441   94333852    158      15  1000      0.44021      0.31706   -1.3755e-06      0.44021
_SET1_   4928     11    3696240    3819022    215      21  1000      0.33641      0.35634   -1.3755e-06      0.33641
_SET1_   55343    11   45825623   45834568     26       9  1000     -0.41245      0.64558   -1.3755e-06     -0.41245
_SET1_   57103    12    4430359    4469194     81      11  1000       1.5462     0.056302   -1.3755e-06       1.5462
