# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2 (set)
# _SET1_  NGENES = 419
# _SET1_  P-VALUE = 8.48776e-07
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   49856         1    3547331    3566671     35       7  1000       2.0716     0.016999   -1.1699e-06       2.0716
_SET1_   7161          1    3569129    3652765    265      44  1000       2.5199    0.0055857   -1.1699e-06       2.5199
_SET1_   261734        1    5922870    6052618    317      13  1000       3.9305   3.6577e-05   -1.1699e-06       3.9305
_SET1_   93190         1   12806163   12821102     44       6  1000      0.92423        0.165   -1.1699e-06      0.92423
_SET1_   440574        1   19923471   19956315    102       8  1000     -0.57153      0.70013   -1.1699e-06     -0.57152
_SET1_   90529         1   24683489   24741587    135      13  1000     -0.27554      0.59315   -1.1699e-06     -0.27553
_SET1_   64793         1   26560644   26605529    127      10  1000     -0.13062      0.53516   -1.1699e-06     -0.13062
_SET1_   10726         1   27248187   27273362     12       3  1000     -0.94665      0.81384   -1.1699e-06     -0.94664
_SET1_   200081        1   32645293   32663886     14       2  1000      0.75124      0.20865   -1.1699e-06      0.75124
_SET1_   27285         1   36549676   36553877      7       2  1000       1.5303     0.054527   -1.1699e-06       1.5303
_SET1_   7802          1   38022520   38032458     11       4  1000      0.17638      0.40927   -1.1699e-06      0.17638
_SET1_   4520          1   38275239   38325292     56       8  1000     -0.60621      0.71221   -1.1699e-06     -0.60621
_SET1_   4610          1   40361096   40367687      8       3  1000      0.80835      0.19402   -1.1699e-06      0.80835
_SET1_   728621        1   43000560   43120335    315      15  1000      0.83616      0.19212   -1.1699e-06      0.83616
_SET1_   149465        1   43638001   43720029    228      19  1000      0.22273      0.39903   -1.1699e-06      0.22273
_SET1_   6491          1   47715811   47779819    193      15  1000     0.077682      0.45443   -1.1699e-06     0.077683
_SET1_   54558         1   48761044   48937876    206      22  1000      -1.4259      0.91838   -1.1699e-06      -1.4259
_SET1_   79819         1   67278568   67390907    187      21  1000      -1.2177      0.88197   -1.1699e-06      -1.2177
_SET1_   126820        1   85527993   85598821    191      24  1000     0.087327      0.45294   -1.1699e-06     0.087329
_SET1_   57489         1   86812507   86862025     89       6  1000       1.1142      0.12261   -1.1699e-06       1.1142
_SET1_   2633          1   89517987   89531043     34       6  1000        0.746      0.21323   -1.1699e-06        0.746
_SET1_   127003        1  109648573  109656484     20       3  1000      0.61923      0.25039   -1.1699e-06      0.61923
_SET1_   128344        1  111867285  111895639     23       3  1000       -0.325      0.60685   -1.1699e-06       -0.325
_SET1_   10745         1  114239824  114302165     77       6  1000     -0.35578      0.62091   -1.1699e-06     -0.35578
_SET1_   26191         1  114356433  114414375     73       7  1000     -0.23811      0.57573   -1.1699e-06     -0.23811
_SET1_   10100         1  115590632  115632121    112      13  1000      0.12035      0.43604   -1.1699e-06      0.12035
_SET1_   56957         1  149912229  149982686     33       5  1000       2.0652     0.017182   -1.1699e-06       2.0652
_SET1_   25790         1  159842150  159869992     63       9  1000    -0.096072      0.52033   -1.1699e-06    -0.096071
_SET1_   126823        1  161068151  161070138      2       1  1000     -0.69407      0.73626   -1.1699e-06     -0.69407
_SET1_   257177        1  161334521  161337673     16       1  1000     -0.77145      0.75947   -1.1699e-06     -0.77145
_SET1_   9462          1  178062864  178448649    477      17  1000    -0.028671      0.49971   -1.1699e-06     -0.02867
_SET1_   148753        1  179696912  179785333    227      27  1000     -0.54815      0.69848   -1.1699e-06     -0.54815
_SET1_   9857          1  179923908  180084015    226      11  1000      -1.3454      0.90429   -1.1699e-06      -1.3454
_SET1_   254428        1  205758221  205782887     42       8  1000       1.1168      0.12232   -1.1699e-06       1.1168
_SET1_   4751          1  211831598  211848972     28       7  1000     -0.86313      0.79242   -1.1699e-06     -0.86313
_SET1_   128153        1  217804684  218040492    473      25  1000        1.066      0.13794   -1.1699e-06        1.066
_SET1_   3020          1  226250408  226259703      5       1  1000     -0.88845      0.79604   -1.1699e-06     -0.88844
_SET1_   7107          1  236305832  236415314    420      22  1000      0.50172      0.29864   -1.1699e-06      0.50172
_SET1_   84288         1  245133171  245288530    405      19  1000       1.0764      0.13447   -1.1699e-06       1.0764
_SET1_   129607        2    6980684    7006766     24       8  1000      0.41239      0.32208   -1.1699e-06      0.41239
_SET1_   91543         2    7017796    7038370     35       6  1000      0.81412      0.19401   -1.1699e-06      0.81412
_SET1_   130813        2   11273179   11286916     48       4  1000     -0.71053      0.74434   -1.1699e-06     -0.71053
_SET1_   51277         2   25166505   25194963     42       6  1000      0.10717      0.43802   -1.1699e-06      0.10717
_SET1_   92749         2   26624784   26679579    103      14  1000      0.45305      0.31102   -1.1699e-06      0.45305
_SET1_   79635         2   27848408   27851898      2       1  1000      0.58479      0.25863   -1.1699e-06      0.58479
_SET1_   165186        2   29204164   29275096    277      21  1000       2.7899    0.0023971   -1.1699e-06       2.7899
_SET1_   729967        2   39103103   39109850     15       3  1000       1.8573     0.027963   -1.1699e-06       1.8573
_SET1_   678           2   43449541   43453745      5       2  1000      0.92592      0.16274   -1.1699e-06      0.92592
_SET1_   400954        2   54952149   55199157    673      55  1000      0.21923      0.41244   -1.1699e-06      0.21923
_SET1_   130162        2   55399683   55459699    108      12  1000       1.4174     0.072299   -1.1699e-06       1.4174
_SET1_   112942        2   55746740   55772216     48       8  1000       2.3951     0.007311   -1.1699e-06       2.3951
_SET1_   84542         2   61293005   61365169     76       8  1000      0.51207      0.28835   -1.1699e-06      0.51207
_SET1_   51057         2   63348518   63815867    723      17  1000      -1.1542       0.8709   -1.1699e-06      -1.1542
_SET1_   116143        2   68357281   68384692     40       6  1000       1.3025     0.088245   -1.1699e-06       1.3025
_SET1_   1768          2   84743579   85046713    450      16  1000     -0.25229      0.58757   -1.1699e-06     -0.25229
_SET1_   65055         2   86441116   86565206    297      14  1000      0.44235      0.31647   -1.1699e-06      0.44235
_SET1_   9391          2   96931884   96939917      4       1  1000     -0.34636       0.6123   -1.1699e-06     -0.34635
_SET1_   343990        2   99410309   99552684    247      16  1000     -0.53924      0.69303   -1.1699e-06     -0.53924
_SET1_   80705         2   99613724   99771187    277       9  1000        1.012      0.14648   -1.1699e-06        1.012
_SET1_   165055        2  109403208  109493047    139      11  1000      0.36261      0.34306   -1.1699e-06      0.36262
_SET1_   4867          2  110880913  110962639    104       5  1000      0.63099      0.24847   -1.1699e-06      0.63099
_SET1_   200373        2  120302008  120414237    104       9  1000     -0.16249      0.54719   -1.1699e-06     -0.16249
_SET1_   100506922     2  128135704  128146987     22       6  1000     -0.15364      0.54139   -1.1699e-06     -0.15364
