# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = MATHEW_FANCONI_ANEMIA_GENES (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 8.27929e-07
_SET1_   GENE    CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   55120     2  58386378  58468515    134      14  1000       2.4017    0.0077421   -6.4105e-06       2.4017
_SET1_   2177      3  10068113  10143614    174       3  1000       1.8982       0.0251   -6.4105e-06       1.8982
_SET1_   2178      6  35420116  35434918     41       7  1000      0.87829      0.18325   -6.4105e-06      0.87829
_SET1_   2189      9  35073833  35080043      6       2  1000       1.0087      0.14766   -6.4105e-06       1.0087
_SET1_   2176      9  97861336  98079991    157      10  1000       1.9239     0.024835   -6.4105e-06       1.9239
_SET1_   2188     11  22644079  22647387      2       1  1000      0.99595      0.15068   -6.4105e-06      0.99595
_SET1_   675      13  32889617  32973809    150      15  1000      0.12818      0.44044   -6.4105e-06      0.12819
_SET1_   57697    14  45605136  45670093     69       5  1000     -0.54833      0.69571   -6.4105e-06     -0.54833
_SET1_   2175     16  89803959  89883066    402      13  1000      0.56727      0.27057   -6.4105e-06      0.56728
_SET1_   83990    17  59756547  59940920    241      18  1000      0.86864      0.18613   -6.4105e-06      0.86865

# _SET2_  VARIABLE = ZWANG_EGF_PERSISTENTLY_DN (set)
# _SET2_  NGENES = 57
# _SET2_  P-VALUE = 5.6736e-06
_SET2_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   2048          1   23037263   23241823    507      53  1000      0.13771      0.45531   -6.4105e-06      0.13772
_SET2_   55650         1   27113739   27124894      3       1  1000      0.58806      0.26554   -6.4105e-06      0.58807
_SET2_   79654         1   45468220   45477027     21       4  1000      0.22746      0.39782   -6.4105e-06      0.22747
_SET2_   10103         1   46640749   46651634     15       6  1000      0.58954      0.27111   -6.4105e-06      0.58955
_SET2_   26027         1   55007930   55100417    303      33  1000       1.6748     0.047514   -6.4105e-06       1.6748
_SET2_   3290          1  209859525  209908295     93      12  1000      0.11634      0.44639   -6.4105e-06      0.11635
_SET2_   57217         2   47168313   47303275    441      41  1000      0.49511      0.31324   -6.4105e-06      0.49512
_SET2_   55120         2   58386378   58468515    134      14  1000       2.4017    0.0077421   -6.4105e-06       2.4017
_SET2_   6120          2  210867289  210889784     14       3  1000      -0.2657       0.5887   -6.4105e-06      -0.2657
_SET2_   55619         2  225629807  225907330    631      47  1000     -0.42796      0.66879   -6.4105e-06     -0.42795
