# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = VERRECCHIA_RESPONSE_TO_TGFB1_C5 (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 5.96016e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   1969      1   16450832   16482582     45       9  1000     -0.47258      0.66365   -3.9045e-07     -0.47258
_SET1_   3676      2  182321619  182402474    174      17  1000    -0.055667      0.49814   -3.9045e-07    -0.055666
_SET1_   1499      3   41236401   41281939     34       2  1000       1.3561      0.07055   -3.9045e-07       1.3561
_SET1_   6405      3   50192562   50226508     52       7  1000      0.76746      0.20023   -3.9045e-07      0.76746
_SET1_   1857      3  183873099  183891314     24       5  1000     -0.90765      0.79741   -3.9045e-07     -0.90765
_SET1_   1946      5  106712590  107006596    646      80  1000      0.48724      0.33547   -3.9045e-07      0.48724
_SET1_   1495      5  138089075  138270723    217       2  1000     -0.62913      0.69123   -3.9045e-07     -0.62913
_SET1_   780       6   30850694   30867933     34       4  1000     -0.87771      0.79045   -3.9045e-07     -0.87771
_SET1_   3696      7   20370345   20455382    241      16  1000       1.2455     0.093789   -3.9045e-07       1.2455
_SET1_   6608      7  128828713  128853386     45       6  1000     -0.64436      0.71927   -3.9045e-07     -0.64436
_SET1_   7479     10  102222812  102243399     32       2  1000       1.2452     0.092002   -3.9045e-07       1.2452
_SET1_   3611     11    6624938    6632105     24       3  1000      0.17643      0.39667   -3.9045e-07      0.17643
_SET1_   392      11   46698625   46722215     17       5  1000      0.29415      0.37039   -3.9045e-07      0.29415
_SET1_   29984    11   66824289   66839488     17       2  1000      0.35857      0.32274   -3.9045e-07      0.35857
_SET1_   7132     12    6437923    6451283     22       5  1000      -1.0032      0.82423   -3.9045e-07      -1.0032
_SET1_   3678     12   54789045   54813050     17       3  1000       1.0281      0.14421   -3.9045e-07       1.0281
_SET1_   4833     16     446752     450754     21       3  1000     -0.10725      0.51061   -3.9045e-07     -0.10725
_SET1_   4313     16   55513081   55540586     81       9  1000      0.20744      0.38816   -3.9045e-07      0.20744
_SET1_   3690     17   45331208   45390077    170      18  1000      0.31849      0.36033   -3.9045e-07      0.31849
_SET1_   4320     22   24115036   24126503     20       5  1000       1.3524      0.08615   -3.9045e-07       1.3524

# _SET2_  VARIABLE = BIOCARTA_FBW7_PATHWAY (set)
# _SET2_  NGENES = 9
# _SET2_  P-VALUE = 1.2754e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   55294     4  153242410  153456393     92       7  1000       1.0412      0.13245   -3.9045e-07       1.0412
_SET2_   6500      5  133492082  133512724     51       6  1000       1.3673     0.084758   -3.9045e-07       1.3673
_SET2_   8454      7  148395631  148498202    182      14  1000       1.2337      0.09625   -3.9045e-07       1.2337
_SET2_   1017     12   56360556   56366573      4       2  1000      0.75741      0.21361   -3.9045e-07      0.75741
_SET2_   5925     13   48877883   49056026    225      16  1000       1.5364     0.060553   -3.9045e-07       1.5364
_SET2_   7027     13  114239003  114295788     87       6  1000       2.4574    0.0056449   -3.9045e-07       2.4574
_SET2_   997      19     531720     542087     63       9  1000      -1.6927      0.94772   -3.9045e-07      -1.6927
_SET2_   898      19   30302805   30315224     14       3  1000      0.63675      0.23749   -3.9045e-07      0.63675
_SET2_   1869     20   32263292   32274210      5       2  1000      0.54591      0.26949   -3.9045e-07      0.54591
