# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = CAFFAREL_RESPONSE_TO_THC_8HR_5_DN (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 3.09501e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8761      1   40026485   40042522     18       4  1000      0.82512       0.1993   -6.0796e-06      0.82512
_SET1_   6241      2   10262695   10271546     11       2  1000       1.1812      0.11391   -6.0796e-06       1.1812
_SET1_   6432      2   38970741   38978636      5       1  1000     -0.50378      0.68395   -6.0796e-06     -0.50377
_SET1_   3305      6   31777396   31790093     11       5  1000      0.87919      0.18827   -6.0796e-06       0.8792
_SET1_   6428      6   36562090   36572244     13       5  1000       1.3003     0.094912   -6.0796e-06       1.3003
_SET1_   3301      9   33025209   33039905     27       4  1000     -0.69219       0.7477   -6.0796e-06     -0.69218
_SET1_   3312     11  122928200  122933074     19       5  1000      0.45265      0.31754   -6.0796e-06      0.45265
_SET1_   10808    13   31710762   31737246     46       5  1000     -0.99182      0.83209   -6.0796e-06     -0.99181
_SET1_   3306     14   65007186   65009955      1       1  1000       3.4946    0.0002483   -6.0796e-06       3.4946
_SET1_   51109    14   68143517   68162510     26       6  1000       1.0837      0.13447   -6.0796e-06       1.0837
_SET1_   3337     19   14625581   14640087     20       4  1000     -0.82631      0.79019   -6.0796e-06     -0.82631
