# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ALCALA_APOPTOSIS (set)
# _SET1_  NGENES = 84
# _SET1_  P-VALUE = 6.27147e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   100506144     1   35447127   35450948      7       2  1000       1.6946     0.042505    -5.609e-06       1.6946
_SET1_   64834         1   43829068   43833745      3       2  1000       1.1117      0.12925    -5.609e-06       1.1117
_SET1_   476           1  116914802  116948069     50       5  1000       1.0206      0.14435    -5.609e-06       1.0206
_SET1_   10067         1  155225770  155232176      7       1  1000      0.80721      0.19986    -5.609e-06      0.80722
_SET1_   6016          1  155867599  155881193     20       3  1000     -0.29568      0.60018    -5.609e-06     -0.29568
_SET1_   962           1  160648536  160681641    121      15  1000     -0.30234      0.59903    -5.609e-06     -0.30233
_SET1_   6391          1  161284166  161334541    217       7  1000     -0.67511      0.73171    -5.609e-06     -0.67511
_SET1_   10440         1  201924619  201939789     40       8  1000      0.30384      0.36482    -5.609e-06      0.30385
_SET1_   80342         1  209929393  209955668     76       9  1000    -0.094674      0.51828    -5.609e-06    -0.094668
_SET1_   9804          1  235272656  235292256     37       4  1000     -0.68327       0.7377    -5.609e-06     -0.68326
_SET1_   51097         1  246887378  246931439     98      11  1000        1.669     0.042764    -5.609e-06        1.669
_SET1_   3030          2   26413504   26467665     90       2  1000     -0.42686      0.64264    -5.609e-06     -0.42686
_SET1_   10153         2   37428772   37458740     41       8  1000       1.0523      0.13684    -5.609e-06       1.0523
_SET1_   4436          2   47630206   47739716    196      14  1000    -0.062989      0.50169    -5.609e-06    -0.062984
_SET1_   7514          2   61705069   61765440     81       5  1000     -0.27146      0.58309    -5.609e-06     -0.27146
_SET1_   5899          2  120997646  121052287    137       7  1000      -1.0397      0.83577    -5.609e-06      -1.0397
_SET1_   23190         2  136499189  136542633     76       7  1000       1.2192      0.10183    -5.609e-06       1.2192
_SET1_   56947         2  228189867  228222552    107      13  1000      0.44212      0.31329    -5.609e-06      0.44212
_SET1_   387           3   49396569   49449526     72       6  1000     -0.30646      0.59831    -5.609e-06     -0.30645
_SET1_   10550         3   69134090   69155239     49       7  1000       1.3159     0.086255    -5.609e-06       1.3159
_SET1_   399           4   40192631   40246384    129      21  1000     -0.96861      0.82277    -5.609e-06      -0.9686
_SET1_   23173         4   99916788   99983960     78       7  1000     -0.97714      0.82226    -5.609e-06     -0.97714
_SET1_   22948         5   10250041   10266501     70       3  1000    -0.038434      0.49422    -5.609e-06    -0.038428
_SET1_   7416          5  133307566  133341300     73      10  1000      0.54223      0.27806    -5.609e-06      0.54224
_SET1_   972           5  149781200  149792543     14       5  1000     -0.61708      0.72315    -5.609e-06     -0.61708
_SET1_   26999         5  156693091  156822606    332      15  1000     -0.80648       0.7708    -5.609e-06     -0.80648
_SET1_   3105          6   29910247   29913661    171      23  1000      0.11384      0.43751    -5.609e-06      0.11385
_SET1_   4736          6   35436178   35438558      4       2  1000      0.25073      0.39485    -5.609e-06      0.25074
_SET1_   23787         6   36935911   36954327     65       7  1000      0.48537      0.29737    -5.609e-06      0.48538
_SET1_   25821         6   74171454   74211179     85       9  1000    -0.049167      0.50147    -5.609e-06    -0.049162
_SET1_   1915          6   74225473   74230755     11       2  1000      0.78381      0.20667    -5.609e-06      0.78382
_SET1_   9907          7    4815262    4834026     59       7  1000      0.32491      0.35807    -5.609e-06      0.32491
_SET1_   23165         7  135242662  135333501    164      20  1000       2.5377    0.0048875    -5.609e-06       2.5378
_SET1_   91782         8   23101150   23119512     60      13  1000      0.16303      0.41886    -5.609e-06      0.16304
_SET1_   665           8   26239894   26270644     44       8  1000       -2.543      0.99378    -5.609e-06       -2.543
_SET1_   23259         8   38088861   38120351     18       1  1000     -0.25201      0.58192    -5.609e-06     -0.25201
_SET1_   54926         9   33817162   33920401    175      15  1000       1.1253      0.11944    -5.609e-06       1.1253
_SET1_   57706         9  126141933  126692423    912      41  1000      0.29999      0.36439    -5.609e-06          0.3
_SET1_   5214         10    3109667    3178997    479      58  1000      0.47611      0.30863    -5.609e-06      0.47611
_SET1_   310          10   75135189   75173841     61       2  1000      0.76436      0.20875    -5.609e-06      0.76436
_SET1_   355          10   90750288   90775542     84       9  1000     -0.26265      0.58159    -5.609e-06     -0.26264
_SET1_   6888         11     747417     765024     18       4  1000       1.9457     0.023515    -5.609e-06       1.9457
_SET1_   8665         11    8008867    8017718     21       4  1000     -0.56103      0.69882    -5.609e-06     -0.56102
_SET1_   23788        11   47638858   47664206     18       4  1000      0.85859      0.18393    -5.609e-06      0.85859
_SET1_   10313        11   63448922   63527363     50       3  1000       4.1954   1.0965e-05    -5.609e-06       4.1954
_SET1_   2011         11   63606400   63678492     96       7  1000       1.0063      0.14355    -5.609e-06       1.0063
_SET1_   374403       11   67171384   67177561      9       2  1000     -0.38907      0.64309    -5.609e-06     -0.38906
_SET1_   837          11  104813594  104839325     50       9  1000     0.097039      0.44345    -5.609e-06     0.097044
_SET1_   834          11  104896235  104905884     35       3  1000     -0.24728      0.57946    -5.609e-06     -0.24728
_SET1_   10632        11  118272104  118280562      6       2  1000     -0.98611      0.83201    -5.609e-06     -0.98611
_SET1_   3312         11  122928200  122933074     19       5  1000      0.89651      0.17676    -5.609e-06      0.89652
_SET1_   2597         12    6643585    6647537     13       3  1000     -0.11288      0.53159    -5.609e-06     -0.11287
_SET1_   79022        12   48357330   48362661     12       4  1000        0.252       0.3871    -5.609e-06      0.25201
_SET1_   8086         12   53701240   53715412     19       3  1000     -0.48096      0.67277    -5.609e-06     -0.48095
_SET1_   506          12   57031959   57039852      8       2  1000      -0.2061      0.56825    -5.609e-06      -0.2061
_SET1_   5250         12   98987403   98995778      8       3  1000      -1.0136      0.83996    -5.609e-06      -1.0136
_SET1_   6175         12  120634502  120639014      5       2  1000      0.64642      0.25163    -5.609e-06      0.64643
_SET1_   5018         14   23235731   23240998     11       3  1000       3.2148   0.00057887    -5.609e-06       3.2148
_SET1_   11035        14   24805227   24809242     11       2  1000       1.9363     0.024623    -5.609e-06       1.9364
_SET1_   3002         14   25100160   25103490     14       2  1000       1.4709     0.065684    -5.609e-06       1.4709
_SET1_   4236         15   44096733   44116951     22       3  1000      0.75329       0.2144    -5.609e-06      0.75329
_SET1_   83464        15   63569749   63601325     56      12  1000     -0.77315        0.769    -5.609e-06     -0.77315
_SET1_   9051         15   77287021   77329673     75      12  1000     0.085803      0.44707    -5.609e-06     0.085808
_SET1_   2242         15   91427665   91439006     34       7  1000       1.5293     0.057923    -5.609e-06       1.5293
_SET1_   9235         16    3115313    3119668     20      11  1000     -0.77271      0.77035    -5.609e-06      -0.7727
_SET1_   23475        16   29690334   29709324     23       6  1000       0.1546      0.42196    -5.609e-06      0.15461
_SET1_   6810         16   31044416   31051489     10       2  1000     -0.18094      0.55588    -5.609e-06     -0.18094
_SET1_   2521         16   31191431   31206192      9       3  1000       1.8426     0.030865    -5.609e-06       1.8426
_SET1_   1327         16   85833173   85840608      9       2  1000     -0.17653      0.55823    -5.609e-06     -0.17652
_SET1_   84923        17   71203492   71228533     75       5  1000      0.40198      0.32195    -5.609e-06      0.40199
_SET1_   924          17   80272746   80275480      3       1  1000      0.72587      0.22838    -5.609e-06      0.72588
_SET1_   4145         19    3777967    3801810     48      12  1000       0.8414      0.18866    -5.609e-06      0.84141
_SET1_   2821         19   34855645   34893318     41       5  1000    -0.091722      0.52001    -5.609e-06    -0.091717
_SET1_   8189         19   46318700   46366548    165      10  1000       1.4554     0.065267    -5.609e-06       1.4554
