# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_GREEN_DN (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 2.08704e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   84722      1  109822176  109825790      2       1  1000       2.6927     0.003028   -1.4816e-06       2.6927
_SET1_   89796      1  201508243  201796102    415      41  1000      0.28743      0.37904   -1.4816e-06      0.28743
_SET1_   80775      2  120436743  120439694      6       2  1000      0.39666      0.32588   -1.4816e-06      0.39666
_SET1_   25917      3    9404660    9428475     42       5  1000     0.017001      0.47121   -1.4816e-06     0.017002
_SET1_   28990      3  130732721  130745698     19       3  1000      0.62317      0.24869   -1.4816e-06      0.62317
_SET1_   153830     5  158584417  158637061     68      10  1000      0.71202      0.22436   -1.4816e-06      0.71203
_SET1_   64324      5  176560026  176727214    203      17  1000     -0.64116      0.72355   -1.4816e-06     -0.64116
_SET1_   83463      5  176732501  176741096     13       4  1000    -0.036919      0.49519   -1.4816e-06    -0.036918
_SET1_   10919      6   31847536   31865464     24       7  1000      0.26934      0.37704   -1.4816e-06      0.26934
_SET1_   4800       6   41040707   41070146     36       5  1000      0.75154      0.21016   -1.4816e-06      0.75154
_SET1_   4926      11   71713910   71791732    114       4  1000     -0.86283      0.78514   -1.4816e-06     -0.86283
_SET1_   57562     11  101785746  101871793    135       8  1000       1.8624     0.027332   -1.4816e-06       1.8624
_SET1_   420       12   14982245   14996413     31       3  1000        1.428     0.068667   -1.4816e-06        1.428
_SET1_   144165    12   42852140   42983572    324      33  1000    -0.060674      0.51332   -1.4816e-06    -0.060673
_SET1_   8445      12   68042512   68056444     27       6  1000      0.86034      0.18224   -1.4816e-06      0.86034
_SET1_   23059     16    3550945    3589048     69      13  1000       1.2985     0.089894   -1.4816e-06       1.2985
_SET1_   54920     16   68056847   68113226     49       4  1000     -0.89139      0.79665   -1.4816e-06     -0.89139
_SET1_   29123     16   89334029   89556969    333      18  1000      0.38506      0.33141   -1.4816e-06      0.38506
_SET1_   9334      20   48249482   48330421    119       6  1000       3.0204    0.0010316   -1.4816e-06       3.0204
_SET1_   63977     21   43218385   43299591    292      24  1000     -0.35427      0.62367   -1.4816e-06     -0.35427
_SET1_   23598     22   31721790   31742249     18       5  1000       3.0205    0.0010759   -1.4816e-06       3.0205
_SET1_   3005      22   38201114   38203443      3       1  1000    -0.088361      0.51309   -1.4816e-06     -0.08836

# _SET2_  VARIABLE = NIKOLSKY_BREAST_CANCER_8Q23_Q24_AMPLICON (set)
# _SET2_  NGENES = 153
# _SET2_  P-VALUE = 5.8587e-09
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   157753     8  109791165  109799770      8       2  1000    -0.051542      0.49828   -1.4816e-06     -0.05154
_SET2_   7201       8  110099653  110131813     69       9  1000     0.020972      0.47267   -1.4816e-06     0.020973
_SET2_   84955      8  110253148  110346486    165       7  1000     -0.91536      0.80318   -1.4816e-06     -0.91535
_SET2_   56943      8  110346552  110358189     12       3  1000      -2.3447       0.9891   -1.4816e-06      -2.3447
_SET2_   93035      8  110374706  110543500    322      11  1000     -0.97501      0.81882   -1.4816e-06     -0.97501
_SET2_   9166       8  110551929  110578225     25       6  1000      0.43331      0.31519   -1.4816e-06      0.43331
_SET2_   55638      8  110586405  110704020    265      19  1000     -0.24379      0.57723   -1.4816e-06     -0.24379
_SET2_   27012      8  110979233  110987963      9       3  1000      0.69678      0.22673   -1.4816e-06      0.69678
_SET2_   114788     8  113235157  114449242   2083      42  1000       1.0906      0.11945   -1.4816e-06       1.0906
_SET2_   7227       8  116420724  116713299    392      22  1000    -0.076064      0.51132   -1.4816e-06    -0.076063
_SET2_   8667       8  117657055  117768258    169      13  1000      0.22899      0.38949   -1.4816e-06      0.22899
_SET2_   84294      8  117778742  117792449     24       5  1000       0.4392      0.31185   -1.4816e-06      0.43921
_SET2_   5885       8  117858173  117887105     49       7  1000     -0.33917       0.6131   -1.4816e-06     -0.33916
_SET2_   441376     8  117950464  117956239      8       2  1000      -1.1499       0.8634   -1.4816e-06      -1.1499
_SET2_   169026     8  117962512  118188953    361      22  1000      0.64132      0.24523   -1.4816e-06      0.64132
_SET2_   90390      8  118532532  118552510     30       5  1000       2.2611     0.010394   -1.4816e-06       2.2611
_SET2_   2131       8  118811602  119124058    635      43  1000      0.87085      0.18383   -1.4816e-06      0.87085
_SET2_   401474     8  119201694  119634184   1037      65  1000       1.3355     0.087857   -1.4816e-06       1.3355
_SET2_   4982       8  119935796  119964383     96      13  1000     -0.32098      0.60944   -1.4816e-06     -0.32098
_SET2_   10584      8  119964527  120119207    450      21  1000      0.65236       0.2397   -1.4816e-06      0.65236
_SET2_   114569     8  120220610  120257913     49       9  1000       2.0597     0.017601   -1.4816e-06       2.0597
_SET2_   4856       8  120428552  120436678     45       3  1000       1.1556      0.11106   -1.4816e-06       1.1556
_SET2_   5168       8  120569317  120685644    207      24  1000      0.49216      0.29959   -1.4816e-06      0.49216
_SET2_   6873       8  120743014  120845074    212      14  1000      0.97122      0.15327   -1.4816e-06      0.97123
_SET2_   79075      8  120846181  120868170     70       9  1000       1.5293     0.057333   -1.4816e-06       1.5293
_SET2_   64798      8  120885900  121063157    624      21  1000       1.5493     0.053458   -1.4816e-06       1.5493
_SET2_   7373       8  121137347  121384273    453      33  1000       1.0507       0.1392   -1.4816e-06       1.0507
_SET2_   28998      8  121408083  121457647     47       4  1000       1.6167      0.04688   -1.4816e-06       1.6167
_SET2_   27085      8  121457638  121535875    144       5  1000       1.7668     0.033277   -1.4816e-06       1.7668
_SET2_   6641       8  121547985  121825599    722      46  1000       1.7527     0.037208   -1.4816e-06       1.7527
_SET2_   3037       8  122624356  122653675     60       6  1000    -0.027987      0.48933   -1.4816e-06    -0.027985
_SET2_   22882      8  123792510  123986755    348      62  1000       2.3832    0.0089013   -1.4816e-06       2.3832
_SET2_   79139      8  124025404  124054663     46       7  1000      0.42478      0.31775   -1.4816e-06      0.42478
_SET2_   93594      8  124084920  124164393    160      16  1000    -0.044755      0.50062   -1.4816e-06    -0.044754
_SET2_   84985      8  124194752  124222318     54       5  1000       1.3138     0.085046   -1.4816e-06       1.3138
