# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LEE_LIVER_CANCER_ACOX1_UP (set)
# _SET1_  NGENES = 63
# _SET1_  P-VALUE = 4.22133e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   5909       1   21922708   21996010    191      35  1000      0.41891      0.34499    -2.532e-06      0.41892
_SET1_   3065       1   32757708   32799227     22       2  1000      -1.3776       0.8997    -2.532e-06      -1.3776
_SET1_   54810      1   78510646   78604129    158      11  1000      0.37314      0.34519    -2.532e-06      0.37314
_SET1_   54873      1  100111431  100160097    118      14  1000        -1.06      0.85476    -2.532e-06        -1.06
_SET1_   6566       1  113454469  113498975     42       6  1000       1.0342      0.14395    -2.532e-06       1.0342
_SET1_   6698       1  152956564  152958290      5       1  1000       -0.891      0.80058    -2.532e-06       -0.891
_SET1_   325        1  159557616  159558661      1       1  1000      0.23903       0.4113    -2.532e-06      0.23903
_SET1_   8407       1  159887897  159895332     10       3  1000       1.2949     0.092864    -2.532e-06       1.2949
_SET1_   116496     1  184760159  184943718    314      22  1000     -0.18286      0.56783    -2.532e-06     -0.18286
_SET1_   5997       1  192778169  192781407      3       1  1000      0.34794       0.3587    -2.532e-06      0.34794
_SET1_   1510       1  206317459  206332104     21       3  1000     -0.31231      0.61619    -2.532e-06     -0.31231
_SET1_   25797      2   37571742   37600465     76      14  1000      -0.3019      0.61935    -2.532e-06      -0.3019
_SET1_   11138      2  101623690  101767858    353      25  1000     -0.52681      0.70139    -2.532e-06     -0.52681
_SET1_   6574       2  113403434  113421402     22       3  1000      0.68855      0.23841    -2.532e-06      0.68856
_SET1_   3485       2  217498127  217529159     33      12  1000      0.37206      0.35979    -2.532e-06      0.37206
_SET1_   63924      3    9908394    9921938     25       4  1000       2.3881    0.0081785    -2.532e-06       2.3881
_SET1_   5359       3  146232967  146262628    117      11  1000       1.3669     0.083236    -2.532e-06       1.3669
_SET1_   7104       3  149192368  149221181    145      11  1000      0.78851      0.20662    -2.532e-06      0.78851
_SET1_   1962       3  184908412  184971886    104      11  1000       1.7367     0.041812    -2.532e-06       1.7368
_SET1_   10417      4    1160720    1202750     88      17  1000      0.98708      0.16322    -2.532e-06      0.98708
