# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZHENG_RESPONSE_TO_ARSENITE_UP (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 1.01571e-06
_SET1_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2730     1   94352590   94375154     49       7  1000     -0.29096      0.60364    1.5481e-06     -0.29096
_SET1_   5828     8   77892494   77913280     17       4  1000     -0.07521      0.52485    1.5481e-06    -0.075211
_SET1_   8061    11   65659616   65667997     19       4  1000      0.48274      0.30919    1.5481e-06      0.48274
_SET1_   7296    12  104609537  104744085    369      23  1000     -0.11269      0.52531    1.5481e-06     -0.11269
_SET1_   4502    16   56642478   56643409      3       2  1000       1.4439     0.076956    1.5481e-06       1.4439
_SET1_   4493    16   56659557   56661024      3       2  1000       1.4353     0.078378    1.5481e-06       1.4353
_SET1_   4499    16   56666534   56667898      8       3  1000       2.5724    0.0050732    1.5481e-06       2.5724
_SET1_   4490    16   56685811   56687116      9       2  1000       1.2144      0.11077    1.5481e-06       1.2144
_SET1_   4495    16   56700653   56701977      6       2  1000      0.74206      0.22922    1.5481e-06      0.74206
_SET1_   4496    16   56703726   56705041      3       1  1000     -0.24664      0.60043    1.5481e-06     -0.24664
_SET1_   4501    16   56716382   56718108      8       2  1000      0.47669      0.31522    1.5481e-06      0.47669
_SET1_   596     18   60790579   60987011    369      61  1000      0.60064      0.28673    1.5481e-06      0.60064
_SET1_   3337    19   14625581   14640087     20       4  1000    -0.051645      0.51392    1.5481e-06    -0.051647
_SET1_   3162    22   35777060   35790207     39       5  1000      0.95312      0.16295    1.5481e-06      0.95312
