# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BASAKI_YBX1_TARGETS_UP (set)
# _SET1_  NGENES = 273
# _SET1_  P-VALUE = 5.38927e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6845384    7829766   2248     185  1000     -0.52998      0.67592    -2.218e-06     -0.52998
_SET1_   1969          1   16450832   16482582     45       9  1000     0.023349      0.47866    -2.218e-06     0.023351
_SET1_   978           1   20915444   20945401    122      18  1000     -0.75061      0.76593    -2.218e-06     -0.75061
_SET1_   65018         1   20959948   20978004     62       8  1000       1.8892     0.027083    -2.218e-06       1.8892
_SET1_   55143         1   38158073   38175391     37       5  1000      0.15717      0.42095    -2.218e-06      0.15717
_SET1_   1503          1   41445007   41478237     72      14  1000     -0.65806      0.73708    -2.218e-06     -0.65805
_SET1_   991           1   43824626   43828874      3       2  1000     -0.36951      0.62497    -2.218e-06     -0.36951
_SET1_   112950        1   43849579   43855483      2       1  1000    0.0092637        0.474    -2.218e-06     0.009266
_SET1_   11004         1   45205396   45233439     43       5  1000       2.4805    0.0058928    -2.218e-06       2.4805
_SET1_   55635         1   68939835   68962799     51       7  1000      0.17746      0.41597    -2.218e-06      0.17746
_SET1_   1491          1   70876901   70905534     56      11  1000      -1.0216      0.84021    -2.218e-06      -1.0216
_SET1_   3491          1   86046444   86049650      3       1  1000     -0.35768      0.61476    -2.218e-06     -0.35768
_SET1_   1810          1   93811478   93828149     28       6  1000       1.3385     0.085208    -2.218e-06       1.3385
_SET1_   79084         1  111982512  111991915     11       3  1000      0.23802      0.38811    -2.218e-06      0.23802
_SET1_   10628         1  145438438  145442635      4       1  1000      0.55372      0.27854    -2.218e-06      0.55372
_SET1_   9129          1  150293928  150325704     70       8  1000      0.49368      0.29787    -2.218e-06      0.49368
_SET1_   7286          1  151512781  151556059     81      12  1000     -0.26138       0.5904    -2.218e-06     -0.26138
_SET1_   6274          1  153519805  153521734     16       1  1000      -1.3135      0.89964    -2.218e-06      -1.3135
_SET1_   6273          1  153533584  153538306      4       1  1000      -1.0771      0.85209    -2.218e-06      -1.0771
_SET1_   3608          1  153634264  153643504     11       2  1000    -0.044232      0.49465    -2.218e-06     -0.04423
_SET1_   23623         1  155290640  155300909      1       1  1000       2.6931     0.003244    -2.218e-06       2.6931
_SET1_   23381         1  156219015  156252676     68       6  1000     -0.43543      0.65237    -2.218e-06     -0.43543
_SET1_   83540         1  163291723  163325553    116       9  1000       1.0852      0.13005    -2.218e-06       1.0852
_SET1_   27101         1  174968571  174981163     18       5  1000     -0.51247      0.68459    -2.218e-06     -0.51247
_SET1_   1660          1  182808439  182857117     48       5  1000     -0.43047      0.65968    -2.218e-06     -0.43047
_SET1_   3918          1  183147952  183214262    191      14  1000       1.6995     0.041393    -2.218e-06       1.6995
_SET1_   116461        1  184020811  184043346     19       4  1000      -1.0394      0.84079    -2.218e-06      -1.0394
_SET1_   51022         1  193065595  193075659      6       1  1000      0.21416      0.39116    -2.218e-06      0.21416
_SET1_   259266        1  197053257  197115824     80       5  1000      0.73832       0.2179    -2.218e-06      0.73832
_SET1_   4751          1  211831598  211848972     28       7  1000     -0.93547       0.8174    -2.218e-06     -0.93547
_SET1_   51514         1  212208919  212278187     83       9  1000      0.53214      0.28434    -2.218e-06      0.53214
_SET1_   2590          1  230202956  230417875    671      58  1000       1.2074      0.10776    -2.218e-06       1.2074
_SET1_   116228        1  244998608  245008359     13       1  1000      0.47525      0.29788    -2.218e-06      0.47525
_SET1_   79172         2   25016175   25045245     67       9  1000       1.2543     0.098331    -2.218e-06       1.2543
_SET1_   1058          2   27008857   27023935     37       3  1000      -1.4067      0.91217    -2.218e-06      -1.4067
_SET1_   790           2   27440258   27466660     41       6  1000    -0.026127      0.49783    -2.218e-06    -0.026125
_SET1_   10602         2   37869025   37899678     90      12  1000     -0.23677      0.58201    -2.218e-06     -0.23677
_SET1_   5194          2   61244812   61279125     33       6  1000        1.259     0.096893    -2.218e-06        1.259
_SET1_   51002         2   73955744   73964765      9       1  1000     0.027834      0.46331    -2.218e-06     0.027836
_SET1_   699           2  111395275  111435684     17       1  1000     -0.12997      0.54856    -2.218e-06     -0.12997
_SET1_   2736          2  121493441  121750229    535      62  1000        1.158      0.11992    -2.218e-06        1.158
_SET1_   55627         2  130908965  130940323     35       1  1000      0.18917      0.39838    -2.218e-06      0.18917
_SET1_   390           2  151324707  151344209     19       4  1000      0.99693      0.14907    -2.218e-06      0.99693
_SET1_   8520          2  172778935  172848600    101      11  1000     -0.73848      0.76112    -2.218e-06     -0.73848
_SET1_   2744          2  191745547  191830278     83       8  1000      0.54117      0.28172    -2.218e-06      0.54117
_SET1_   9125          2  219433303  219461158     49       5  1000      0.61501      0.25546    -2.218e-06      0.61501
_SET1_   80326         2  219745255  219758651     10       2  1000      0.99856      0.14913    -2.218e-06      0.99857
_SET1_   7277          2  220114433  220119330      5       1  1000      0.26933      0.37722    -2.218e-06      0.26934
_SET1_   55355         2  234745486  234763212     64       9  1000     -0.23452      0.57875    -2.218e-06     -0.23452
