# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = FOSTER_KDM1A_TARGETS_DN (set)
# _SET1_  NGENES = 197
# _SET1_  P-VALUE = 1.64142e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54973      1    1246965    1260067     18       5  1000      0.22719      0.39036    1.2886e-07      0.22719
_SET1_   65220      1    1682671    1711508     59       7  1000      0.62465      0.26174    1.2886e-07      0.62465
_SET1_   5351       1   11994724   12035599    102      10  1000     -0.07541      0.51937    1.2886e-07     -0.07541
_SET1_   23028      1   23345937   23410184     63       6  1000     -0.87501      0.80198    1.2886e-07     -0.87501
_SET1_   6920       1   23707555   23751269    114      17  1000       1.6856     0.043113    1.2886e-07       1.6856
_SET1_   79140      1   32666202   32670991      1       1  1000       2.5969    0.0046219    1.2886e-07       2.5969
_SET1_   991        1   43824626   43828874      3       2  1000       2.3207    0.0098217    1.2886e-07       2.3207
_SET1_   6536       1   44462155   44497171     47      11  1000      -1.3859      0.91206    1.2886e-07      -1.3859
_SET1_   55631      1   70610485   70671361     57       5  1000      -1.4263      0.91613    1.2886e-07      -1.4263
_SET1_   85369      1  110574199  110597263     17       4  1000      0.99678      0.15539    1.2886e-07      0.99678
_SET1_   10401      1  145575257  145586546      3       2  1000      0.42105      0.32649    1.2886e-07      0.42105
_SET1_   11311      1  150039350  150117505     66       4  1000     -0.79651      0.77229    1.2886e-07     -0.79651
_SET1_   148523     1  150254930  150259505      7       3  1000      -1.1943       0.8819    1.2886e-07      -1.1943
_SET1_   6464       1  154934774  154946959      7       1  1000      0.81381      0.19168    1.2886e-07      0.81381
_SET1_   9673       1  156163728  156182587     24       3  1000     -0.81994      0.78615    1.2886e-07     -0.81994
_SET1_   5451       1  167190066  167396582    242      18  1000     0.032205        0.481    1.2886e-07     0.032205
_SET1_   81627      1  185087217  185126230     52       3  1000     -0.19495      0.55996    1.2886e-07     -0.19495
_SET1_   3020       1  226250408  226259703      5       1  1000     -0.42188      0.65452    1.2886e-07     -0.42188
_SET1_   84886      1  230972865  231005335    125      18  1000     -0.70897      0.75663    1.2886e-07     -0.70897
_SET1_   9784       2   27593363   27600400      7       2  1000     -0.50498      0.68964    1.2886e-07     -0.50498
_SET1_   26160      2   27667240   27712575     45       3  1000     -0.61532      0.72314    1.2886e-07     -0.61532
_SET1_   64080      2   28004266   28113223    152       8  1000      0.62993      0.25266    1.2886e-07      0.62993
_SET1_   7072       2   70436576   70475886     63       4  1000      0.54066      0.27792    1.2886e-07      0.54066
_SET1_   9027       2   73867850   73869537      2       1  1000      0.16432      0.42355    1.2886e-07      0.16432
_SET1_   8446       2   73989325   74007284      9       2  1000     -0.64639      0.73403    1.2886e-07     -0.64639
_SET1_   10797      2   74425690   74442425     28       6  1000      0.17333      0.42411    1.2886e-07      0.17333
_SET1_   51318      2   86426478   86440913     27       3  1000   -0.0069386       0.4971    1.2886e-07   -0.0069387
_SET1_   23505      2   98372799   98612389    297      10  1000      -0.3131      0.61617    1.2886e-07      -0.3131
_SET1_   2736       2  121493441  121750229    535      62  1000     0.014691      0.52241    1.2886e-07     0.014691
_SET1_   80097      2  130939248  130962365     43       3  1000       0.5838      0.27044    1.2886e-07       0.5838
_SET1_   57703      2  180809603  180872024    135      10  1000      0.77547      0.20859    1.2886e-07      0.77547
_SET1_   10058      2  220074488  220083712      3       1  1000     -0.26433      0.58744    1.2886e-07     -0.26433
_SET1_   55139      2  220094479  220101391     10       2  1000     -0.54584      0.68955    1.2886e-07     -0.54584
_SET1_   3267       2  228336853  228425938    170      11  1000      0.87354      0.18509    1.2886e-07      0.87354
_SET1_   51540      2  238969565  239008054    117      10  1000      0.16033      0.42919    1.2886e-07      0.16033
_SET1_   7324       3   23847384   23933131    139      15  1000      -1.1464      0.87265    1.2886e-07      -1.1464
_SET1_   5333       3   38048987   38071154     34       5  1000     -0.47431      0.67254    1.2886e-07     -0.47431
_SET1_   4615       3   38179969   38184513      2       1  1000       1.2389      0.10151    1.2886e-07       1.2389
_SET1_   1951       3   48673896   48700348     17       1  1000      0.99622      0.14598    1.2886e-07      0.99622
_SET1_   5859       3   49133365   49142562      7       2  1000     -0.17829      0.56202    1.2886e-07     -0.17829
_SET1_   24142      3   50333833   50336852      4       1  1000     -0.29142      0.61075    1.2886e-07     -0.29143
_SET1_   11186      3   50367217   50378367     16       4  1000     -0.58771      0.70492    1.2886e-07     -0.58771
_SET1_   11188      3   52489524   52527088     12       3  1000     -0.20645      0.56704    1.2886e-07     -0.20645
_SET1_   57415      3   62304648   62321888      8       3  1000      0.18388      0.42202    1.2886e-07      0.18388
_SET1_   23200      3  182511291  182639423    218      10  1000      -1.8368      0.96455    1.2886e-07      -1.8368
_SET1_   1173       3  183892634  183901879     13       3  1000      0.62413      0.26205    1.2886e-07      0.62413
_SET1_   10815      4     778745     819945    148      19  1000     0.052558      0.47967    1.2886e-07     0.052558
_SET1_   1609       4     952672     967348     32       6  1000     -0.17608      0.56345    1.2886e-07     -0.17608
_SET1_   2121       4    5712924    5816031    492      52  1000       1.4818     0.077818    1.2886e-07       1.4818
_SET1_   57545      4   15471489   15603594    257      24  1000      0.31903      0.37585    1.2886e-07      0.31903
