# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = RICKMAN_TUMOR_DIFFERENTIATED_WELL_VS_POORLY_UP (set)
# _SET1_  NGENES = 226
# _SET1_  P-VALUE = 2.0609e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   378708     1   10489944   10510239     47       4  1000     -0.11224      0.53533    -2.056e-06     -0.11223
_SET1_   2035       1   29213603   29446558    333      16  1000      0.36949      0.34151    -2.056e-06      0.36949
_SET1_   79140      1   32666202   32670991      1       1  1000      0.18502       0.4376    -2.056e-06      0.18503
_SET1_   6421       1   35641981   35658766     39       5  1000      -1.0878      0.85499    -2.056e-06      -1.0878
_SET1_   4595       1   45794914   45806142     11       4  1000     -0.19138      0.57468    -2.056e-06     -0.19138
_SET1_   4678       1   46049660   46084578     35       3  1000     -0.76162      0.77057    -2.056e-06     -0.76162
_SET1_   55268      1   53361582   53392846     24       4  1000      0.27057       0.3881    -2.056e-06      0.27058
_SET1_   8880       1   78409740   78444839     46       6  1000     -0.12146       0.5393    -2.056e-06     -0.12146
_SET1_   8543       1   87794151   87814606     36      10  1000     -0.19694      0.57196    -2.056e-06     -0.19694
_SET1_   6125       1   93297594   93307481      7       2  1000      0.52146      0.30146    -2.056e-06      0.52146
_SET1_   2948       1  110198698  110208123     14       4  1000     -0.14903      0.55686    -2.056e-06     -0.14903
_SET1_   9557       1  146714291  146767447    168      15  1000       2.5417    0.0050832    -2.056e-06       2.5418
_SET1_   5692       1  151372041  151374412      3       1  1000       1.2245      0.11232    -2.056e-06       1.2245
_SET1_   23126      1  151375200  151445753     84       5  1000      0.93133      0.16751    -2.056e-06      0.93133
_SET1_   57459      1  153777201  153895451    156       9  1000     -0.17933      0.55734    -2.056e-06     -0.17933
_SET1_   148327     1  153940315  153946840      8       2  1000     -0.69865      0.75747    -2.056e-06     -0.69865
