# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = HOLLERN_MICROACINAR_BREAST_TUMOR_DN (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 2.07765e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6566       1  113454469  113498975     42       6  1000      0.13318       0.4432   -7.6435e-06      0.13319
_SET1_   57007      2  237469424  237491001     22       5  1000      0.78057      0.21379   -7.6435e-06      0.78057
_SET1_   6480       3  186648315  186796341    541      70  1000       1.4591      0.07964   -7.6435e-06       1.4591
_SET1_   3248       4  175411328  175444049     98      19  1000      0.77891      0.21543   -7.6435e-06      0.77891
_SET1_   11346      5  149980642  150038792     96      15  1000      0.70905      0.23405   -7.6435e-06      0.70906
_SET1_   347733     6    3224495    3227968      4       2  1000       1.0448      0.15071   -7.6435e-06       1.0448
_SET1_   26872      7   89783689   89794141     13       3  1000       1.7543      0.03963   -7.6435e-06       1.7543
_SET1_   3371       9  117781854  117880536    265      24  1000     0.060122      0.47583   -7.6435e-06      0.06013
_SET1_   9536       9  132500615  132515344     50       3  1000      0.22718      0.40097   -7.6435e-06      0.22719
_SET1_   81029     12    1683823    1756379    195      45  1000      0.93866      0.17754   -7.6435e-06      0.93867
_SET1_   55332     12  102271105  102317401    243      20  1000       1.2633      0.10228   -7.6435e-06       1.2633
_SET1_   7127      14  103589762  103603776     21       3  1000     -0.10586       0.5412   -7.6435e-06     -0.10586
_SET1_   5802      19    5205514    5340814    377      55  1000       3.1929   0.00078184   -7.6435e-06       3.1929
_SET1_   11096     21   28290231   28339439    119      13  1000       1.2309      0.10721   -7.6435e-06       1.2309
