# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WAMUNYOKOLI_OVARIAN_CANCER_GRADES_1_2_UP (set)
# _SET1_  NGENES = 132
# _SET1_  P-VALUE = 2.93191e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   51727      1   47799469   47844511    121      12  1000      -1.3009      0.90211   -7.0776e-06      -1.3009
_SET1_   23576      1   85784168   86044046    675      65  1000      0.72507      0.26167   -7.0776e-06      0.72508
_SET1_   23507      1   89989933   90063420    133       7  1000     -0.54812      0.69949   -7.0776e-06     -0.54811
_SET1_   5825       1   94883933   94984219     90       7  1000      0.66421      0.24711   -7.0776e-06      0.66422
_SET1_   23443      1  100435345  100492535     79       5  1000     -0.15112      0.54858   -7.0776e-06     -0.15111
_SET1_   57402      1  153586731  153588808      5       1  1000    -0.033754      0.50526   -7.0776e-06    -0.033747
_SET1_   4582       1  155158300  155162768      2       1  1000     -0.46723      0.67663   -7.0776e-06     -0.46723
_SET1_   54865      1  156564100  156571288     30       2  1000      0.68868      0.23415   -7.0776e-06      0.68869
_SET1_   50848      1  160965001  160991133     53       3  1000      0.88781      0.17827   -7.0776e-06      0.88782
_SET1_   481        1  169075947  169101960    108      18  1000     -0.97718      0.83952   -7.0776e-06     -0.97718
_SET1_   29922      1  169101258  169337186    847      19  1000      -1.1081      0.85729   -7.0776e-06      -1.1081
_SET1_   5768       1  180123968  180169430    192      18  1000      0.72174      0.23581   -7.0776e-06      0.72175
_SET1_   80267      1  184659625  184724041     72       7  1000     -0.71347      0.75711   -7.0776e-06     -0.71346
_SET1_   1510       1  206317459  206332104     21       3  1000      0.98297      0.15706   -7.0776e-06      0.98297
_SET1_   3020       1  226250408  226259703      5       1  1000      0.37178      0.34548   -7.0776e-06      0.37179
_SET1_   3775       1  233749750  233808258    156      29  1000       0.9551      0.17981   -7.0776e-06       0.9551
_SET1_   85465      2   26568954   26618759     88       7  1000    -0.045914       0.5107   -7.0776e-06    -0.045907
_SET1_   4072       2   47596287   47614167     36       6  1000       1.0277      0.14898   -7.0776e-06       1.0277
_SET1_   84542      2   61293005   61365169     76       8  1000       2.0086     0.021655   -7.0776e-06       2.0086
_SET1_   2673       2   69546901   69614386    121       6  1000      0.35286      0.35137   -7.0776e-06      0.35287
_SET1_   2591       2  166604313  166650803     47       5  1000      -0.6658      0.74136   -7.0776e-06     -0.66579
_SET1_   27347      2  168810530  169104105    912      41  1000       1.3671     0.088151   -7.0776e-06       1.3672
_SET1_   3655       2  173291954  173371181    280      21  1000       2.5831     0.004927   -7.0776e-06       2.5831
_SET1_   7855       2  208627310  208634143      4       2  1000      -1.1137      0.86531   -7.0776e-06      -1.1137
_SET1_   3656       3   10206561   10285427    235      27  1000       0.1605      0.44623   -7.0776e-06      0.16051
_SET1_   25994      3   42824400   42846027     27       6  1000       1.0082      0.15502   -7.0776e-06       1.0082
_SET1_   79669      3  111805175  111837073     81       7  1000      0.56388      0.27932   -7.0776e-06      0.56389
_SET1_   10954      3  122785856  122880953    232      29  1000     -0.11003      0.55591   -7.0776e-06     -0.11002
_SET1_   5357       3  142315229  142432506    215      15  1000      0.62978      0.26202   -7.0776e-06      0.62978
_SET1_   2122       3  168801287  169381563   1392      97  1000    -0.048026      0.56641   -7.0776e-06    -0.048019
_SET1_   26996      3  169755735  169803184     88       6  1000     -0.60502      0.71929   -7.0776e-06     -0.60501
_SET1_   1894       3  172468425  172539264    114       9  1000       1.4722      0.06814   -7.0776e-06       1.4722
_SET1_   521        4     666225     668127      1       1  1000        1.442      0.07366   -7.0776e-06        1.442
_SET1_   132299     4   48887405   48908815     11       3  1000     -0.99985      0.83811   -7.0776e-06     -0.99984
_SET1_   166824     4   74437267   74486348    108       6  1000      0.75709      0.21619   -7.0776e-06      0.75709
_SET1_   51316      4   84011201   84035911     53       8  1000      0.35051      0.36028   -7.0776e-06      0.35052
_SET1_   79071      4  110970187  111120355    411      51  1000     -0.31792      0.65108   -7.0776e-06     -0.31792
_SET1_   57600      4  159690182  159829202    143       8  1000       0.3968      0.33689   -7.0776e-06      0.39681
_SET1_   57630      4  170015407  170192249    365      25  1000      0.31911       0.3778   -7.0776e-06      0.31912
_SET1_   51809      4  174089904  174245118    215      23  1000       1.5364     0.064003   -7.0776e-06       1.5364
_SET1_   4651       5   16662016   16936385    818     102  1000       1.1356      0.16529   -7.0776e-06       1.1356
_SET1_   64083      5   32124817   32174425     82       9  1000      -1.6669      0.95092   -7.0776e-06      -1.6669
_SET1_   3842       5   72112418   72210215    135      11  1000      0.45754      0.31892   -7.0776e-06      0.45754
_SET1_   10788      5   75699131   76003957    865      63  1000      0.16505      0.46293   -7.0776e-06      0.16506
_SET1_   22936      5   95220802   95297775    168       7  1000      0.23855      0.39281   -7.0776e-06      0.23856
_SET1_   51128      5  133936839  133968533     10       3  1000      0.43434      0.32688   -7.0776e-06      0.43435
_SET1_   10802      5  133984472  134063601     40       7  1000      0.19735      0.41769   -7.0776e-06      0.19735
_SET1_   134553     5  134181370  134195425      7       3  1000       1.1646      0.12084   -7.0776e-06       1.1646
_SET1_   51523      5  139028301  139063467     40       5  1000     -0.43333       0.6608   -7.0776e-06     -0.43332
_SET1_   94081      5  174905514  174956745    179      14  1000       2.0689     0.018875   -7.0776e-06       2.0689
_SET1_   94234      6    1312675    1314993      9       3  1000     -0.15824      0.55819   -7.0776e-06     -0.15824
_SET1_   2762       6    1624035    2245868   1343      91  1000     -0.02981      0.55548   -7.0776e-06    -0.029803
_SET1_   222643     6   40994640   41006938     13       2  1000     -0.50081       0.6825   -7.0776e-06      -0.5008
_SET1_   1347       6   75947391   75953644      8       2  1000       1.0202       0.1505   -7.0776e-06       1.0202
_SET1_   4646       6   76458893   76629254    293      16  1000      0.54443      0.28882   -7.0776e-06      0.54444
_SET1_   83699      6   80341000   80413369    164      20  1000      -2.1156      0.98334   -7.0776e-06      -2.1156
_SET1_   8763       6  109687717  109703762     39       5  1000      -0.5518      0.70337   -7.0776e-06     -0.55179
_SET1_   2444       6  116262691  116397360    189      17  1000      -1.2377      0.89234   -7.0776e-06      -1.2377
_SET1_   135114     6  126277861  126301390     32       3  1000      -1.1492      0.86914   -7.0776e-06      -1.1491
_SET1_   9053       6  136663419  136871957    232      10  1000      0.53837      0.28566   -7.0776e-06      0.53838
_SET1_   64065      6  138409642  138428660     78      14  1000       1.5712     0.059044   -7.0776e-06       1.5712
_SET1_   134957     6  147525494  147711612    162      10  1000       1.1274      0.12593   -7.0776e-06       1.1274
_SET1_   57583      6  158957468  159056467    292      19  1000      0.67811      0.24827   -7.0776e-06      0.67812
_SET1_   11014      7    6500712    6523849     59       8  1000        -1.22       0.8867   -7.0776e-06        -1.22
_SET1_   28969      7   16685759   16746148    165      21  1000     -0.15305      0.56684   -7.0776e-06     -0.15305
_SET1_   155465     7   16899030   16921613     83      14  1000     -0.42374      0.66584   -7.0776e-06     -0.42373
_SET1_   5898       7   39663152   39747723    121      13  1000      -0.7598       0.7753   -7.0776e-06     -0.75979
_SET1_   222068     7   44617493   44621881     13       4  1000      0.60516      0.26928   -7.0776e-06      0.60517
_SET1_   1595       7   91741463   91764059     37       2  1000       1.0504      0.13851   -7.0776e-06       1.0504
_SET1_   2050       7  100400187  100425143     58       8  1000       1.8735     0.029795   -7.0776e-06       1.8735
_SET1_   9601       7  148700154  148725782     61       5  1000        2.776    0.0025344   -7.0776e-06        2.776
_SET1_   137075     8    8559666    8561617     11       1  1000     -0.29275       0.6008   -7.0776e-06     -0.29274
_SET1_   2222       8   11653467   11696818    191      18  1000       1.3369     0.091309   -7.0776e-06       1.3369
_SET1_   63898      8   19171081   19253729    197      28  1000       1.0952      0.14337   -7.0776e-06       1.0952
_SET1_   23516      8   22224762   22291642    230      15  1000      0.90938       0.1793   -7.0776e-06      0.90938
_SET1_   7163       8   80947103   81083836    375      16  1000     0.020083      0.48529   -7.0776e-06      0.02009
_SET1_   92421      8   82644688   82671750     46       9  1000     -0.88513      0.81093   -7.0776e-06     -0.88513
_SET1_   760        8   86376131   86393721     13       3  1000      -0.5711      0.71073   -7.0776e-06      -0.5711
_SET1_   54845      8   95653364   95719694    211      13  1000      0.31105      0.37308   -7.0776e-06      0.31106
_SET1_   114569     8  120220610  120257913     49       9  1000     -0.80359      0.78779   -7.0776e-06     -0.80358
_SET1_   7264       8  144694788  144700358     17       4  1000       1.7882      0.03584   -7.0776e-06       1.7882
_SET1_   573        9   33252469   33264759     15       3  1000     -0.62511      0.72756   -7.0776e-06     -0.62511
_SET1_   9615       9   74729511   74867140    306      22  1000      -1.2764      0.89978   -7.0776e-06      -1.2763
_SET1_   158158     9   85594500   85678043     97       4  1000      0.84305      0.19013   -7.0776e-06      0.84306
_SET1_   11046      9   99075719   99145992    127       9  1000      0.29947      0.37466   -7.0776e-06      0.29947
_SET1_   81873      9  127626267  127640012     11       3  1000       1.0348      0.14731   -7.0776e-06       1.0348
_SET1_   10276     10    5454514    5501019     77       6  1000      -0.1991      0.56963   -7.0776e-06     -0.19909
_SET1_   91452     10   27484143   27531068    280      12  1000     -0.28221      0.60105   -7.0776e-06      -0.2822
_SET1_   94134     10   32094326   32217804    250      16  1000      -1.2912      0.90015   -7.0776e-06      -1.2912
_SET1_   64081     10   70042417   70096115    151       7  1000     -0.39152      0.64028   -7.0776e-06     -0.39151
_SET1_   56889     10   98277867   98346809    112       6  1000    -0.040477      0.50423   -7.0776e-06     -0.04047
_SET1_   84833     10  105148807  105156270      5       2  1000      -1.0786      0.85773   -7.0776e-06      -1.0786
_SET1_   118987    10  119029936  119134951    195       8  1000      -1.2946      0.89651   -7.0776e-06      -1.2945
_SET1_   1488      10  126676418  126849624    526      59  1000       1.8125       0.0417   -7.0776e-06       1.8125
_SET1_   7262      11    2949503    2950650      2       1  1000       -1.245      0.89057   -7.0776e-06       -1.245
_SET1_   57586     11   45261853   45307884    100      10  1000       1.4932     0.066416   -7.0776e-06       1.4932
_SET1_   54843     11   85405264   85522197    191      12  1000       0.3216      0.36781   -7.0776e-06       0.3216
_SET1_   55500     12   22778076   22843608     81       7  1000     -0.46034      0.67046   -7.0776e-06     -0.46034
_SET1_   2065      12   56473809   56497291     26       6  1000     0.039046      0.48154   -7.0776e-06     0.039053
_SET1_   4069      12   69742134   69748013     15       5  1000     -0.41038        0.657   -7.0776e-06     -0.41037
_SET1_   7103      12   71518877   71551779    116       9  1000     -0.62135      0.72782   -7.0776e-06     -0.62134
_SET1_   8693      12   89913189   89918583     12       3  1000      0.59327      0.27172   -7.0776e-06      0.59328
_SET1_   54621     12  118501398  118541810    107      19  1000     -0.47228      0.68844   -7.0776e-06     -0.47227
_SET1_   140707    12  125478194  125510349    161      17  1000      0.20685      0.41937   -7.0776e-06      0.20685
_SET1_   55270     13   48611703   48621282     12       4  1000     -0.65596      0.74098   -7.0776e-06     -0.65595
_SET1_   688       13   73629114   73651676     44       9  1000     -0.67288      0.74873   -7.0776e-06     -0.67288
_SET1_   79774     13  113978505  114018463    117      18  1000     -0.86076      0.80868   -7.0776e-06     -0.86076
_SET1_   64841     14   53241911   53258386     12       2  1000      0.70301      0.23443   -7.0776e-06      0.70301
_SET1_   161291    14   61744088   61748530      5       2  1000       0.1492      0.43515   -7.0776e-06      0.14921
_SET1_   23582     15   43477466   43489375      6       2  1000     0.070245      0.46549   -7.0776e-06     0.070253
_SET1_   2923      15   44038326   44064804     27       3  1000       2.1914     0.013254   -7.0776e-06       2.1914
_SET1_   80237     15   44064798   44069502      4       1  1000       2.7779    0.0025372   -7.0776e-06       2.7779
_SET1_   58489     15   80987635   81047962    182      20  1000     -0.99391      0.84229   -7.0776e-06      -0.9939
_SET1_   23184     15   81239667   81282235     67       6  1000     0.049939      0.47096   -7.0776e-06     0.049946
_SET1_   11057     15   89631381   89745591    270      24  1000    -0.082826      0.53831   -7.0776e-06    -0.082819
_SET1_   27324     16   52471682   52581714    201      29  1000       1.3275     0.098061   -7.0776e-06       1.3275
_SET1_   55715     16   57505870   57520385     21       5  1000       2.7132    0.0032398   -7.0776e-06       2.7132
_SET1_   1728      16   69743304   69760849     27       5  1000      0.13326      0.44156   -7.0776e-06      0.13327
_SET1_   1362      17   28705942   28796675     72       3  1000        0.888      0.17764   -7.0776e-06      0.88801
_SET1_   4302      17   36861873   36886056     11       4  1000       -1.305      0.90262   -7.0776e-06       -1.305
_SET1_   8714      17   48712205   48769063    123      28  1000     -0.81502      0.80394   -7.0776e-06     -0.81501
_SET1_   201266    17   70642085   71088853   1357     139  1000      0.49429      0.37184   -7.0776e-06       0.4943
_SET1_   51155     17   73131343   73150775     15       3  1000       1.1749      0.11666   -7.0776e-06       1.1749
_SET1_   3993      17   73521783   73571290    199      21  1000      -0.6974      0.76094   -7.0776e-06     -0.69739
_SET1_   1824      18   28645938   28682388     40       9  1000      0.46661      0.32009   -7.0776e-06      0.46662
_SET1_   5205      18   55313658   55470327    464      57  1000     -0.96282       0.8519   -7.0776e-06     -0.96281
_SET1_   5296      19   18263988   18281343     25       5  1000    -0.023647      0.50493   -7.0776e-06     -0.02364
