# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WENG_POR_DOSAGE (set)
# _SET1_  NGENES = 24
# _SET1_  P-VALUE = 3.23224e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2944       1  110230418  110240828     26       6  1000      0.50052      0.28988    -1.044e-06      0.50052
_SET1_   2949       1  110254406  110260890     18       5  1000      0.21562      0.39421    -1.044e-06      0.21562
_SET1_   29094      2   64681327   64688517      9       3  1000      0.75432       0.2093    -1.044e-06      0.75432
_SET1_   54884      2   85569078   85581821     27       7  1000        1.819     0.030022    -1.044e-06        1.819
_SET1_   118429     4   80822771   80994626    414      22  1000     -0.39796      0.62678    -1.044e-06     -0.39796
_SET1_   308        4  122589152  122618147     90      10  1000      0.31239      0.34687    -1.044e-06      0.31239
_SET1_   221357     6   52696540   52710893     36       5  1000       1.3469     0.079576    -1.044e-06       1.3469
_SET1_   8876       6  133001997  133035194    141      11  1000       1.0198       0.1357    -1.044e-06       1.0198
_SET1_   440        7   97481429   97501854     59      12  1000      0.27243      0.36661    -1.044e-06      0.27243
_SET1_   2267       8   17721894   17767874    263      12  1000       1.2507     0.092254    -1.044e-06       1.2507
_SET1_   1581       8   59402737   59412720     17       3  1000      0.71447       0.2169    -1.044e-06      0.71447
_SET1_   1562      10   96443251   96495947     88       7  1000     -0.83163      0.77445    -1.044e-06     -0.83163
_SET1_   1559      10   96698350   96749486    119      15  1000       0.1812      0.40201    -1.044e-06      0.18121
_SET1_   6579      12   21417534   21548371    379      26  1000       3.5361   0.00016141    -1.044e-06       3.5361
_SET1_   641371    14   74003862   74010503     10       3  1000      0.65158      0.23995    -1.044e-06      0.65159
_SET1_   10965     14   74034324   74042362     27       8  1000      0.62285       0.2491    -1.044e-06      0.62285
_SET1_   957       14   74426169   74486026    217      18  1000      0.16133      0.40649    -1.044e-06      0.16133
_SET1_   8824      16   66968347   66978999      8       3  1000      -1.0072      0.83546    -1.044e-06      -1.0072
_SET1_   71        17   79476997   79479892     18       3  1000      0.57084      0.26725    -1.044e-06      0.57084
_SET1_   4616      19    2476123    2478257      5       3  1000      0.17854      0.41212    -1.044e-06      0.17854
_SET1_   1548      19   41349441   41356360     30       8  1000       1.3667     0.077319    -1.044e-06       1.3667
_SET1_   1555      19   41497138   41524308    117      12  1000      0.77812      0.19598    -1.044e-06      0.77812
_SET1_   3162      22   35777060   35790207     39       5  1000      0.33785      0.34144    -1.044e-06      0.33785
_SET1_   3956      22   38071613   38075809      6       2  1000      0.34014      0.34796    -1.044e-06      0.34014
