# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = IIZUKA_LIVER_CANCER_PROGRESSION_L1_G1_UP (set)
# _SET1_  NGENES = 19
# _SET1_  P-VALUE = 5.44252e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   178       1  100315633  100389579    160      11  1000       1.4392     0.069445   -1.6838e-06       1.4392
_SET1_   3398      2    8822113    8824583      2       1  1000        1.485       0.0641   -1.6838e-06        1.485
_SET1_   55274     6  170104001  170124106     26       5  1000        1.592     0.051243   -1.6838e-06       1.5921
_SET1_   3486      7   45951844   45960871     13       4  1000      0.85784      0.18572   -1.6838e-06      0.85784
_SET1_   665       8   26239894   26270644     44       8  1000     0.051322      0.46299   -1.6838e-06     0.051323
_SET1_   1317      9  115983808  116026772     97      12  1000      0.31787      0.35879   -1.6838e-06      0.31787
_SET1_   5004      9  117085303  117088759     10       4  1000       0.9362      0.16584   -1.6838e-06       0.9362
_SET1_   51552     9  123940415  123964365     47       7  1000      -1.1618      0.86901   -1.6838e-06      -1.1618
_SET1_   22849    10   93806452   94050875    306      14  1000      0.08073      0.45052   -1.6838e-06     0.080732
_SET1_   5547     11   82535409   82612733    187      14  1000       1.0408      0.13921   -1.6838e-06       1.0408
_SET1_   10979    14   53323989   53417856    162      16  1000      0.46749      0.30402   -1.6838e-06      0.46749
_SET1_   2353     14   75745477   75748937      6       2  1000       2.0152     0.020255   -1.6838e-06       2.0152
_SET1_   267      16   56395364   56459450    140       8  1000       1.7796     0.034226   -1.6838e-06       1.7796
_SET1_   4504     16   56623267   56625000      6       3  1000       2.0731     0.017586   -1.6838e-06       2.0731
_SET1_   4493     16   56659557   56661024      3       2  1000        1.136      0.12091   -1.6838e-06        1.136
_SET1_   4494     16   56691855   56693215      2       1  1000     0.063644      0.46242   -1.6838e-06     0.063646
_SET1_   4496     16   56703726   56705041      3       1  1000       2.0171     0.019929   -1.6838e-06       2.0171
_SET1_   4094     16   79627745   79634622     15       7  1000     -0.30584      0.60519   -1.6838e-06     -0.30584
_SET1_   3487     17   38599676   38613982      9       4  1000     -0.02447      0.49641   -1.6838e-06    -0.024469
