# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = FLOTHO_PEDIATRIC_ALL_THERAPY_RESPONSE_DN (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 2.00452e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54873      1  100111431  100160097    118      14  1000        1.458     0.068674    -2.162e-06        1.458
_SET1_   926        2   87042460   87089047    121      14  1000       1.6679     0.044229    -2.162e-06       1.6679
_SET1_   9654       2  219575558  219620139     88       5  1000       2.0113     0.019585    -2.162e-06       2.0113
_SET1_   23240      4  154387498  154558760    357      47  1000      0.45234      0.32838    -2.162e-06      0.45234
_SET1_   55601      4  169137442  169239958    256      15  1000      0.28621      0.37531    -2.162e-06      0.28621
_SET1_   4001       5  126112315  126172712    104      12  1000      0.83356      0.19258    -2.162e-06      0.83356
_SET1_   2201       5  127593601  127873735    478      29  1000     0.010718      0.48796    -2.162e-06      0.01072
_SET1_   9832       5  146965002  147162411    453      26  1000     -0.32848      0.62193    -2.162e-06     -0.32848
_SET1_   9753       6   28346598   28367544     49       5  1000      0.30404      0.36666    -2.162e-06      0.30404
_SET1_   10919      6   31847536   31865464     24       7  1000     -0.76684      0.77083    -2.162e-06     -0.76683
_SET1_   1268       6   88849583   88876063     37       9  1000     -0.45799      0.66617    -2.162e-06     -0.45799
_SET1_   9994       6   90539619   90584155     83      14  1000       0.7989      0.20464    -2.162e-06      0.79891
_SET1_   64236      8   22435805   22455538     33       6  1000      0.88135      0.17941    -2.162e-06      0.88136
_SET1_   219654    10   81142081   81205383    194      32  1000       1.7756     0.036803    -2.162e-06       1.7756
_SET1_   6737      11    4406127    4414926     29       6  1000       1.3783      0.07871    -2.162e-06       1.3783
_SET1_   9700      12   53662083   53687427     29       4  1000     -0.49377      0.67579    -2.162e-06     -0.49377
_SET1_   771       15   63615730   63674326     89      20  1000       0.4841      0.30858    -2.162e-06       0.4841
_SET1_   10573     16     417384     420584     19       6  1000      0.19881      0.41336    -2.162e-06      0.19881
_SET1_   8303      16   11762289   11773015     32       3  1000       2.0596     0.017681    -2.162e-06       2.0596
_SET1_   8741      17    7461609    7464925      3       2  1000     -0.27982      0.60614    -2.162e-06     -0.27982
_SET1_   55175     17   40009799   40021629     28       3  1000     -0.10907       0.5298    -2.162e-06     -0.10907
_SET1_   79132     17   40253422   40264751     18       2  1000       -1.177      0.87429    -2.162e-06       -1.177
_SET1_   91369     17   48770551   48785270     16       3  1000     -0.24438      0.58364    -2.162e-06     -0.24437
_SET1_   10458     17   79008944   79091232    286      34  1000       4.0776   2.1753e-05    -2.162e-06       4.0776
_SET1_   55723     19   14230321   14247440     22       2  1000      -1.0008      0.83415    -2.162e-06      -1.0008
_SET1_   5424      19   50887531   50921275    112      12  1000      0.44772       0.3203    -2.162e-06      0.44772
_SET1_   7694      19   58570607   58581123     25       4  1000       1.1986      0.10767    -2.162e-06       1.1986
_SET1_   3642      20   20348765   20351593      3       1  1000        1.374     0.085004    -2.162e-06        1.374
_SET1_   55257     20   61427804   61431945     11       4  1000      0.80977      0.20173    -2.162e-06      0.80977
