# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM (set)
# _SET1_  NGENES = 10
# _SET1_  P-VALUE = 7.04206e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8884      2   27422455   27435175     16       3  1000      0.65152      0.24587   -4.5914e-06      0.65153
_SET1_   686       3   15642864   15689147     80      10  1000       0.8793      0.18202   -4.5914e-06       0.8793
_SET1_   5096      3  135969167  136056737    105      12  1000       2.0206      0.02028   -4.5914e-06       2.0206
_SET1_   56922     3  182733006  182817373    160      13  1000       1.1787      0.11239   -4.5914e-06       1.1787
_SET1_   64087     5   70883115   70954533    122       9  1000      0.81475      0.19487   -4.5914e-06      0.81476
_SET1_   5091     11   66615993   66725847     99      12  1000       1.9517     0.024003   -4.5914e-06       1.9517
_SET1_   32       12  109554222  109706031    385      32  1000     -0.63475      0.73301   -4.5914e-06     -0.63475
_SET1_   5095     13  100741269  101182691    691      36  1000       1.9268     0.024315   -4.5914e-06       1.9268
_SET1_   31       17   35441927   35766902    320      18  1000      0.82639      0.19098   -4.5914e-06      0.82639
_SET1_   3141     21   38123189   38362545    649      33  1000       1.4934     0.061594   -4.5914e-06       1.4934

# _SET2_  VARIABLE = REACTOME_DEFECTS_IN_BIOTIN_BTN_METABOLISM (set)
# _SET2_  NGENES = 8
# _SET2_  P-VALUE = 1.0931e-07
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   686       3   15642864   15689147     80      10  1000       0.8793      0.18202   -4.5914e-06       0.8793
_SET2_   5096      3  135969167  136056737    105      12  1000       2.0206      0.02028   -4.5914e-06       2.0206
_SET2_   56922     3  182733006  182817373    160      13  1000       1.1787      0.11239   -4.5914e-06       1.1787
_SET2_   64087     5   70883115   70954533    122       9  1000      0.81475      0.19487   -4.5914e-06      0.81476
_SET2_   5091     11   66615993   66725847     99      12  1000       1.9517     0.024003   -4.5914e-06       1.9517
_SET2_   5095     13  100741269  101182691    691      36  1000       1.9268     0.024315   -4.5914e-06       1.9268
_SET2_   31       17   35441927   35766902    320      18  1000      0.82639      0.19098   -4.5914e-06      0.82639
_SET2_   3141     21   38123189   38362545    649      33  1000       1.4934     0.061594   -4.5914e-06       1.4934
