# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ONDER_CDH1_TARGETS_1_UP (set)
# _SET1_  NGENES = 130
# _SET1_  P-VALUE = 5.43178e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26232      1   11707924   11714888     21      11  1000       1.1316      0.13543   -6.2676e-06       1.1316
_SET1_   9473       1   28199055   28213196     38       7  1000     -0.66428      0.73957   -6.2676e-06     -0.66427
_SET1_   7805       1   31205315   31230683     58      17  1000      0.94029      0.17696   -6.2676e-06      0.94029
_SET1_   64175      1   43212006   43232755     29       6  1000     0.059417       0.4704   -6.2676e-06     0.059423
_SET1_   3953       1   65886335   66103176    537      21  1000      0.20891      0.38616   -6.2676e-06      0.20891
_SET1_   1491       1   70876901   70905534     56      11  1000      -1.3844       0.9163   -6.2676e-06      -1.3844
_SET1_   1952       1  109792641  109818378     61      11  1000       1.5948     0.055253   -6.2676e-06       1.5948
_SET1_   26227      1  120254419  120286849     60      14  1000     -0.72694      0.76683   -6.2676e-06     -0.72693
_SET1_   9659       1  144851424  145076186    346      86  1000      0.16441      0.49244   -6.2676e-06      0.16441
_SET1_   10628      1  145438438  145442635      4       1  1000     -0.10967      0.54221   -6.2676e-06     -0.10966
_SET1_   51093      1  156698263  156706752     12       3  1000      0.87418      0.18562   -6.2676e-06      0.87419
_SET1_   7832       1  203274664  203278730     10       4  1000      0.55037      0.29197   -6.2676e-06      0.55038
_SET1_   1604       1  207494817  207534311     56       4  1000       1.0738      0.12981   -6.2676e-06       1.0738
_SET1_   467        1  212738676  212794119    158      25  1000      0.95307      0.17446   -6.2676e-06      0.95307
_SET1_   2052       1  225997797  226033264    100      25  1000       1.0914      0.14417   -6.2676e-06       1.0914
_SET1_   56997      1  227084589  227175246    174      31  1000       0.5198      0.31038   -6.2676e-06       0.5198
_SET1_   54867      2   27255774   27264565      5       2  1000      0.48141      0.31041   -6.2676e-06      0.48141
