# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_21Q22_AMPLICON (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 5.11323e-06
_SET1_   GENE    CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   104      21  46494493  46646478    275      15  1000     -0.48578      0.67198   -7.5952e-06     -0.48577
_SET1_   23275    21  46683843  46707811     57       5  1000       1.2051      0.10401   -7.5952e-06       1.2051
_SET1_   80781    21  46825058  46933634    420      33  1000       5.0236   2.3056e-07   -7.5952e-06       5.0236
_SET1_   6573     21  46934629  46983045     60       3  1000       1.4975     0.058972   -7.5952e-06       1.4975
_SET1_   54039    21  47268023  47362368    352      17  1000        1.187      0.10967   -7.5952e-06        1.187
_SET1_   1291     21  47401663  47424963     84      15  1000      0.10127      0.44744   -7.5952e-06      0.10128
_SET1_   1292     21  47518033  47552763    120      14  1000       1.8803     0.027716   -7.5952e-06       1.8803
_SET1_   10841    21  47556065  47575499     82      23  1000       2.5772    0.0047596   -7.5952e-06       2.5773
_SET1_   84221    21  47581062  47605167    150      13  1000     0.083004      0.45253   -7.5952e-06     0.083011
_SET1_   4047     21  47608360  47648738    117      13  1000       1.2338      0.10194   -7.5952e-06       1.2338
_SET1_   8888     21  47655047  47706211    126      15  1000       1.7861     0.034397   -7.5952e-06       1.7861
_SET1_   54059    21  47706250  47733020    125      12  1000       1.8787     0.027443   -7.5952e-06       1.8787
_SET1_   54058    21  47720344  47743813     46       9  1000       1.0183      0.14508   -7.5952e-06       1.0183
_SET1_   5116     21  47743976  47865682    341      20  1000       1.3991     0.075955   -7.5952e-06       1.3991
_SET1_   23181    21  47878862  47989926    308      20  1000      0.88901      0.17801   -7.5952e-06      0.88902
