# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_P38_GAMMA_DELTA_PATHWAY (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 7.56689e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3925      1   26210670   26233368     22       3  1000     -0.58648       0.7082   -1.5416e-06     -0.58648
_SET1_   51776     2  173940440  174132737    358      27  1000       1.7292     0.040724   -1.5416e-06       1.7292
_SET1_   5603      6   36098261   36112301     13       3  1000     -0.18007      0.56036   -1.5416e-06     -0.18007
_SET1_   595      11   69455873   69469242     19       4  1000      0.72724      0.22498   -1.5416e-06      0.72724
_SET1_   29904    16   22217592   22300066    142      17  1000     0.036075      0.47814   -1.5416e-06     0.036077
_SET1_   5606     17   21187968   21218552     62      11  1000     0.089186      0.45624   -1.5416e-06     0.089188
_SET1_   4137     17   43971702   44105700    694       5  1000       2.1919     0.010593   -1.5416e-06       2.1919
_SET1_   5608     17   67410838   67538470    287      37  1000       1.3668     0.089056   -1.5416e-06       1.3668
_SET1_   5585     19   14544166   14582679    100      22  1000       1.7779     0.038145   -1.5416e-06       1.7779
_SET1_   6640     20   31995763   32031698     37       4  1000      0.73702       0.2182   -1.5416e-06      0.73702
_SET1_   6300     22   50691331   50700248     35       5  1000       1.0803      0.13253   -1.5416e-06       1.0803
