# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 3.65977e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54751     1   16083107   16113089     43       5  1000      0.29904      0.35907   -1.6343e-06      0.29905
_SET1_   3987      2  109150811  109303702    302      11  1000      0.67482       0.2273   -1.6343e-06      0.67482
_SET1_   55679     2  128395996  128439360    102      18  1000      0.84054      0.18586   -1.6343e-06      0.84054
_SET1_   60        7    5566779    5570232      9       2  1000    -0.073097      0.50915   -1.6343e-06    -0.073096
_SET1_   2318      7  128470436  128499328     44       6  1000       1.2211      0.10182   -1.6343e-06       1.2211
_SET1_   7016      9   35605281   35610038      2       1  1000       1.1253      0.12115   -1.6343e-06       1.1253
_SET1_   6251     10   16632615   16859509    666      66  1000     -0.61272      0.72234   -1.6343e-06     -0.61272
_SET1_   3688     10   33189246   33247293    127      14  1000       1.2981     0.087481   -1.6343e-06       1.2981
_SET1_   3611     11    6624938    6632105     24       3  1000      0.13793      0.42223   -1.6343e-06      0.13793
_SET1_   55742    11   12397988   12556903    432      60  1000      0.37021      0.34664   -1.6343e-06      0.37021
_SET1_   5829     12  120648242  120703574     54       5  1000      0.26912      0.37216   -1.6343e-06      0.26912
_SET1_   10979    14   53323989   53417856    162      16  1000       1.6824     0.040992   -1.6343e-06       1.6824
_SET1_   87       14   69340840   69446083    294      30  1000      0.54953      0.27464   -1.6343e-06      0.54953
_SET1_   71       17   79476997   79479892     18       3  1000      0.51965      0.28455   -1.6343e-06      0.51966
_SET1_   7408     19   46010688   46030247     44       9  1000    0.0066617       0.4763   -1.6343e-06    0.0066634
_SET1_   29780    22   44395091   44565113    555      82  1000       1.3239     0.091501   -1.6343e-06       1.3239

# _SET2_  VARIABLE = MIKKELSEN_IPS_LCP_WITH_H3K27ME3 (set)
# _SET2_  NGENES = 10
# _SET2_  P-VALUE = 2.6321e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   51744      1  160799950  160832692     94       8  1000      -1.1005      0.85011   -1.6343e-06      -1.1005
_SET2_   55600      1  160846330  160854960     36       2  1000     -0.24344      0.57126   -1.6343e-06     -0.24343
_SET2_   779        1  201008635  201081694    211      39  1000        1.609     0.049698   -1.6343e-06        1.609
_SET2_   151295     2  220026181  220035549      9       2  1000      0.48036      0.29766   -1.6343e-06      0.48036
_SET2_   54658      2  234668919  234681945     27       6  1000      0.10851      0.43616   -1.6343e-06      0.10851
_SET2_   79690      7   99756865   99766373      9       1  1000      0.46608      0.30033   -1.6343e-06      0.46608
_SET2_   84940     17   27941774   27949926      5       1  1000       1.5895     0.050298   -1.6343e-06       1.5895
_SET2_   124857    17   48912011   48919709     25       4  1000      0.33616       0.3476   -1.6343e-06      0.33616
_SET2_   23627     20    4702556    4709106     24       7  1000       1.9479     0.022642   -1.6343e-06       1.9479
_SET2_   85366     20   30407115   30422500     33       4  1000       2.5865    0.0041119   -1.6343e-06       2.5865
