# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 7.01218e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   65018     1   20959948   20978004     62       8  1000      0.57007      0.28277   -2.6767e-06      0.57007
_SET1_   4802      1   41157242   41237275    142       9  1000       1.4381     0.072846   -2.6767e-06       1.4381
_SET1_   356       1  172628185  172636013      7       3  1000      0.68684      0.24715   -2.6767e-06      0.68684
_SET1_   10018     2  111878491  111926022     59       7  1000       1.6978     0.044292   -2.6767e-06       1.6978
_SET1_   604       3  187439165  187463513     56       9  1000      0.79139      0.21383   -2.6767e-06      0.79139
_SET1_   4800      6   41040707   41070146     36       5  1000      0.15153      0.43581   -2.6767e-06      0.15153
_SET1_   2309      6  108881026  109005972    120      11  1000       1.3098     0.093653   -2.6767e-06       1.3098
_SET1_   10370     6  139693392  139695787      4       2  1000      0.27252      0.39176   -2.6767e-06      0.27252
_SET1_   1649     12   57910371   57914300      3       1  1000     -0.80798      0.78786   -2.6767e-06     -0.80797
_SET1_   4801     12  104510858  104532040     20       4  1000    -0.038438       0.5123   -2.6767e-06    -0.038436
_SET1_   2308     13   41129801   41240734    182      10  1000       1.0202      0.14937   -2.6767e-06       1.0202
_SET1_   1387     16    3775055    3930121    142      16  1000      0.41452      0.33745   -2.6767e-06      0.41452
_SET1_   6794     19    1205798    1228434     53       8  1000       2.5307     0.005642   -2.6767e-06       2.5307
_SET1_   27113    19   47724079   47736023      5       3  1000       2.0114     0.022329   -2.6767e-06       2.0114
_SET1_   2033     22   41488614   41576081    128      10  1000      0.48965      0.30819   -2.6767e-06      0.48965
