# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION (set)
# _SET1_  NGENES = 118
# _SET1_  P-VALUE = 8.12763e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   378708     1   10489944   10510239     47       4  1000     -0.91027      0.80599   -4.8425e-06     -0.91026
_SET1_   55920      1   17733251   17766250     49       5  1000      0.55881      0.27253   -4.8425e-06      0.55882
_SET1_   10726      1   27248187   27273362     12       3  1000       2.8194    0.0022409   -4.8425e-06       2.8194
_SET1_   55143      1   38158073   38175391     37       5  1000      -1.4724      0.92396   -4.8425e-06      -1.4724
_SET1_   991        1   43824626   43828874      3       2  1000     -0.67227      0.74548   -4.8425e-06     -0.67226
_SET1_   11004      1   45205396   45233439     43       5  1000    -0.023709      0.49438   -4.8425e-06    -0.023704
_SET1_   23421      1   63906441   63988944    169      12  1000      0.18106      0.40962   -4.8425e-06      0.18106
_SET1_   11243      1  156182779  156209868     69       6  1000     0.054291      0.46018   -4.8425e-06     0.054296
_SET1_   83540      1  163291723  163325553    116       9  1000       1.9596     0.022214   -4.8425e-06       1.9596
_SET1_   91687      1  173768688  173794325     39       5  1000      0.27302      0.38071   -4.8425e-06      0.27303
_SET1_   5525       1  212458879  212535205    163      19  1000       1.3378     0.084446   -4.8425e-06       1.3378
_SET1_   25936      1  212899495  212965139    187      10  1000      0.82449       0.1905   -4.8425e-06       0.8245
_SET1_   1063       1  214776522  214837914    152      12  1000      0.43552      0.31679   -4.8425e-06      0.43552
_SET1_   55746      1  229577044  229644088    137       6  1000       1.2852     0.091514   -4.8425e-06       1.2852
_SET1_   25909      1  247002400  247094726    163      15  1000       1.4864     0.062549   -4.8425e-06       1.4864
_SET1_   79172      2   25016175   25045245     67       9  1000      0.92595      0.16593   -4.8425e-06      0.92595
_SET1_   1058       2   27008857   27023935     37       3  1000      0.16014      0.41912   -4.8425e-06      0.16014
_SET1_   7514       2   61705069   61765440     81       5  1000      0.34332      0.34633   -4.8425e-06      0.34332
_SET1_   5903       2  109335902  109402267    113       6  1000      -0.2528       0.5821   -4.8425e-06     -0.25279
_SET1_   699        2  111395275  111435684     17       1  1000     -0.60803      0.71595   -4.8425e-06     -0.60803
_SET1_   23332      2  122095352  122407052    591       9  1000       1.6254     0.047503   -4.8425e-06       1.6254
_SET1_   112714     2  130949318  130956034     12       2  1000      0.47545      0.30616   -4.8425e-06      0.47545
_SET1_   113457     2  132233580  132240507     22       2  1000      0.59507       0.2677   -4.8425e-06      0.59508
_SET1_   57405      2  169727401  169747277     47       9  1000       1.3744     0.078962   -4.8425e-06       1.3744
_SET1_   1781       2  172543919  172606668     72       7  1000      -0.5956      0.70945   -4.8425e-06      -0.5956
_SET1_   151246     2  201390865  201448818    105      12  1000      0.63813      0.24807   -4.8425e-06      0.63814
_SET1_   7277       2  220114433  220119330      5       1  1000     -0.28632      0.61004   -4.8425e-06     -0.28631
_SET1_   6396       3   10342613   10362872     53       9  1000        1.009      0.14748   -4.8425e-06        1.009
_SET1_   151648     3   20202085   20227724     84      12  1000     -0.19661      0.56239   -4.8425e-06     -0.19661
_SET1_   51143      3   32567463   32612373     57       8  1000      0.82917      0.19355   -4.8425e-06      0.82917
_SET1_   23122      3   33537737   33759705    224      17  1000       1.3886     0.075815   -4.8425e-06       1.3886
_SET1_   10274      3  136055077  136471245    460      17  1000       2.2969    0.0095301   -4.8425e-06       2.2969
_SET1_   23244      4   39824483   39979576    292      18  1000       2.7792    0.0023794   -4.8425e-06       2.7792
_SET1_   1060       4   68337989   68411256    189      10  1000      -0.4583      0.65737   -4.8425e-06      -0.4583
