# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ZHANG_GATA6_TARGETS_DN (set)
# _SET1_  NGENES = 63
# _SET1_  P-VALUE = 5.03141e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54810      1   78510646   78604129    158      11  1000       0.1726      0.40602    1.3979e-06       0.1726
_SET1_   4582       1  155158300  155162768      2       1  1000         1.46     0.067709    1.3979e-06         1.46
_SET1_   7059       1  155165379  155177772     10       2  1000       1.7431     0.036851    1.3979e-06       1.7431
_SET1_   2224       1  155278539  155290457     10       2  1000     -0.43832      0.65384    1.3979e-06     -0.43833
_SET1_   6646       1  179262849  179327815    230      16  1000        1.974     0.020574    1.3979e-06        1.974
_SET1_   79623      2   31133331   31361592    646      43  1000       1.3449     0.079004    1.3979e-06       1.3449
_SET1_   8436       2  192699031  192712006     15       4  1000     0.012532      0.47698    1.3979e-06     0.012531
_SET1_   1286       2  227867427  228029275    404      33  1000       2.0473     0.017273    1.3979e-06       2.0473
_SET1_   1285       2  228029281  228179508    660      54  1000      -0.6869      0.73473    1.3979e-06      -0.6869
_SET1_   1238       3   42850964   42908775    102      10  1000     -0.20645      0.55739    1.3979e-06     -0.20645
_SET1_   10039      3   51976297   51982883      3       2  1000       2.0147     0.019867    1.3979e-06       2.0147
_SET1_   1849       3   52082935   52090461      3       1  1000       2.2819     0.010353    1.3979e-06       2.2819
_SET1_   114112     3  126325895  126375056     81       8  1000       2.5146    0.0050265    1.3979e-06       2.5146
_SET1_   66000      3  132757171  133116619    810      33  1000     -0.82378      0.77252    1.3979e-06     -0.82378
_SET1_   51208      3  137717658  137752494     61       7  1000      -1.5623      0.93372    1.3979e-06      -1.5623
_SET1_   56648      3  170606204  170626426     31       4  1000      0.99612      0.14734    1.3979e-06      0.99612
_SET1_   27074      3  182840003  182880667    153      17  1000      -1.0636      0.84207    1.3979e-06      -1.0636
_SET1_   5481       4  159630279  159644552     19       3  1000       1.8863     0.026573    1.3979e-06       1.8863
_SET1_   6307       4  166248818  166264316     58      10  1000      -1.7253      0.95251    1.3979e-06      -1.7253
_SET1_   60559      4  177241090  177253396     34       6  1000      0.45308      0.30699    1.3979e-06      0.45308
_SET1_   353189     5  101569690  101632253    181      19  1000       2.8796    0.0016297    1.3979e-06       2.8796
_SET1_   221692     6   12716888   13290476   1243      64  1000     -0.12747      0.52425    1.3979e-06     -0.12747
_SET1_   285761     6  117803803  117891021    169      24  1000     0.085616      0.44243    1.3979e-06     0.085614
_SET1_   816        7   44256749   44365230    188      17  1000       1.5689     0.051161    1.3979e-06       1.5689
_SET1_   1956       7   55086678   55279262    410      58  1000       1.6135     0.047992    1.3979e-06       1.6135
_SET1_   10371      7   83587659   84122040   1493      62  1000       4.2851   6.5721e-06    1.3979e-06       4.2851
_SET1_   3638       7  155089486  155101945     39       7  1000     0.057015      0.45601    1.3979e-06     0.057014
_SET1_   1508       8   11700033   11725646     95      11  1000     -0.78698      0.76608    1.3979e-06     -0.78698
_SET1_   2171       8   82192718   82197012      1       1  1000        1.812      0.03337    1.3979e-06        1.812
_SET1_   79581      8  145582217  145584946      1       1  1000       0.4836       0.3051    1.3979e-06       0.4836
_SET1_   140803     9   77337411   77503010    248      31  1000     -0.84114      0.78273    1.3979e-06     -0.84114
_SET1_   7111       9  100263462  100367177    239      37  1000     -0.09342      0.51488    1.3979e-06    -0.093422
_SET1_   54836      9  116111812  116133513    110      13  1000      -1.5029      0.92535    1.3979e-06      -1.5029
_SET1_   210        9  116148592  116163618     30       9  1000     -0.30897      0.60235    1.3979e-06     -0.30897
_SET1_   83543      9  133971863  133998539     55       9  1000      0.48959      0.29318    1.3979e-06      0.48959
_SET1_   3422      10    1085963    1095061     17       5  1000      0.46338       0.3053    1.3979e-06      0.46338
_SET1_   9806      10   73818792   73848790     83       9  1000      0.32271      0.35049    1.3979e-06      0.32271
_SET1_   55107     11   69924408   70035651    396      47  1000      0.70623      0.22273    1.3979e-06      0.70623
