# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = INAMURA_LUNG_CANCER_SCC_UP (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 7.35568e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6513       1   43391046   43424847    114      14  1000       1.2097      0.10466    -1.462e-06       1.2097
_SET1_   85465      2   26568954   26618759     88       7  1000     -0.30162      0.59394    -1.462e-06     -0.30162
_SET1_   113130    11   64833772   64851635     20       4  1000     -0.17502       0.5455    -1.462e-06     -0.17501
_SET1_   5818      11  119508808  119599435    137      15  1000      0.71591      0.22144    -1.462e-06      0.71591
_SET1_   3852      12   52908359   52914328     26       2  1000      0.18396      0.40175    -1.462e-06      0.18396
_SET1_   55644     14   20915207   20923267     30       3  1000     -0.23685      0.56625    -1.462e-06     -0.23685
_SET1_   7153      17   38544773   38574202     10       2  1000       2.0707     0.016513    -1.462e-06       2.0707
_SET1_   3861      17   39738531   39743147     12       3  1000      0.70497      0.22053    -1.462e-06      0.70497
_SET1_   143471    18   23713816   23773319    109      10  1000      0.42327      0.32342    -1.462e-06      0.42327
_SET1_   1825      18   28570052   28622781    137      14  1000      0.69905       0.2259    -1.462e-06      0.69905
_SET1_   1830      18   29027732   29058665     93      10  1000     -0.55887      0.69405    -1.462e-06     -0.55887
_SET1_   22974     20   30326904   30389605     75       5  1000      0.61191      0.24966    -1.462e-06      0.61191
