# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BREUHAHN_GROWTH_FACTOR_SIGNALING_IN_LIVER_CANCER (set)
# _SET1_  NGENES = 14
# _SET1_  P-VALUE = 5.12542e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7039      2   70674412   70781147    291      30  1000        0.978      0.16182   -1.3384e-06        0.978
_SET1_   8324      2  202899310  202903160      3       1  1000      0.94302      0.15856   -1.3384e-06      0.94302
_SET1_   7048      3   30647994   30735634    246      37  1000       2.0882     0.018417   -1.3384e-06       2.0882
_SET1_   1499      3   41236401   41281939     34       2  1000       0.2432      0.37123   -1.3384e-06       0.2432
_SET1_   1956      7   55086678   55279262    410      58  1000       1.9336     0.028482   -1.3384e-06       1.9336
_SET1_   3082      7   81331444   81399452     88       5  1000       1.8612     0.028233   -1.3384e-06       1.8612
_SET1_   4233      7  116312406  116438440    128      18  1000      -0.1544      0.55181   -1.3384e-06      -0.1544
_SET1_   7046      9  101867412  101916474     60       5  1000       2.3083    0.0095064   -1.3384e-06       2.3083
_SET1_   3481     11    2150346    2179611     66      14  1000     -0.82996      0.78841   -1.3384e-06     -0.82996
_SET1_   51339    14   59100786   59115039     14       3  1000      0.36484      0.34281   -1.3384e-06      0.36484
_SET1_   8312     16     337440     405244    219      21  1000      0.48193      0.30684   -1.3384e-06      0.48193
_SET1_   2064     17   37844167   37884915     31       4  1000     -0.28473      0.59222   -1.3384e-06     -0.28473
_SET1_   8313     17   63524681   63557740     72      16  1000      0.72901      0.22888   -1.3384e-06      0.72901
_SET1_   5300     19    9945883    9960365     24       6  1000      0.56197      0.27542   -1.3384e-06      0.56197
