# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = STANELLE_E2F1_TARGETS (set)
# _SET1_  NGENES = 27
# _SET1_  P-VALUE = 6.98432e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7161      1    3569129    3652765    265      44  1000     -0.90173      0.81272   -9.1864e-07     -0.90173
_SET1_   9890      1   99729848   99775140     91      11  1000       1.6305     0.046954   -9.1864e-07       1.6305
_SET1_   7159      1  223967595  224033674    112       9  1000     -0.32444      0.60592   -9.1864e-07     -0.32444
_SET1_   8837      2  201980877  202037411     70       5  1000       1.3849     0.077333   -9.1864e-07       1.3849
_SET1_   2261      4    1795039    1810599     33       7  1000     -0.22572      0.57244   -9.1864e-07     -0.22572
_SET1_   2247      4  123747568  123819390    185      26  1000       1.0194      0.14407   -9.1864e-07       1.0194
_SET1_   10309     5   54526980   54529508      3       1  1000        1.428     0.074871   -9.1864e-07        1.428
_SET1_   578       6   33540323   33548072     17       4  1000     -0.59613      0.71703   -9.1864e-07     -0.59613
_SET1_   4217      6  136878184  137113656    343      32  1000     -0.96983      0.82659   -9.1864e-07     -0.96983
_SET1_   4325      8   89049460   89339717    499      44  1000     -0.31229      0.61056   -9.1864e-07     -0.31229
_SET1_   9134      8   95892452   95909672     21       4  1000      0.63477      0.24992   -9.1864e-07      0.63478
_SET1_   3440      9   21384254   21385396      1       1  1000       1.1616       0.1214   -9.1864e-07       1.1616
_SET1_   7423     11   64002056   64006736      9       3  1000     -0.13955      0.54496   -9.1864e-07     -0.13955
_SET1_   572      11   64037300   64052176     19       6  1000     -0.27014      0.59312   -9.1864e-07     -0.27014
_SET1_   595      11   69455873   69469242     19       4  1000       1.3259     0.088033   -9.1864e-07       1.3259
_SET1_   5893     12    1021255    1099774    187      29  1000      0.84073      0.19324   -9.1864e-07      0.84073
_SET1_   928      12    6309482    6347437     51       6  1000    -0.033021      0.50206   -9.1864e-07     -0.03302
_SET1_   5074     12   79985745   80084877     90       7  1000     -0.10692      0.51353   -9.1864e-07     -0.10692
_SET1_   7184     12  104324112  104341708     61      15  1000      0.72622      0.22437   -9.1864e-07      0.72622
_SET1_   5983     13   34392206   34540695    315      20  1000     0.071073      0.44141   -9.1864e-07     0.071074
_SET1_   5345     17    1646015    1658562     44       6  1000      0.73215      0.22154   -9.1864e-07      0.73215
_SET1_   9020     17   43340488   43394414     71       9  1000     -0.56828      0.70301   -9.1864e-07     -0.56828
_SET1_   8744     19    6531010    6535939     10       4  1000      -1.4554      0.92282   -9.1864e-07      -1.4554
_SET1_   898      19   30302805   30315224     14       3  1000       2.0389     0.019522   -9.1864e-07       2.0389
_SET1_   6790     20   54944445   54967351     29       9  1000      0.47657      0.30483   -9.1864e-07      0.47657
_SET1_   637      22   18216906   18257431    111      22  1000      0.80071      0.20396   -9.1864e-07      0.80071
_SET1_   23151    22   46973124   47078652    416      27  1000       1.9434     0.023516   -9.1864e-07       1.9434
