# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = NIKOLSKY_BREAST_CANCER_5P15_AMPLICON (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 4.16903e-06
_SET1_   GENE     CHR    START     STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   153478     5   140373   190087    164      14  1000      0.93591      0.16542   -8.4042e-07      0.93591
_SET1_   389257     5   191626   195468      8       2  1000     -0.38445      0.62864   -8.4042e-07     -0.38445
_SET1_   133957     5   204875   218333     53       8  1000       1.9246     0.024821   -8.4042e-07       1.9246
_SET1_   6389       5   218338   256815    316       5  1000       1.9351     0.021813   -8.4042e-07       1.9351
_SET1_   10016      5   271736   315089    182      12  1000       2.2702     0.010322   -8.4042e-07       2.2702
_SET1_   57491      5   304291   438406    413      33  1000       3.1818   0.00067527   -8.4042e-07       3.1818
_SET1_   11336      5   443305   467414     84       8  1000       2.4732    0.0059418   -8.4042e-07       2.4732
_SET1_   6550       5   473298   524549    238      34  1000       2.3276    0.0098769   -8.4042e-07       2.3276
_SET1_   55722      5   612405   655807    124      10  1000       2.3867    0.0075719   -8.4042e-07       2.3867
_SET1_   11076      5   659977   693510    166      17  1000       2.2732     0.010666   -8.4042e-07       2.2732
_SET1_   79844      5   795720   859088    186      16  1000       1.4283     0.072292   -8.4042e-07       1.4283
_SET1_   65980      5   863850   892939     37       5  1000      0.69378      0.23464   -8.4042e-07      0.69378
_SET1_   9319       5   892764   918164     41       5  1000       1.4247     0.073648   -8.4042e-07       1.4247
_SET1_   85409      5  1008941  1038927    112      17  1000      0.60907      0.26371   -8.4042e-07      0.60907
_SET1_   10723      5  1050489  1112172    217      35  1000       1.2615      0.10364   -8.4042e-07       1.2615
_SET1_   340024     5  1201710  1225232     94      21  1000    -0.017357      0.50269   -8.4042e-07    -0.017357
_SET1_   348932     5  1225470  1246304     83      19  1000     -0.09988      0.53437   -8.4042e-07    -0.099879
_SET1_   7015       5  1253282  1295178     83      23  1000       1.5997      0.05428   -8.4042e-07       1.5997
_SET1_   81037      5  1317869  1345180     51       5  1000     -0.61951      0.71592   -8.4042e-07     -0.61951
_SET1_   6531       5  1392905  1445543    160      22  1000     -0.80822      0.78546   -8.4042e-07     -0.80822
_SET1_   79888      5  1461542  1525644    216      38  1000      0.54244      0.29583   -8.4042e-07      0.54244
_SET1_   64979      5  1798499  1799956      8       3  1000      0.76743      0.20762   -8.4042e-07      0.76743
_SET1_   4726       5  1801496  1816165     48       5  1000       1.1913      0.10727   -8.4042e-07       1.1913
_SET1_   50805      5  1877541  1887293     35       6  1000      0.92095      0.16775   -8.4042e-07      0.92095
_SET1_   153572     5  2746279  2751769     10       4  1000       1.4246     0.071217   -8.4042e-07       1.4246
_SET1_   153571     5  2752058  2755511      4       2  1000     -0.18518      0.55382   -8.4042e-07     -0.18518
