# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = ABBUD_LIF_SIGNALING_1_DN (set)
# _SET1_  NGENES = 22
# _SET1_  P-VALUE = 7.93576e-07
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8289       1   27022522   27108601     23       5  1000       1.9642     0.023375   -3.2763e-07       1.9642
_SET1_   10753      1  230883089  230937749    232      28  1000     -0.32124      0.61519   -3.2763e-07     -0.32124
_SET1_   57162      2   64319786   64371605     81       8  1000     -0.22628      0.57222   -3.2763e-07     -0.22628
_SET1_   3099       2   75059782   75120481    166      24  1000      0.43272       0.3227   -3.2763e-07      0.43272
_SET1_   3987       2  109150811  109303702    302      11  1000       2.8816    0.0016084   -3.2763e-07       2.8816
_SET1_   3655       2  173291954  173371181    280      21  1000     -0.57106      0.70303   -3.2763e-07     -0.57106
_SET1_   2891       4  158141736  158287227    106       9  1000       1.4382     0.068617   -3.2763e-07       1.4382
_SET1_   594        6   80816344   81055987    582      16  1000      -1.2004       0.8724   -3.2763e-07      -1.2004
_SET1_   1644       7   50526134   50633154    430      22  1000       2.2754     0.010094   -3.2763e-07       2.2754
_SET1_   5168       8  120569317  120685644    207      24  1000       1.0726      0.13447   -3.2763e-07       1.0726
_SET1_   26578      9   77703398   77762114    142      20  1000        1.722     0.039693   -3.2763e-07        1.722
_SET1_   79026     11   62201014   62314332    204      30  1000       1.3124     0.091931   -3.2763e-07       1.3124
_SET1_   25996     11  114310108  114321001     12       4  1000      0.44263       0.3232   -3.2763e-07      0.44263
_SET1_   3225      12   54393877   54397121      5       1  1000        1.789     0.035929   -3.2763e-07        1.789
_SET1_   8803      13   48516791   48612125    316      12  1000       1.2765     0.091159   -3.2763e-07       1.2765
_SET1_   80344     14   24583906   24594451     17       3  1000      0.83959      0.19324   -3.2763e-07      0.83959
_SET1_   23191     15   22892667   23003603    378      52  1000      0.09013      0.46676   -3.2763e-07      0.09013
_SET1_   146556    16    5092925    5116146     41       8  1000      0.59222      0.26602   -3.2763e-07      0.59222
_SET1_   92154     16   70695107   70719954     54      10  1000       1.8121     0.032429   -3.2763e-07       1.8121
_SET1_   91369     17   48770551   48785270     16       3  1000     -0.28613      0.60285   -3.2763e-07     -0.28613
_SET1_   1943      19    1286153    1301430     19       3  1000     0.097683      0.45293   -3.2763e-07     0.097684
_SET1_   3170      20   22561642   22566101      5       2  1000       2.8794    0.0020343   -3.2763e-07       2.8794
