# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = REACTOME_ADAPTIVE_IMMUNE_SYSTEM (set)
# _SET1_  NGENES = 718
# _SET1_  P-VALUE = 7.78191e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   118424        1    1189292    1209234     24       5  1000    -0.083013      0.53731   -7.9498e-07    -0.083012
_SET1_   142678        1    1550795    1565990     29       5  1000      0.70385      0.23621   -7.9498e-07      0.70385
_SET1_   8764          1    2487291    2495268     11       2  1000    -0.064426      0.51601   -7.9498e-07    -0.064425
_SET1_   9903          1    6650784    6662958     16       3  1000      0.36583      0.35031   -7.9498e-07      0.36583
_SET1_   9341          1    7831329    7841492     27       7  1000      -1.0993      0.86267   -7.9498e-07      -1.0993
_SET1_   80176         1    9335202    9429591    287      42  1000     -0.35104      0.65265   -7.9498e-07     -0.35103
_SET1_   5293          1    9711789    9789172    108      20  1000     -0.32526      0.63205   -7.9498e-07     -0.32526
_SET1_   2475          1   11166588   11322614    285       6  1000      -1.1417      0.86962   -7.9498e-07      -1.1417
_SET1_   26232         1   11707924   11714888     21      11  1000     -0.76663      0.78249   -7.9498e-07     -0.76663
_SET1_   93611         1   11714432   11723384     21       7  1000      0.18204      0.42923   -7.9498e-07      0.18204
_SET1_   26270         1   11724150   11734411     34       8  1000     0.031256      0.48579   -7.9498e-07     0.031257
_SET1_   23352         1   19401000   19536812    151      10  1000       0.2288      0.40324   -7.9498e-07       0.2288
_SET1_   832           1   19665267   19812066    435      20  1000      0.60937      0.27155   -7.9498e-07      0.60937
_SET1_   5909          1   21922708   21996010    191      35  1000      -1.5911      0.94788   -7.9498e-07      -1.5911
_SET1_   998           1   22379120   22419439     38       7  1000      -1.3907      0.91723   -7.9498e-07      -1.3907
_SET1_   84676         1   26377792   26394142     33       4  1000      0.52174      0.29601   -7.9498e-07      0.52174
_SET1_   3932          1   32716840   32751766     25       6  1000       0.3273      0.37284   -7.9498e-07       0.3273
_SET1_   127544        1   33402050   33430467     41       4  1000     0.073065      0.46408   -7.9498e-07     0.073066
_SET1_   5690          1   36040259   36107445     66       8  1000       0.3644       0.3626   -7.9498e-07       0.3644
_SET1_   991           1   43824626   43828874      3       2  1000      0.66409      0.25146   -7.9498e-07      0.66409
_SET1_   55182         1   44870837   45117396    562      68  1000       0.5483      0.32101   -7.9498e-07       0.5483
_SET1_   11004         1   45205396   45233439     43       5  1000     -0.10265      0.53571   -7.9498e-07     -0.10265
_SET1_   79654         1   45468220   45477027     21       4  1000      -1.0452      0.85058   -7.9498e-07      -1.0452
_SET1_   8503          1   46505812   46642167    195      13  1000      -1.1292      0.86831   -7.9498e-07      -1.1292
_SET1_   10489         1   46744072   46769038      9       2  1000     -0.45486       0.6705   -7.9498e-07     -0.45486
_SET1_   148581        1   64669135   64732969    144      13  1000      0.13105      0.44508   -7.9498e-07      0.13105
_SET1_   127247        1   76384558   76398116     47       9  1000       1.3921     0.081348   -7.9498e-07       1.3921
_SET1_   5567          1   84543745   84704181    180      13  1000       1.3653     0.084429   -7.9498e-07       1.3653
_SET1_   8915          1   85731459   85742604     24       6  1000      0.11209      0.45289   -7.9498e-07      0.11209
_SET1_   11146         1   92711955   92764566     44       6  1000      -1.5179      0.93342   -7.9498e-07      -1.5179
_SET1_   7412          1  101185196  101204601     30      13  1000      -1.5347      0.93908   -7.9498e-07      -1.5347
_SET1_   5686          1  109941653  109969108     32       4  1000    -0.039478      0.50942   -7.9498e-07    -0.039477
_SET1_   10768         1  110527387  110566364     27       6  1000      0.22228      0.41206   -7.9498e-07      0.22228
_SET1_   5906          1  112162405  112256807    282      19  1000      -1.1162      0.86911   -7.9498e-07      -1.1162
_SET1_   829           1  113162075  113214241     58       6  1000     -0.45541       0.6691   -7.9498e-07     -0.45541
_SET1_   26191         1  114356433  114414375     73       7  1000      0.23861       0.3988   -7.9498e-07      0.23861
_SET1_   4893          1  115247085  115259515      6       2  1000       1.3133     0.092948   -7.9498e-07       1.3133
_SET1_   9398          1  117544372  117579173     65      13  1000      0.32636      0.37245   -7.9498e-07      0.32636
_SET1_   2210          1  120926128  120935944      6       3  1000     -0.16909      0.56787   -7.9498e-07     -0.16909
_SET1_   27246         1  145610990  145689005     93       6  1000     -0.77815      0.77463   -7.9498e-07     -0.77815
_SET1_   11126         1  145695798  145715639     21       3  1000     -0.72079      0.75753   -7.9498e-07     -0.72079
_SET1_   2209          1  149754232  149764074      4       2  1000      0.87694      0.19311   -7.9498e-07      0.87694
_SET1_   1520          1  150702672  150738433     42       4  1000       2.0573     0.018755   -7.9498e-07       2.0573
_SET1_   1513          1  150768684  150780917      9       3  1000       2.0476     0.019736   -7.9498e-07       2.0476
_SET1_   5710          1  151227176  151239955     14       2  1000     -0.24869      0.59118   -7.9498e-07     -0.24869
_SET1_   5692          1  151372041  151374412      3       1  1000      0.12479       0.4499   -7.9498e-07      0.12479
_SET1_   117145        1  151843342  151882361     60       4  1000      0.54211        0.288   -7.9498e-07      0.54212
_SET1_   55585         1  154521051  154531138     14       3  1000       0.8143      0.20595   -7.9498e-07       0.8143
_SET1_   912           1  158147828  158156217      7       2  1000      0.67786      0.24573   -7.9498e-07      0.67787
_SET1_   909           1  158218119  158228059     12       3  1000      -1.2573      0.89465   -7.9498e-07      -1.2573
_SET1_   911           1  158259563  158264564      1       1  1000     -0.63376       0.7429   -7.9498e-07     -0.63376
_SET1_   910           1  158297740  158301321      7       3  1000     -0.33188      0.63117   -7.9498e-07     -0.33188
_SET1_   114836        1  160454820  160493052     84      13  1000       -1.479      0.93129   -7.9498e-07       -1.479
_SET1_   57823         1  160708865  160724611     25       4  1000      0.85616      0.19144   -7.9498e-07      0.85616
_SET1_   2214          1  161511549  161520413     12       3  1000      -1.6022       0.9441   -7.9498e-07      -1.6022
_SET1_   2213          1  161632905  161648444     40       9  1000       1.2835     0.099344   -7.9498e-07       1.2835
_SET1_   117157        1  162365056  162381928     56       7  1000      0.21963      0.40802   -7.9498e-07      0.21963
_SET1_   919           1  167399877  167487847    210      43  1000       1.3929     0.089005   -7.9498e-07       1.3929
_SET1_   6402          1  169659806  169680843     84      13  1000      0.56321      0.28804   -7.9498e-07      0.56321
_SET1_   22920         1  169890461  170043882    178      19  1000      0.97035      0.16765   -7.9498e-07      0.97035
_SET1_   26052         1  171810618  172387606   1203      58  1000      -1.1964      0.89731   -7.9498e-07      -1.1964
_SET1_   27252         1  173684063  173755960    121       9  1000      0.29232      0.38414   -7.9498e-07      0.29232
_SET1_   4688          1  183524697  183560056     76      14  1000       1.7871     0.037016   -7.9498e-07       1.7871
_SET1_   5788          1  198608098  198726605    179      24  1000       1.1974      0.11906   -7.9498e-07       1.1974
_SET1_   1510          1  206317459  206332104     21       3  1000       1.1653      0.11927   -7.9498e-07       1.1653
_SET1_   947           1  208059883  208084742     65      10  1000     -0.93879      0.82468   -7.9498e-07     -0.93879
_SET1_   5525          1  212458879  212535205    163      19  1000    -0.061698      0.52785   -7.9498e-07    -0.061697
_SET1_   55740         1  225674534  225840845    143      16  1000     -0.70573      0.76151   -7.9498e-07     -0.70573
_SET1_   375           1  228270361  228286913     18       4  1000      -0.3192      0.62331   -7.9498e-07      -0.3192
_SET1_   81559         1  228581373  228594584      9       1  1000      0.28669      0.38187   -7.9498e-07      0.28669
_SET1_   10000         1  243651535  244014381    354      13  1000       0.1445      0.43905   -7.9498e-07       0.1445
_SET1_   3797          2   26149455   26205443    114      15  1000      0.28059      0.39142   -7.9498e-07      0.28059
_SET1_   7498          2   31557188   31637611    184      27  1000     -0.11613      0.55322   -7.9498e-07     -0.11613
_SET1_   25780         2   33661416   33789798    382      57  1000      0.73795      0.25121   -7.9498e-07      0.73795
_SET1_   6654          2   39208690   39347686    248      10  1000      0.55206      0.29021   -7.9498e-07      0.55206
_SET1_   80204         2   48034059   48133524     92       9  1000     -0.79442      0.78386   -7.9498e-07     -0.79442
_SET1_   51130         2   53897117   54014146    293      19  1000      -1.3107      0.90579   -7.9498e-07      -1.3107
_SET1_   23198         2   54091204   54197977    219      14  1000     -0.19821      0.57592   -7.9498e-07      -0.1982
_SET1_   6233          2   55459039   55462989      7       3  1000     -0.98289      0.83608   -7.9498e-07     -0.98289
_SET1_   5966          2   61108709   61171410     52       8  1000        1.488     0.067184   -7.9498e-07        1.488
_SET1_   5534          2   68405979   68483392    136       7  1000     -0.16308      0.55547   -7.9498e-07     -0.16307
_SET1_   50489         2   71057343   71062953     23       5  1000    -0.096179      0.53626   -7.9498e-07    -0.096179
_SET1_   150726        2   73481810   73496758     20       7  1000       2.2638     0.011719   -7.9498e-07       2.2638
