# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = WILLIAMS_ESR1_TARGETS_UP (set)
# _SET1_  NGENES = 26
# _SET1_  P-VALUE = 6.01381e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   991        1   43824626   43828874      3       2  1000       1.1605      0.11825   -3.4514e-06       1.1605
_SET1_   50604      1  207038699  207042568      4       2  1000       1.3873     0.077605   -3.4514e-06       1.3873
_SET1_   9687       2   11674242   11782914    302      35  1000       -1.101      0.86769   -3.4514e-06       -1.101
_SET1_   699        2  111395275  111435684     17       1  1000       1.2506     0.094075   -3.4514e-06       1.2506
_SET1_   7277       2  220114433  220119330      5       1  1000     -0.13387      0.53265   -3.4514e-06     -0.13387
_SET1_   6478       3  150458910  150481263     42       2  1000     0.038482      0.45601   -3.4514e-06     0.038486
_SET1_   7367       4   69402902   69434245     77       7  1000      0.67507      0.23617   -3.4514e-06      0.67507
_SET1_   890        4  122737599  122745153     15       4  1000      0.65487        0.245   -3.4514e-06      0.65487
_SET1_   3148       4  174252527  174255595      3       1  1000     -0.55587      0.69442   -3.4514e-06     -0.55586
_SET1_   1836       5  149340300  149366963     31       5  1000      0.91335      0.17074   -3.4514e-06      0.91335
_SET1_   8645       6   39156747   39197251    106      19  1000      -1.5871      0.94234   -3.4514e-06      -1.5871
_SET1_   5570       6  122793062  123047518    501      33  1000      0.86748      0.19529   -3.4514e-06      0.86749
_SET1_   7164       6  125474876  125584644    293      21  1000       1.1681      0.11771   -3.4514e-06       1.1681
_SET1_   10439      9  137967089  138013030    180      30  1000       2.5941    0.0048227   -3.4514e-06       2.5941
_SET1_   6387      10   44865601   44880545     59      11  1000       2.9552    0.0014057   -3.4514e-06       2.9553
_SET1_   55165     10   95256369   95288849     92      11  1000      -1.2286      0.88489   -3.4514e-06      -1.2286
_SET1_   26353     12  119616595  119632551     33       5  1000       3.0392    0.0010159   -3.4514e-06       3.0392
_SET1_   3705      14   93403259   93582263    337      32  1000      0.98373      0.16395   -3.4514e-06      0.98373
_SET1_   7057      15   39873280   39889668     21       3  1000       1.1629      0.11333   -3.4514e-06       1.1629
_SET1_   8140      16   87863629   87903100    168      23  1000      0.25362       0.3977   -3.4514e-06      0.25363
_SET1_   3487      17   38599676   38613982      9       4  1000       1.2629     0.098852   -3.4514e-06       1.2629
_SET1_   22843     17   56833230   57062540    215      12  1000      0.14733      0.42946   -3.4514e-06      0.14734
_SET1_   10535     19   12912863   12924462     29       3  1000       1.7992     0.031492   -3.4514e-06       1.7992
_SET1_   284403    19   36545783   36596012    103      12  1000     -0.75991      0.76804   -3.4514e-06     -0.75991
_SET1_   81610     20   37554955   37581703     49       4  1000       2.2279     0.011429   -3.4514e-06       2.2279
_SET1_   7031      21   43782391   43786644     15       5  1000        -1.14      0.86701   -3.4514e-06        -1.14
