# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GESERICK_TERT_TARGETS_DN (set)
# _SET1_  NGENES = 20
# _SET1_  P-VALUE = 2.37238e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54206     1    8071779    8086393     24       5  1000      0.64049      0.24513   -2.1321e-06      0.64049
_SET1_   7832      1  203274664  203278730     10       4  1000      0.77136      0.20553   -2.1321e-06      0.77136
_SET1_   8553      3    5021097    5026866     11       2  1000       1.0058      0.14335   -2.1321e-06       1.0058
_SET1_   64332     3  101546834  101579869     20       5  1000     0.095176      0.44543   -2.1321e-06     0.095178
_SET1_   6478      3  150458910  150481263     42       2  1000    -0.062477      0.47887   -2.1321e-06    -0.062475
_SET1_   1839      5  139712428  139726188     26       6  1000      0.80375      0.19798   -2.1321e-06      0.80376
_SET1_   8870      6   30710976   30712327      3       1  1000     -0.66395      0.72428   -2.1321e-06     -0.66395
_SET1_   2006      7   73442119   73484237     47       9  1000      0.47467      0.29762   -2.1321e-06      0.47467
_SET1_   23462     8   80676245   80680098      4       2  1000      0.44513      0.31465   -2.1321e-06      0.44513
_SET1_   7071      8  103661005  103668130      7       2  1000       0.7584      0.21068   -2.1321e-06       0.7584
_SET1_   687       9   72999513   73029573     23       5  1000       0.0251      0.47274   -2.1321e-06     0.025102
_SET1_   10912     9   92219913   92221470      3       1  1000       1.9495     0.021578   -2.1321e-06       1.9495
_SET1_   4783      9   94171327   94186908     22       3  1000      0.10573      0.43746   -2.1321e-06      0.10573
_SET1_   9314      9  110247133  110252047      3       1  1000     -0.98244      0.81846   -2.1321e-06     -0.98244
_SET1_   1959     10   64571756   64578927      9       2  1000      0.37539      0.32417   -2.1321e-06      0.37539
_SET1_   3164     12   52416616   52453291     70      16  1000      0.89102      0.17511   -2.1321e-06      0.89102
_SET1_   1848     12   89741837   89746296     13       2  1000      0.75099      0.20867   -2.1321e-06      0.75099
_SET1_   4616     19    2476123    2478257      5       3  1000       1.0363      0.14161   -2.1321e-06       1.0363
_SET1_   3726     19   12902310   12904125      1       1  1000       3.0005     0.001015   -2.1321e-06       3.0005
_SET1_   2354     19   45971253   45978437     18       4  1000       1.0842      0.12977   -2.1321e-06       1.0842

# _SET2_  VARIABLE = CHASSOT_SKIN_WOUND (set)
# _SET2_  NGENES = 9
# _SET2_  P-VALUE = 1.4361e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   3725      1   59246463   59249785      2       1  1000       1.7918     0.028159   -2.1321e-06       1.7918
_SET2_   5966      2   61108709   61171410     52       8  1000      0.28366      0.36961   -2.1321e-06      0.28367
_SET2_   1958      5  137801181  137805004      2       1  1000     -0.29984      0.60282   -2.1321e-06     -0.29984
_SET2_   1960      8   22545172   22550815      5       2  1000      0.91477      0.16999   -2.1321e-06      0.91477
_SET2_   1959     10   64571756   64578927      9       2  1000      0.37539      0.32417   -2.1321e-06      0.37539
_SET2_   2353     14   75745477   75748937      6       2  1000     -0.27676      0.59036   -2.1321e-06     -0.27676
_SET2_   3726     19   12902310   12904125      1       1  1000       3.0005     0.001015   -2.1321e-06       3.0005
_SET2_   10365    19   16435651   16438345      7       4  1000      0.28332      0.37338   -2.1321e-06      0.28333
_SET2_   2354     19   45971253   45978437     18       4  1000       1.0842      0.12977   -2.1321e-06       1.0842
