# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LASTOWSKA_COAMPLIFIED_WITH_MYCN (set)
# _SET1_  NGENES = 39
# _SET1_  P-VALUE = 2.62843e-06
_SET1_   GENE        CHR     START      STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   101060391     2    945320    947797      4       1  1000      0.70412       0.2234   -3.7532e-07      0.70412
_SET1_   54221         2    946554   1371401   1897      60  1000      0.64602      0.20506   -3.7532e-07      0.64602
_SET1_   7173          2   1417233   1547445    659      37  1000      0.87703      0.17361   -3.7532e-07      0.87703
_SET1_   9014          2   9983571  10074545    360      13  1000       2.2525    0.0093965   -3.7532e-07       2.2525
_SET1_   29841         2  10091792  10142412    193      16  1000       1.6511     0.045059   -3.7532e-07       1.6511
_SET1_   8462          2  10170776  10194963     22       4  1000      0.90648      0.16923   -3.7532e-07      0.90648
_SET1_   6241          2  10262695  10271546     11       2  1000       1.3255     0.083693   -3.7532e-07       1.3255
_SET1_   3241          2  10443015  10567743    476      62  1000     -0.30219      0.62554   -3.7532e-07     -0.30219
_SET1_   4953          2  10580507  10588680     17       4  1000       2.2874     0.010403   -3.7532e-07       2.2874
_SET1_   79954         2  10710892  10830113    446      13  1000     -0.17717      0.52424   -3.7532e-07     -0.17716
_SET1_   10130         2  10908889  10978103    414      15  1000       1.8832     0.023692   -3.7532e-07       1.8832
_SET1_   3754          2  11052063  11054351      3       2  1000     0.021915      0.48172   -3.7532e-07     0.021915
_SET1_   130814        2  11295498  11319000     78      12  1000     -0.41417      0.64685   -3.7532e-07     -0.41417
_SET1_   9475          2  11319894  11484711    230      12  1000       1.5839     0.048555   -3.7532e-07       1.5839
_SET1_   9687          2  11674242  11782914    302      35  1000       1.7047     0.043052   -3.7532e-07       1.7047
_SET1_   23620         2  11798304  11810329     20       5  1000      0.82914      0.19608   -3.7532e-07      0.82914
_SET1_   23175         2  11817705  11967535    367      40  1000       1.0356      0.14797   -3.7532e-07       1.0356
_SET1_   28951         2  12856998  12882860     52       8  1000      0.99928      0.14797   -3.7532e-07      0.99928
_SET1_   151354        2  14772810  14780170      5       2  1000      0.62625      0.25699   -3.7532e-07      0.62625
_SET1_   51594         2  15307032  15701472    850      19  1000       1.1408     0.098875   -3.7532e-07       1.1408
_SET1_   1653          2  15731745  15771235    108       8  1000       1.4199      0.07002   -3.7532e-07       1.4199
_SET1_   4613          2  16080683  16087129      5       2  1000      0.15577      0.42131   -3.7532e-07      0.15577
_SET1_   81553         2  16730727  16847134    260      41  1000      0.24645      0.41101   -3.7532e-07      0.24645
_SET1_   26160         2  27667240  27712575     45       3  1000      0.21654      0.38256   -3.7532e-07      0.21654
_SET1_   64838         2  27714750  27718126      4       1  1000      0.33903      0.34069   -3.7532e-07      0.33903
_SET1_   84450         2  27805836  27846082     64       8  1000      0.85476      0.18364   -3.7532e-07      0.85476
_SET1_   79635         2  27848408  27851898      2       1  1000      0.65531      0.23417   -3.7532e-07      0.65531
_SET1_   11321         2  27851515  27873713     41       6  1000       1.1023      0.12457   -3.7532e-07       1.1023
_SET1_   9913          2  27873679  27886707     16       3  1000       1.0945      0.12864   -3.7532e-07       1.0945
_SET1_   22950         2  27886338  27917847     24       4  1000       1.2098      0.10793   -3.7532e-07       1.2098
_SET1_   9553          2  27994584  28002608      5       1  1000     -0.18024      0.54804   -3.7532e-07     -0.18024
_SET1_   64080         2  28004266  28113223    152       8  1000      0.15488      0.41538   -3.7532e-07      0.15488
_SET1_   2355          2  28615704  28637516     25       4  1000       0.4518      0.30343   -3.7532e-07       0.4518
_SET1_   151056        2  28718938  28866654    422      53  1000      0.94709      0.17346   -3.7532e-07      0.94709
_SET1_   55006         2  29072687  29093175     31       4  1000       2.1154     0.014764   -3.7532e-07       2.1154
_SET1_   23160         2  29117533  29171080    146       9  1000       1.4368     0.066514   -3.7532e-07       1.4368
_SET1_   79745         2  29320542  29406679    184      21  1000      0.00138       0.4882   -3.7532e-07    0.0013804
_SET1_   238           2  29415640  30144477   1993     127  1000      -0.3543      0.61752   -3.7532e-07      -0.3543
_SET1_   51646         2  30369750  30383399     20       6  1000        1.026      0.14736   -3.7532e-07        1.026

# _SET2_  VARIABLE = CAFFAREL_RESPONSE_TO_THC_8HR_5_DN (set)
# _SET2_  NGENES = 11
# _SET2_  P-VALUE = 4.2597e-06
_SET2_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   8761      1   40026485   40042522     18       4  1000      0.19058      0.40882   -3.7532e-07      0.19058
_SET2_   6241      2   10262695   10271546     11       2  1000       1.3255     0.083693   -3.7532e-07       1.3255
_SET2_   6432      2   38970741   38978636      5       1  1000      0.86996      0.17671   -3.7532e-07      0.86996
_SET2_   3305      6   31777396   31790093     11       5  1000     0.098134      0.45452   -3.7532e-07     0.098134
_SET2_   6428      6   36562090   36572244     13       5  1000     0.090238       0.4585   -3.7532e-07     0.090238
_SET2_   3301      9   33025209   33039905     27       4  1000      0.35786      0.33969   -3.7532e-07      0.35786
_SET2_   3312     11  122928200  122933074     19       5  1000       2.8226     0.002281   -3.7532e-07       2.8226
_SET2_   10808    13   31710762   31737246     46       5  1000      0.30506       0.3563   -3.7532e-07      0.30506
_SET2_   3306     14   65007186   65009955      1       1  1000       1.6004      0.05023   -3.7532e-07       1.6004
_SET2_   51109    14   68143517   68162510     26       6  1000     -0.38247      0.64263   -3.7532e-07     -0.38247
_SET2_   3337     19   14625581   14640087     20       4  1000      0.43615      0.31446   -3.7532e-07      0.43615

# _SET3_  VARIABLE = REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_MYELOID_CELLS (set)
# _SET3_  NGENES = 7
# _SET3_  P-VALUE = 7.7271e-08
_SET3_   GENE   CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   1437     5  131409485  131411863      4       2  1000       2.1042     0.016364   -3.7532e-07       2.1042
_SET3_   860      6   45296054   45518819    363      29  1000        1.134      0.12013   -3.7532e-07        1.134
