# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP (set)
# _SET1_  NGENES = 16
# _SET1_  P-VALUE = 7.94992e-06
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26099     1   16693525   16724643     23       5  1000      0.97163      0.15397   -3.6285e-06      0.97163
_SET1_   9653      1   87380335   87575681    291       6  1000     -0.82506      0.77455   -3.6285e-06     -0.82506
_SET1_   9898      1  154192427  154243986     71       8  1000       1.5447     0.054346   -3.6285e-06       1.5448
_SET1_   7042      1  218518676  218617961    168      27  1000       0.4854      0.30916   -3.6285e-06       0.4854
_SET1_   53335     2   60678302   60780633    100      18  1000       3.6968   9.2465e-05   -3.6285e-06       3.6968
_SET1_   2335      2  216225177  216300890    207      19  1000     -0.15385      0.54033   -3.6285e-06     -0.15385
_SET1_   10123     2  235401685  235405721      3       1  1000      -1.1741      0.86538   -3.6285e-06      -1.1741
_SET1_   7220      3  142443266  142526730    138      10  1000      0.25645       0.3802   -3.6285e-06      0.25646
_SET1_   9522      5   77656339   77776562    285      10  1000      0.73276      0.20723   -3.6285e-06      0.73276
_SET1_   22836     5   95049181   95132071    101      14  1000         2.04      0.01824   -3.6285e-06         2.04
_SET1_   1729      5  140894588  140998622     83      13  1000       1.7207     0.040238   -3.6285e-06       1.7207
_SET1_   23089     7   94285637   94299007     12       3  1000      0.28633      0.37836   -3.6285e-06      0.28633
_SET1_   3638      7  155089486  155101945     39       7  1000       1.6681     0.042983   -3.6285e-06       1.6681
_SET1_   11196    10  121652085  121704170    148       9  1000       1.9022     0.026101   -3.6285e-06       1.9022
_SET1_   5371     15   74287014   74340160    106       9  1000      0.90475      0.16571   -3.6285e-06      0.90475
_SET1_   861      21   36160098   36421595    526      68  1000       3.2325   0.00066132   -3.6285e-06       3.2325
