# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = LIN_NPAS4_TARGETS_UP (set)
# _SET1_  NGENES = 166
# _SET1_  P-VALUE = 7.84894e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   11332         1    6324332    6453826    324      17  1000       1.1836      0.11548   -6.6462e-06       1.1836
_SET1_   5195          1   10535003   10690815    338      21  1000     -0.73103      0.76212   -6.6462e-06     -0.73102
_SET1_   55108         1   32830704   32860062     11       3  1000      0.82345      0.20362   -6.6462e-06      0.82346
_SET1_   4610          1   40361096   40367687      8       3  1000      0.58803      0.27116   -6.6462e-06      0.58804
_SET1_   2060          1   51819935   51985026     89       9  1000      0.76178      0.21772   -6.6462e-06      0.76178
_SET1_   5865          1   52373628   52456436     88       9  1000       1.9286     0.025315   -6.6462e-06       1.9286
_SET1_   1718          1   55315300   55352921    108      11  1000     -0.98105      0.83094   -6.6462e-06     -0.98104
_SET1_   5563          1   57110990   57181008    185      10  1000      0.27397      0.37476   -6.6462e-06      0.27398
_SET1_   205           1   65613232   65697828    164      13  1000      0.62102      0.26036   -6.6462e-06      0.62103
_SET1_   26135         1   67873493   67896123     15       3  1000     -0.31454      0.60855   -6.6462e-06     -0.31453
_SET1_   9653          1   87380335   87575681    291       6  1000      0.70866      0.21951   -6.6462e-06      0.70867
_SET1_   5565          1  146626685  146644168     37       5  1000     -0.37307      0.63233   -6.6462e-06     -0.37306
_SET1_   7391          1  161009041  161015769     18       4  1000     0.060928      0.46357   -6.6462e-06     0.060935
_SET1_   8703          1  161141100  161147758      5       2  1000      -1.7773      0.95978   -6.6462e-06      -1.7773
_SET1_   6646          1  179262849  179327815    230      16  1000      0.66495      0.24454   -6.6462e-06      0.66496
_SET1_   9926          1  211916799  212048531    179      11  1000     -0.68357      0.74304   -6.6462e-06     -0.68357
_SET1_   116841        1  227922697  227968932     89      11  1000       2.5157    0.0056399   -6.6462e-06       2.5157
_SET1_   440730        1  231298674  231357314    132      20  1000     -0.43457      0.67295   -6.6462e-06     -0.43457
_SET1_   23029         1  235294498  235324571     40       4  1000     -0.98133      0.82728   -6.6462e-06     -0.98132
_SET1_   10000         1  243651535  244014381    354      13  1000      0.81967       0.1935   -6.6462e-06      0.81968
_SET1_   55083         1  245318287  245866428   1739     169  1000     -0.33049      0.67109   -6.6462e-06     -0.33048
_SET1_   51277         2   25166505   25194963     42       6  1000      -1.0813       0.8545   -6.6462e-06      -1.0813
_SET1_   6546          2   40339286   40739575   1163      66  1000      -1.2249      0.89572   -6.6462e-06      -1.2249
_SET1_   2034          2   46524541   46613842    193      22  1000     -0.76908       0.7774   -6.6462e-06     -0.76907
_SET1_   64395         2   70056818   70106727     63       5  1000      0.89065      0.17465   -6.6462e-06      0.89066
_SET1_   119           2   70888334   70995375    301      18  1000      0.39846      0.33541   -6.6462e-06      0.39847
_SET1_   10574         2   73461364   73480150     37       7  1000       1.7878     0.035604   -6.6462e-06       1.7878
_SET1_   1615          2  136664252  136743254     66       3  1000     -0.30236      0.59653   -6.6462e-06     -0.30235
_SET1_   130574        2  150186499  150330662    221      19  1000      0.18321      0.42226   -6.6462e-06      0.18322
_SET1_   6328          2  165944030  166060577    218      16  1000     -0.74512      0.76614   -6.6462e-06     -0.74511
_SET1_   54842         2  191273081  191367041    203      16  1000      -0.2392        0.586   -6.6462e-06      -0.2392
_SET1_   205327        2  200775979  200792996     35       7  1000      0.40094      0.33879   -6.6462e-06      0.40095
_SET1_   51665         2  239335382  239360891     96      10  1000      0.96718      0.16095   -6.6462e-06      0.96718
_SET1_   23473         3   15247733   15294423     99       7  1000      -1.3815      0.91413   -6.6462e-06      -1.3815
_SET1_   5210          3   48555117   48598607     32       5  1000      -1.1171      0.86496   -6.6462e-06      -1.1171
_SET1_   57415         3   62304648   62321888      8       3  1000     -0.79587      0.77851   -6.6462e-06     -0.79587
_SET1_   25978         3   87276413   87304698     40       7  1000     -0.30795      0.61097   -6.6462e-06     -0.30794
_SET1_   29927         3  127770402  127790526     43       3  1000      0.19316      0.40309   -6.6462e-06      0.19317
_SET1_   27032         3  130569327  130735556    204      17  1000      0.29451      0.37945   -6.6462e-06      0.29452
_SET1_   22808         3  138066490  138124377    116       9  1000     -0.12363      0.53712   -6.6462e-06     -0.12363
_SET1_   285195        3  142984063  143567373   1416     117  1000     -0.99037      0.86805   -6.6462e-06     -0.99037
_SET1_   8833          3  155588325  155657150    175      10  1000       1.7834     0.034793   -6.6462e-06       1.7834
_SET1_   8706          3  160801671  160823160     35       5  1000       1.9841     0.021867   -6.6462e-06       1.9841
_SET1_   285382        3  184795838  184870802    254      12  1000      0.91547      0.17335   -6.6462e-06      0.91547
_SET1_   6480          3  186648315  186796341    541      70  1000       2.5391    0.0071766   -6.6462e-06       2.5391
_SET1_   116832        3  186838741  186857263     28       3  1000      0.84933      0.18704   -6.6462e-06      0.84934
_SET1_   151963        3  192514604  192635950    326      21  1000       1.1792      0.11446   -6.6462e-06       1.1792
_SET1_   201895        4   39548917   39640481    176      19  1000       1.1469       0.1252   -6.6462e-06       1.1469
_SET1_   2560          4   47033295   47432801    793      50  1000     -0.49095      0.69488   -6.6462e-06     -0.49094
_SET1_   93627         4  106967233  107237861    416      12  1000     0.020954      0.47014   -6.6462e-06     0.020961
_SET1_   80155         4  140222621  140311935    143      10  1000     -0.95672      0.82203   -6.6462e-06     -0.95671
_SET1_   26269         4  175157809  175205415     64      10  1000      0.40875       0.3359   -6.6462e-06      0.40876
_SET1_   57587         4  186080815  186125182    113       5  1000      0.31919      0.35164   -6.6462e-06       0.3192
_SET1_   9631          5   37291735   37371228    155      14  1000      0.47549      0.31394   -6.6462e-06       0.4755
_SET1_   345557        5   41307048   41510730    384      24  1000     -0.43868      0.66677   -6.6462e-06     -0.43867
_SET1_   64417         5   43444354   43484171     68       4  1000       1.0594      0.13191   -6.6462e-06       1.0594
_SET1_   345778        5   79272539   79287088     18       3  1000       1.2341       0.1013   -6.6462e-06       1.2341
_SET1_   5924          5   80256491   80525981    685      66  1000     -0.60238       0.7482   -6.6462e-06     -0.60237
_SET1_   84250         5   93953086   94033326    188      12  1000     -0.46617      0.66912   -6.6462e-06     -0.46616
_SET1_   4012          5   96271346   96365115    133       4  1000      0.17817      0.40167   -6.6462e-06      0.17818
_SET1_   56990         5  130599702  130730383    139       9  1000        1.915     0.025713   -6.6462e-06        1.915
_SET1_   10007         5  141380234  141392620     25       6  1000       1.2177      0.10769   -6.6462e-06       1.2177
_SET1_   2561          5  160715426  160975130    368      28  1000     -0.36973      0.64563   -6.6462e-06     -0.36972
_SET1_   900           5  162864573  162872022      6       2  1000     0.014214      0.48094   -6.6462e-06     0.014221
_SET1_   221687        6   13924677   13980240    102      11  1000     -0.30743      0.61016   -6.6462e-06     -0.30742
_SET1_   51439         6   17600518   17611950     14       2  1000       2.2976    0.0096476   -6.6462e-06       2.2976
_SET1_   140767        6   24126414   24147757     32      10  1000      0.42977      0.33214   -6.6462e-06      0.42978
_SET1_   9856          6   24544332   24646383    268      26  1000    -0.011476      0.50584   -6.6462e-06    -0.011469
_SET1_   3105          6   29910247   29913661    171      23  1000      0.33468      0.37226   -6.6462e-06      0.33468
_SET1_   6992          6   30034932   30038110      8       4  1000      0.19249      0.42303   -6.6462e-06       0.1925
_SET1_   23            6   30539170   30559309     18       2  1000     0.078013       0.4485   -6.6462e-06      0.07802
_SET1_   7803          6   64281917   64293493      7       1  1000      0.71476      0.22848   -6.6462e-06      0.71477
_SET1_   79627         6   71998477   72013267     32       6  1000      -0.4441      0.66473   -6.6462e-06      -0.4441
_SET1_   10559         6   88182637   88222057     81       7  1000       1.5864      0.05218   -6.6462e-06       1.5864
_SET1_   100130890     6   99968870   99981061     19       5  1000      -0.3919      0.64367   -6.6462e-06     -0.39189
_SET1_   6446          6  134490384  134639196    326      49  1000      -1.0808      0.87327   -6.6462e-06      -1.0807
_SET1_   54806         6  135604670  135818903    203      18  1000     -0.32364      0.62291   -6.6462e-06     -0.32363
_SET1_   134957        6  147525494  147711612    162      10  1000      0.19656      0.40674   -6.6462e-06      0.19656
_SET1_   116254        6  149887528  149912067     20       5  1000     -0.81705       0.7865   -6.6462e-06     -0.81704
_SET1_   28969         7   16685759   16746148    165      21  1000      -1.2683      0.89803   -6.6462e-06      -1.2683
_SET1_   5218          7   90225681   90839905   1484      51  1000     -0.93185      0.81723   -6.6462e-06     -0.93184
