# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = BIOCARTA_PRC2_PATHWAY (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 7.27837e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   3065          1   32757708   32799227     22       2  1000      0.27739      0.31328   -4.6818e-06      0.27739
_SET1_   5928          1   33116749   33151812     84       5  1000     -0.34493      0.63464   -4.6818e-06     -0.34493
_SET1_   6015          6   33176286   33180499      5       2  1000     0.010318      0.49562   -4.6818e-06     0.010322
_SET1_   3066          6  114257320  114292359     53       9  1000      0.83448      0.19132   -4.6818e-06      0.83448
_SET1_   2146          7  148504464  148581441    105      10  1000       0.6483      0.24128   -4.6818e-06       0.6483
_SET1_   100532731    10   22605312   22620414      2       1  1000       0.7169       0.2555   -4.6818e-06       0.7169
_SET1_   648          10   22610139   22620414      1       1  1000       1.5132      0.07462   -4.6818e-06       1.5132
_SET1_   8726         11   85955586   85989785     68       7  1000     -0.24697      0.57373   -4.6818e-06     -0.24697
_SET1_   7528         14  100705102  100745371     45       4  1000      0.94307      0.15661   -4.6818e-06      0.94308
_SET1_   23512        17   30264044   30328057    144       4  1000     0.044695      0.46323   -4.6818e-06     0.044699
_SET1_   2145         17   40852293   40897095     37       4  1000      0.14181       0.4198   -4.6818e-06      0.14181
_SET1_   8535         17   77806955   77813222     10       4  1000     -0.81724      0.78843   -4.6818e-06     -0.81723
