# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GARGALOVIC_RESPONSE_TO_OXIDIZED_PHOSPHOLIPIDS_BLACK_DN (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 1.33914e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   80222      1  150459840  150480085     57       6  1000       2.5858    0.0038471   -6.8746e-06       2.5858
_SET1_   5287       1  204391756  204463943    177      19  1000      0.68443      0.22953   -6.8746e-06      0.68444
_SET1_   7779       1  211748381  211752099      4       2  1000      -0.9055      0.79962   -6.8746e-06     -0.90549
_SET1_   9839       2  145141942  145277958    136      24  1000       3.4858   0.00021316   -6.8746e-06       3.4858
_SET1_   64172      2  190611386  190628020     13       3  1000       2.3521    0.0077043   -6.8746e-06       2.3521
_SET1_   55347      3  111697723  111712215     51       6  1000       2.3583    0.0074828   -6.8746e-06       2.3583
_SET1_   9788       8  125563025  125740730    509      57  1000     -0.35136      0.63176   -6.8746e-06     -0.35135
_SET1_   157638     8  127564683  127570717      2       1  1000       1.4634     0.062906   -6.8746e-06       1.4634
_SET1_   7570      10   45496273   45500777      9       2  1000     -0.10498       0.5115   -6.8746e-06     -0.10497
_SET1_   4088      15   67358036   67487533    317      43  1000       5.5302   1.1777e-08   -6.8746e-06       5.5302
_SET1_   55520     18   48494387   48514491     14       3  1000      0.88886      0.16748   -6.8746e-06      0.88887
