# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = PID_AURORA_A_PATHWAY (set)
# _SET1_  NGENES = 31
# _SET1_  P-VALUE = 2.96156e-07
_SET1_   GENE    CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54998     1    1309110    1310818      3       2  1000       2.3291    0.0083163   -1.5388e-06       2.3291
_SET1_   1647      1   68150860   68154021      7       2  1000       1.3705     0.077281   -1.5388e-06       1.3705
_SET1_   1058      2   27008857   27023935     37       3  1000      0.73675      0.21495   -1.5388e-06      0.73676
_SET1_   2932      3  119540800  119813264    306      14  1000      0.46609      0.30145   -1.5388e-06       0.4661
_SET1_   10460     4    1723217    1746905    117       9  1000       2.2887    0.0096597   -1.5388e-06       2.2887
_SET1_   5921      5   86564070   86687743     63       6  1000     -0.25082      0.57853   -1.5388e-06     -0.25082
_SET1_   5528      6   42952218   42980083     47       5  1000     -0.45183      0.64948   -1.5388e-06     -0.45183
_SET1_   6867      8   38585704   38710546    181      16  1000     -0.13541      0.53551   -1.5388e-06     -0.13541
_SET1_   23424     9  100174302  100258407    120       9  1000     -0.58578      0.70385   -1.5388e-06     -0.58578
_SET1_   9793     11   46765084   46867859     99       9  1000     -0.40371      0.63502   -1.5388e-06     -0.40371
_SET1_   5058     11   77033060   77185108    257      12  1000       2.1889     0.012503   -1.5388e-06       2.1889
_SET1_   4193     12   69201952   69239324     51       5  1000      0.50688      0.28857   -1.5388e-06      0.50688
_SET1_   5901     12  131356617  131362220      9       2  1000     -0.44837      0.65378   -1.5388e-06     -0.44836
_SET1_   8874     13  111767624  111958081    356      29  1000      -1.7239      0.95414   -1.5388e-06      -1.7239
_SET1_   84962    14   23440386   23451851     12       2  1000      0.99481      0.14821   -1.5388e-06      0.99482
_SET1_   4792     14   35870716   35873960     12       4  1000       1.0498      0.13509   -1.5388e-06       1.0498
_SET1_   9787     14   55614834   55658396     88      10  1000     0.040989      0.46143   -1.5388e-06     0.040991
_SET1_   207      14  105235686  105262080     65      15  1000       1.8772     0.027044   -1.5388e-06       1.8772
_SET1_   64506    15   83211948   83316762    153      12  1000     0.047521      0.46231   -1.5388e-06     0.047523
_SET1_   7157     17    7571720    7590868     39       8  1000     -0.48009      0.66281   -1.5388e-06     -0.48009
_SET1_   9212     17    8108049    8113944     10       4  1000       3.1093   0.00077496   -1.5388e-06       3.1093
_SET1_   81565    17    8316447    8371495     75      12  1000      0.83068      0.19018   -1.5388e-06      0.83068
_SET1_   28964    17   27900487   27916610     16       3  1000      0.11776      0.43382   -1.5388e-06      0.11776
_SET1_   672      17   41196312   41277500    142       4  1000     -0.48441      0.66618   -1.5388e-06     -0.48441
_SET1_   332      17   76210277   76221716     55       6  1000     0.048749      0.46151   -1.5388e-06      0.04875
_SET1_   4946     19    2269520    2273487     16       5  1000       1.3751     0.076132   -1.5388e-06       1.3751
_SET1_   51343    19    3506261    3536755     67       9  1000      0.63321      0.24624   -1.5388e-06      0.63321
_SET1_   5566     19   14202500   14228559     25       4  1000      0.29516      0.35941   -1.5388e-06      0.29516
_SET1_   994      20    3767419    3786765     25       4  1000     -0.40101       0.6385   -1.5388e-06     -0.40101
_SET1_   22974    20   30326904   30389605     75       5  1000      0.22682      0.38851   -1.5388e-06      0.22683
_SET1_   6790     20   54944445   54967351     29       9  1000       1.2062      0.10412   -1.5388e-06       1.2062
