# ALPHA = 0.05
# NUMBER_OF_TESTS = 5525

# _SET1_  VARIABLE = GILDEA_METASTASIS (set)
# _SET1_  NGENES = 29
# _SET1_  P-VALUE = 1.29124e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM     N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   4070       1   59041095   59043166      9       3  1000     -0.37424       0.6361   -3.7988e-06     -0.37424
_SET1_   2633       1   89517987   89531043     34       6  1000       0.1477      0.42431   -3.7988e-06       0.1477
_SET1_   3428       1  158979682  159024945    155       8  1000     -0.61996      0.72167   -3.7988e-06     -0.61996
_SET1_   10791      2   85811531   85820511     20       5  1000       2.7287    0.0028306   -3.7988e-06       2.7287
_SET1_   3176       2  138721808  138773934     79       5  1000     -0.21048      0.56447   -3.7988e-06     -0.21048
_SET1_   1290       2  189896641  190044668    320      10  1000      0.14487      0.42753   -3.7988e-06      0.14487
_SET1_   2335       2  216225177  216300890    207      19  1000      0.83912      0.18931   -3.7988e-06      0.83912
_SET1_   3488       2  217536828  217560272     42       6  1000        2.002     0.021455   -3.7988e-06        2.002
_SET1_   5806       3  157154580  157161417     10       3  1000        1.071       0.1327   -3.7988e-06        1.071
_SET1_   6678       5  151040657  151066615     57      10  1000       0.6028      0.26079   -3.7988e-06      0.60281
_SET1_   1846       8   29190579   29208267     37       8  1000       1.2208      0.10518   -3.7988e-06       1.2209
_SET1_   10404      8   97657455   98155731    524      30  1000      0.28725      0.37526   -3.7988e-06      0.28726
_SET1_   8644      10    5090958    5149878    247      28  1000     -0.45281      0.66317   -3.7988e-06      -0.4528
_SET1_   5552      10   70847828   70864567     41       6  1000       1.6148     0.048697   -3.7988e-06       1.6148
_SET1_   10974     10   88728188   88730666      5       1  1000      -1.1803      0.86868   -3.7988e-06      -1.1803
_SET1_   112464    11    6340176    6341740      5       3  1000       1.1899       0.1114   -3.7988e-06       1.1899
_SET1_   6876      11  117070040  117075508     15       4  1000     -0.16236      0.55314   -3.7988e-06     -0.16235
_SET1_   10205     11  118124131  118135251     41       5  1000       0.5004       0.2903   -3.7988e-06       0.5004
_SET1_   397       12   15094949   15114562     37       5  1000       2.0779     0.016793   -3.7988e-06       2.0779
_SET1_   11010     12   75874513   75895716     44       5  1000       2.2119     0.011849   -3.7988e-06       2.2119
_SET1_   3429      14   94577079   94583033     10       4  1000     -0.59192      0.71061   -3.7988e-06     -0.59192
_SET1_   3487      17   38599676   38613982      9       4  1000       1.0036      0.14817   -3.7988e-06       1.0036
_SET1_   3880      17   39679869   39684641      6       1  1000       1.0246      0.13982   -3.7988e-06       1.0246
_SET1_   6597      19   11071598   11172958    139      14  1000      0.96325      0.15786   -3.7988e-06      0.96326
_SET1_   684       19   17502238   17516458      8       3  1000     -0.53648       0.6989   -3.7988e-06     -0.53648
_SET1_   10398     20   35169887   35178226      3       2  1000      0.46182      0.31512   -3.7988e-06      0.46183
_SET1_   81031     20   45338279   45364986     50       5  1000     -0.79696       0.7712   -3.7988e-06     -0.79695
_SET1_   7078      22   33196802   33259028     95      17  1000        1.883     0.027758   -3.7988e-06        1.883
_SET1_   5880      22   37621301   37640339     58      10  1000       2.2641     0.010582   -3.7988e-06       2.2641
